# Hysteresis Cycle Data
# Opinion A: capitalism
# Opinion B: socialism
# N_regular: 50
# Temperature: 0.2
# Cycles: 1
stubborn_count,field,magnetization_forward,error_forward,magnetization_backward,error_backward
-35,-0.411765,-0.843200,0.000000,-0.868800,0.000000
-34,-0.404762,-0.900800,0.000000,-0.881600,0.000000
-33,-0.397590,-0.924800,0.000000,-0.870400,0.000000
-32,-0.390244,-0.899200,0.000000,-0.894400,0.000000
-31,-0.382716,-0.880000,0.000000,-0.708800,0.000000
-30,-0.375000,-0.840000,0.000000,-0.342400,0.000000
-29,-0.367089,-0.888000,0.000000,0.339200,0.000000
-28,-0.358974,-0.836800,0.000000,0.617600,0.000000
-27,-0.350649,-0.891200,0.000000,0.668800,0.000000
-26,-0.342105,-0.878400,0.000000,0.816000,0.000000
-25,-0.333333,-0.851200,0.000000,0.939200,0.000000
-24,-0.324324,-0.876800,0.000000,0.974400,0.000000
-23,-0.315068,-0.856000,0.000000,0.979200,0.000000
-22,-0.305556,-0.793600,0.000000,0.843200,0.000000
-21,-0.295775,-0.888000,0.000000,0.843200,0.000000
-20,-0.285714,-0.851200,0.000000,0.726400,0.000000
-19,-0.275362,-0.838400,0.000000,0.764800,0.000000
-18,-0.264706,-0.857600,0.000000,0.774400,0.000000
-17,-0.253731,-0.934400,0.000000,0.920000,0.000000
-16,-0.242424,-0.841600,0.000000,1.000000,0.000000
-15,-0.230769,-0.926400,0.000000,0.961600,0.000000
-14,-0.218750,-0.910400,0.000000,0.984000,0.000000
-13,-0.206349,-0.860800,0.000000,1.000000,0.000000
-12,-0.193548,-0.860800,0.000000,0.960000,0.000000
-11,-0.180328,-0.888000,0.000000,1.000000,0.000000
-10,-0.166667,-0.832000,0.000000,0.960000,0.000000
-9,-0.152542,-0.854400,0.000000,1.000000,0.000000
-8,-0.137931,-0.896000,0.000000,0.968000,0.000000
-7,-0.122807,-0.910400,0.000000,1.000000,0.000000
-6,-0.107143,-0.838400,0.000000,1.000000,0.000000
-5,-0.090909,-0.908800,0.000000,1.000000,0.000000
-4,-0.074074,-0.892800,0.000000,1.000000,0.000000
-3,-0.056604,-0.920000,0.000000,1.000000,0.000000
-2,-0.038462,-0.918400,0.000000,1.000000,0.000000
-1,-0.019608,-0.886400,0.000000,1.000000,0.000000
0,0.000000,-0.836800,0.000000,1.000000,0.000000
1,0.019608,-0.934400,0.000000,1.000000,0.000000
2,0.038462,-0.859200,0.000000,1.000000,0.000000
3,0.056604,-0.788800,0.000000,1.000000,0.000000
4,0.074074,-0.712000,0.000000,1.000000,0.000000
5,0.090909,-0.843200,0.000000,1.000000,0.000000
6,0.107143,-0.947200,0.000000,1.000000,0.000000
7,0.122807,-0.889600,0.000000,1.000000,0.000000
8,0.137931,-0.886400,0.000000,1.000000,0.000000
9,0.152542,-1.000000,0.000000,1.000000,0.000000
10,0.166667,-0.955200,0.000000,1.000000,0.000000
11,0.180328,-0.860800,0.000000,1.000000,0.000000
12,0.193548,-0.827200,0.000000,1.000000,0.000000
13,0.206349,-0.915200,0.000000,1.000000,0.000000
14,0.218750,-0.872000,0.000000,1.000000,0.000000
15,0.230769,-0.651200,0.000000,1.000000,0.000000
16,0.242424,-0.036800,0.000000,1.000000,0.000000
17,0.253731,0.752000,0.000000,1.000000,0.000000
18,0.264706,0.960000,0.000000,1.000000,0.000000
19,0.275362,1.000000,0.000000,1.000000,0.000000
20,0.285714,1.000000,0.000000,1.000000,0.000000
21,0.295775,1.000000,0.000000,1.000000,0.000000
22,0.305556,1.000000,0.000000,1.000000,0.000000
23,0.315068,1.000000,0.000000,1.000000,0.000000
24,0.324324,1.000000,0.000000,1.000000,0.000000
25,0.333333,1.000000,0.000000,1.000000,0.000000
26,0.342105,1.000000,0.000000,1.000000,0.000000
27,0.350649,1.000000,0.000000,1.000000,0.000000
28,0.358974,1.000000,0.000000,1.000000,0.000000
29,0.367089,1.000000,0.000000,1.000000,0.000000
30,0.375000,1.000000,0.000000,1.000000,0.000000
31,0.382716,1.000000,0.000000,1.000000,0.000000
32,0.390244,1.000000,0.000000,1.000000,0.000000
33,0.397590,1.000000,0.000000,1.000000,0.000000
34,0.404762,1.000000,0.000000,1.000000,0.000000
35,0.411765,1.000000,0.000000,1.000000,0.000000
