# Hysteresis Cycle Data
# Opinion A: cats
# Opinion B: dogs
# N_regular: 50
# Temperature: 0.2
# Cycles: 1
stubborn_count,field,magnetization_forward,error_forward,magnetization_backward,error_backward
-35,-0.411765,-0.902400,0.000000,-1.000000,0.000000
-34,-0.404762,-0.985600,0.000000,-1.000000,0.000000
-33,-0.397590,-0.982400,0.000000,-1.000000,0.000000
-32,-0.390244,-0.960000,0.000000,-1.000000,0.000000
-31,-0.382716,-1.000000,0.000000,-1.000000,0.000000
-30,-0.375000,-0.996800,0.000000,-1.000000,0.000000
-29,-0.367089,-0.961600,0.000000,-0.980800,0.000000
-28,-0.358974,-0.883200,0.000000,-0.958400,0.000000
-27,-0.350649,-0.992000,0.000000,-0.966400,0.000000
-26,-0.342105,-1.000000,0.000000,-0.974400,0.000000
-25,-0.333333,-1.000000,0.000000,-1.000000,0.000000
-24,-0.324324,-1.000000,0.000000,-1.000000,0.000000
-23,-0.315068,-0.960000,0.000000,-1.000000,0.000000
-22,-0.305556,-0.982400,0.000000,-1.000000,0.000000
-21,-0.295775,-0.920000,0.000000,-0.920000,0.000000
-20,-0.285714,-0.971200,0.000000,-0.996800,0.000000
-19,-0.275362,-0.896000,0.000000,-1.000000,0.000000
-18,-0.264706,-1.000000,0.000000,-0.995200,0.000000
-17,-0.253731,-1.000000,0.000000,-0.937600,0.000000
-16,-0.242424,-0.987200,0.000000,-0.920000,0.000000
-15,-0.230769,-0.886400,0.000000,-0.928000,0.000000
-14,-0.218750,-0.873600,0.000000,-0.920000,0.000000
-13,-0.206349,-0.958400,0.000000,-0.924800,0.000000
-12,-0.193548,-0.913600,0.000000,-0.974400,0.000000
-11,-0.180328,-1.000000,0.000000,-1.000000,0.000000
-10,-0.166667,-0.964800,0.000000,-0.976000,0.000000
-9,-0.152542,-0.908800,0.000000,-0.972800,0.000000
-8,-0.137931,-1.000000,0.000000,-0.944000,0.000000
-7,-0.122807,-0.984000,0.000000,-0.960000,0.000000
-6,-0.107143,-0.979200,0.000000,-0.960000,0.000000
-5,-0.090909,-1.000000,0.000000,-0.960000,0.000000
-4,-0.074074,-1.000000,0.000000,-0.990400,0.000000
-3,-0.056604,-0.960000,0.000000,-0.993600,0.000000
-2,-0.038462,-0.940800,0.000000,-0.944000,0.000000
-1,-0.019608,-0.945600,0.000000,-0.993600,0.000000
0,0.000000,-1.000000,0.000000,-1.000000,0.000000
1,0.019608,-0.945600,0.000000,-0.899200,0.000000
2,0.038462,-0.918400,0.000000,-0.952000,0.000000
3,0.056604,-0.854400,0.000000,-0.587200,0.000000
4,0.074074,-0.960000,0.000000,-0.308800,0.000000
5,0.090909,-0.958400,0.000000,0.123200,0.000000
6,0.107143,-0.929600,0.000000,0.222400,0.000000
7,0.122807,-0.931200,0.000000,0.280000,0.000000
8,0.137931,-0.960000,0.000000,0.134400,0.000000
9,0.152542,-0.908800,0.000000,-0.196800,0.000000
10,0.166667,-0.868800,0.000000,0.094400,0.000000
11,0.180328,-0.788800,0.000000,0.235200,0.000000
12,0.193548,-0.814400,0.000000,0.260800,0.000000
13,0.206349,-0.793600,0.000000,0.251200,0.000000
14,0.218750,-0.286400,0.000000,-0.292800,0.000000
15,0.230769,0.244800,0.000000,0.126400,0.000000
16,0.242424,0.342400,0.000000,0.084800,0.000000
17,0.253731,0.571200,0.000000,0.040000,0.000000
18,0.264706,0.380800,0.000000,0.088000,0.000000
19,0.275362,0.304000,0.000000,0.124800,0.000000
20,0.285714,0.236800,0.000000,0.798400,0.000000
21,0.295775,0.192000,0.000000,0.816000,0.000000
22,0.305556,0.256000,0.000000,0.662400,0.000000
23,0.315068,0.408000,0.000000,0.529600,0.000000
24,0.324324,0.310400,0.000000,0.507200,0.000000
25,0.333333,0.371200,0.000000,0.240000,0.000000
26,0.342105,0.417600,0.000000,0.339200,0.000000
27,0.350649,0.396800,0.000000,0.387200,0.000000
28,0.358974,0.284800,0.000000,0.128000,0.000000
29,0.367089,0.299200,0.000000,0.102400,0.000000
30,0.375000,0.444800,0.000000,0.124800,0.000000
31,0.382716,0.363200,0.000000,0.145600,0.000000
32,0.390244,0.460800,0.000000,0.184000,0.000000
33,0.397590,0.443200,0.000000,0.105600,0.000000
34,0.404762,0.347200,0.000000,0.275200,0.000000
35,0.411765,0.302400,0.000000,0.164800,0.000000
