# Hysteresis Cycle Data
# Opinion A: electoral college protects democracy
# Opinion B: electoral college undermines democracy
# N_regular: 50
# Temperature: 0.2
# Cycles: 1
stubborn_count,field,magnetization_forward,error_forward,magnetization_backward,error_backward
-35,-0.411765,-0.884800,0.000000,-0.892800,0.000000
-34,-0.404762,-0.785600,0.000000,-0.758400,0.000000
-33,-0.397590,-0.732800,0.000000,-0.704000,0.000000
-32,-0.390244,-0.659200,0.000000,-0.668800,0.000000
-31,-0.382716,-0.801600,0.000000,0.044800,0.000000
-30,-0.375000,-0.894400,0.000000,0.425600,0.000000
-29,-0.367089,-0.854400,0.000000,0.710400,0.000000
-28,-0.358974,-0.864000,0.000000,0.926400,0.000000
-27,-0.350649,-0.833600,0.000000,0.830400,0.000000
-26,-0.342105,-0.840000,0.000000,0.940800,0.000000
-25,-0.333333,-0.872000,0.000000,0.905600,0.000000
-24,-0.324324,-0.833600,0.000000,1.000000,0.000000
-23,-0.315068,-0.785600,0.000000,0.977600,0.000000
-22,-0.305556,-0.752000,0.000000,1.000000,0.000000
-21,-0.295775,-0.913600,0.000000,1.000000,0.000000
-20,-0.285714,-0.865600,0.000000,1.000000,0.000000
-19,-0.275362,-0.806400,0.000000,1.000000,0.000000
-18,-0.264706,-0.700800,0.000000,1.000000,0.000000
-17,-0.253731,-0.832000,0.000000,1.000000,0.000000
-16,-0.242424,-0.790400,0.000000,1.000000,0.000000
-15,-0.230769,-0.854400,0.000000,0.977600,0.000000
-14,-0.218750,-0.729600,0.000000,1.000000,0.000000
-13,-0.206349,-0.921600,0.000000,1.000000,0.000000
-12,-0.193548,-0.755200,0.000000,1.000000,0.000000
-11,-0.180328,-0.764800,0.000000,1.000000,0.000000
-10,-0.166667,-0.825600,0.000000,1.000000,0.000000
-9,-0.152542,-0.808000,0.000000,1.000000,0.000000
-8,-0.137931,-0.894400,0.000000,1.000000,0.000000
-7,-0.122807,-1.000000,0.000000,1.000000,0.000000
-6,-0.107143,-1.000000,0.000000,1.000000,0.000000
-5,-0.090909,-1.000000,0.000000,1.000000,0.000000
-4,-0.074074,-1.000000,0.000000,1.000000,0.000000
-3,-0.056604,-1.000000,0.000000,1.000000,0.000000
-2,-0.038462,-1.000000,0.000000,1.000000,0.000000
-1,-0.019608,-1.000000,0.000000,1.000000,0.000000
0,0.000000,-1.000000,0.000000,1.000000,0.000000
1,0.019608,-0.844800,0.000000,1.000000,0.000000
2,0.038462,-0.921600,0.000000,1.000000,0.000000
3,0.056604,-0.806400,0.000000,1.000000,0.000000
4,0.074074,-0.873600,0.000000,1.000000,0.000000
5,0.090909,-0.750400,0.000000,1.000000,0.000000
6,0.107143,-0.662400,0.000000,1.000000,0.000000
7,0.122807,-0.873600,0.000000,1.000000,0.000000
8,0.137931,-0.755200,0.000000,1.000000,0.000000
9,0.152542,-0.852800,0.000000,1.000000,0.000000
10,0.166667,-0.872000,0.000000,1.000000,0.000000
11,0.180328,-0.652800,0.000000,1.000000,0.000000
12,0.193548,0.249600,0.000000,1.000000,0.000000
13,0.206349,0.782400,0.000000,1.000000,0.000000
14,0.218750,1.000000,0.000000,1.000000,0.000000
15,0.230769,1.000000,0.000000,1.000000,0.000000
16,0.242424,1.000000,0.000000,1.000000,0.000000
17,0.253731,1.000000,0.000000,1.000000,0.000000
18,0.264706,1.000000,0.000000,1.000000,0.000000
19,0.275362,1.000000,0.000000,1.000000,0.000000
20,0.285714,1.000000,0.000000,1.000000,0.000000
21,0.295775,1.000000,0.000000,1.000000,0.000000
22,0.305556,1.000000,0.000000,1.000000,0.000000
23,0.315068,1.000000,0.000000,1.000000,0.000000
24,0.324324,1.000000,0.000000,1.000000,0.000000
25,0.333333,1.000000,0.000000,1.000000,0.000000
26,0.342105,1.000000,0.000000,1.000000,0.000000
27,0.350649,1.000000,0.000000,1.000000,0.000000
28,0.358974,1.000000,0.000000,1.000000,0.000000
29,0.367089,1.000000,0.000000,1.000000,0.000000
30,0.375000,1.000000,0.000000,1.000000,0.000000
31,0.382716,1.000000,0.000000,1.000000,0.000000
32,0.390244,1.000000,0.000000,1.000000,0.000000
33,0.397590,1.000000,0.000000,1.000000,0.000000
34,0.404762,1.000000,0.000000,1.000000,0.000000
35,0.411765,1.000000,0.000000,1.000000,0.000000
