# Hysteresis Cycle Data
# Opinion A: pizza
# Opinion B: pasta
# N_regular: 50
# Temperature: 0.2
# Cycles: 1
stubborn_count,field,magnetization_forward,error_forward,magnetization_backward,error_backward
-35,-0.411765,-0.816000,0.000000,-0.689600,0.000000
-34,-0.404762,-0.844800,0.000000,-0.800000,0.000000
-33,-0.397590,-0.603200,0.000000,-0.771200,0.000000
-32,-0.390244,-0.774400,0.000000,-0.913600,0.000000
-31,-0.382716,-0.713600,0.000000,-0.672000,0.000000
-30,-0.375000,-0.851200,0.000000,-0.531200,0.000000
-29,-0.367089,-0.768000,0.000000,-0.768000,0.000000
-28,-0.358974,-0.726400,0.000000,-0.665600,0.000000
-27,-0.350649,-0.825600,0.000000,-0.592000,0.000000
-26,-0.342105,-0.710400,0.000000,-0.700800,0.000000
-25,-0.333333,-0.843200,0.000000,-0.552000,0.000000
-24,-0.324324,-0.782400,0.000000,-0.726400,0.000000
-23,-0.315068,-0.787200,0.000000,-0.907200,0.000000
-22,-0.305556,-0.729600,0.000000,-0.721600,0.000000
-21,-0.295775,-0.601600,0.000000,-0.692800,0.000000
-20,-0.285714,-0.638400,0.000000,-0.740800,0.000000
-19,-0.275362,-0.804800,0.000000,-0.814400,0.000000
-18,-0.264706,-0.742400,0.000000,-0.758400,0.000000
-17,-0.253731,-0.764800,0.000000,-0.864000,0.000000
-16,-0.242424,-0.881600,0.000000,-0.745600,0.000000
-15,-0.230769,-0.776000,0.000000,-0.619200,0.000000
-14,-0.218750,-0.683200,0.000000,-0.694400,0.000000
-13,-0.206349,-0.923200,0.000000,-0.545600,0.000000
-12,-0.193548,-0.825600,0.000000,0.059200,0.000000
-11,-0.180328,-0.704000,0.000000,0.433600,0.000000
-10,-0.166667,-0.699200,0.000000,0.856000,0.000000
-9,-0.152542,-0.729600,0.000000,0.900800,0.000000
-8,-0.137931,-0.472000,0.000000,0.921600,0.000000
-7,-0.122807,-0.641600,0.000000,0.838400,0.000000
-6,-0.107143,-0.632000,0.000000,0.875200,0.000000
-5,-0.090909,-0.606400,0.000000,1.000000,0.000000
-4,-0.074074,-0.740800,0.000000,0.947200,0.000000
-3,-0.056604,-0.480000,0.000000,0.988800,0.000000
-2,-0.038462,-0.577600,0.000000,0.960000,0.000000
-1,-0.019608,-0.537600,0.000000,0.923200,0.000000
0,0.000000,-0.491200,0.000000,1.000000,0.000000
1,0.019608,-0.248000,0.000000,1.000000,0.000000
2,0.038462,-0.340800,0.000000,1.000000,0.000000
3,0.056604,-0.484800,0.000000,1.000000,0.000000
4,0.074074,-0.257600,0.000000,1.000000,0.000000
5,0.090909,0.046400,0.000000,1.000000,0.000000
6,0.107143,0.305600,0.000000,1.000000,0.000000
7,0.122807,0.659200,0.000000,1.000000,0.000000
8,0.137931,0.804800,0.000000,1.000000,0.000000
9,0.152542,0.854400,0.000000,1.000000,0.000000
10,0.166667,1.000000,0.000000,1.000000,0.000000
11,0.180328,1.000000,0.000000,1.000000,0.000000
12,0.193548,1.000000,0.000000,1.000000,0.000000
13,0.206349,1.000000,0.000000,1.000000,0.000000
14,0.218750,1.000000,0.000000,1.000000,0.000000
15,0.230769,1.000000,0.000000,1.000000,0.000000
16,0.242424,1.000000,0.000000,1.000000,0.000000
17,0.253731,1.000000,0.000000,1.000000,0.000000
18,0.264706,1.000000,0.000000,1.000000,0.000000
19,0.275362,1.000000,0.000000,1.000000,0.000000
20,0.285714,1.000000,0.000000,1.000000,0.000000
21,0.295775,1.000000,0.000000,1.000000,0.000000
22,0.305556,1.000000,0.000000,1.000000,0.000000
23,0.315068,1.000000,0.000000,1.000000,0.000000
24,0.324324,1.000000,0.000000,1.000000,0.000000
25,0.333333,1.000000,0.000000,1.000000,0.000000
26,0.342105,1.000000,0.000000,1.000000,0.000000
27,0.350649,1.000000,0.000000,1.000000,0.000000
28,0.358974,1.000000,0.000000,1.000000,0.000000
29,0.367089,1.000000,0.000000,1.000000,0.000000
30,0.375000,1.000000,0.000000,1.000000,0.000000
31,0.382716,1.000000,0.000000,1.000000,0.000000
32,0.390244,1.000000,0.000000,1.000000,0.000000
33,0.397590,1.000000,0.000000,1.000000,0.000000
34,0.404762,1.000000,0.000000,1.000000,0.000000
35,0.411765,1.000000,0.000000,1.000000,0.000000
