# Hysteresis Cycle Data
# Opinion A: pornography acceptable
# Opinion B: pornography harmful
# N_regular: 50
# Temperature: 0.2
# Cycles: 1
stubborn_count,field,magnetization_forward,error_forward,magnetization_backward,error_backward
-30,-0.375000,-0.910400,0.000000,-1.000000,0.000000
-29,-0.367089,-1.000000,0.000000,-1.000000,0.000000
-28,-0.358974,-1.000000,0.000000,-1.000000,0.000000
-27,-0.350649,-1.000000,0.000000,-1.000000,0.000000
-26,-0.342105,-1.000000,0.000000,-1.000000,0.000000
-25,-0.333333,-1.000000,0.000000,-0.988800,0.000000
-24,-0.324324,-1.000000,0.000000,-0.824000,0.000000
-23,-0.315068,-1.000000,0.000000,-0.284800,0.000000
-22,-0.305556,-1.000000,0.000000,0.588800,0.000000
-21,-0.295775,-1.000000,0.000000,0.643200,0.000000
-20,-0.285714,-1.000000,0.000000,0.716800,0.000000
-19,-0.275362,-1.000000,0.000000,0.577600,0.000000
-18,-0.264706,-1.000000,0.000000,0.646400,0.000000
-17,-0.253731,-1.000000,0.000000,0.550400,0.000000
-16,-0.242424,-1.000000,0.000000,0.705600,0.000000
-15,-0.230769,-1.000000,0.000000,0.838400,0.000000
-14,-0.218750,-1.000000,0.000000,0.713600,0.000000
-13,-0.206349,-1.000000,0.000000,0.764800,0.000000
-12,-0.193548,-1.000000,0.000000,0.584000,0.000000
-11,-0.180328,-1.000000,0.000000,0.628800,0.000000
-10,-0.166667,-1.000000,0.000000,0.627200,0.000000
-9,-0.152542,-1.000000,0.000000,0.348800,0.000000
-8,-0.137931,-1.000000,0.000000,0.728000,0.000000
-7,-0.122807,-1.000000,0.000000,0.696000,0.000000
-6,-0.107143,-1.000000,0.000000,0.734400,0.000000
-5,-0.090909,-1.000000,0.000000,0.713600,0.000000
-4,-0.074074,-1.000000,0.000000,0.720000,0.000000
-3,-0.056604,-1.000000,0.000000,0.633600,0.000000
-2,-0.038462,-1.000000,0.000000,0.585600,0.000000
-1,-0.019608,-1.000000,0.000000,0.659200,0.000000
0,0.000000,-1.000000,0.000000,0.699200,0.000000
1,0.019608,-1.000000,0.000000,0.635200,0.000000
2,0.038462,-0.990400,0.000000,0.566400,0.000000
3,0.056604,-0.960000,0.000000,0.689600,0.000000
4,0.074074,-1.000000,0.000000,0.643200,0.000000
5,0.090909,-0.992000,0.000000,0.737600,0.000000
6,0.107143,-1.000000,0.000000,0.672000,0.000000
7,0.122807,-0.960000,0.000000,0.707200,0.000000
8,0.137931,-0.985600,0.000000,0.747200,0.000000
9,0.152542,-0.947200,0.000000,0.617600,0.000000
10,0.166667,-0.960000,0.000000,0.694400,0.000000
11,0.180328,-0.940800,0.000000,0.571200,0.000000
12,0.193548,-0.971200,0.000000,0.628800,0.000000
13,0.206349,-0.886400,0.000000,0.680000,0.000000
14,0.218750,-0.947200,0.000000,0.596800,0.000000
15,0.230769,-0.824000,0.000000,0.729600,0.000000
16,0.242424,-0.411200,0.000000,0.641600,0.000000
17,0.253731,0.328000,0.000000,0.601600,0.000000
18,0.264706,0.643200,0.000000,0.675200,0.000000
19,0.275362,0.705600,0.000000,0.702400,0.000000
20,0.285714,0.726400,0.000000,0.648000,0.000000
21,0.295775,0.628800,0.000000,0.731200,0.000000
22,0.305556,0.611200,0.000000,0.696000,0.000000
23,0.315068,0.729600,0.000000,0.638400,0.000000
24,0.324324,0.548800,0.000000,0.676800,0.000000
25,0.333333,0.624000,0.000000,0.675200,0.000000
26,0.342105,0.377600,0.000000,0.675200,0.000000
27,0.350649,0.508800,0.000000,0.766400,0.000000
28,0.358974,0.520000,0.000000,0.716800,0.000000
29,0.367089,0.648000,0.000000,0.718400,0.000000
30,0.375000,0.579200,0.000000,0.721600,0.000000
