# Hysteresis Cycle Data
# Opinion A: smartphone use for kids
# Opinion B: restricted smartphone access
# N_regular: 50
# Temperature: 0.2
# Cycles: 1
stubborn_count,field,magnetization_forward,error_forward,magnetization_backward,error_backward
-30,-0.375000,-0.817600,0.000000,-1.000000,0.000000
-29,-0.367089,-0.976000,0.000000,-1.000000,0.000000
-28,-0.358974,-1.000000,0.000000,-0.960000,0.000000
-27,-0.350649,-1.000000,0.000000,-0.881600,0.000000
-26,-0.342105,-1.000000,0.000000,-0.457600,0.000000
-25,-0.333333,-1.000000,0.000000,0.484800,0.000000
-24,-0.324324,-1.000000,0.000000,0.883200,0.000000
-23,-0.315068,-1.000000,0.000000,0.928000,0.000000
-22,-0.305556,-1.000000,0.000000,0.907200,0.000000
-21,-0.295775,-1.000000,0.000000,0.964800,0.000000
-20,-0.285714,-1.000000,0.000000,1.000000,0.000000
-19,-0.275362,-1.000000,0.000000,1.000000,0.000000
-18,-0.264706,-1.000000,0.000000,1.000000,0.000000
-17,-0.253731,-1.000000,0.000000,1.000000,0.000000
-16,-0.242424,-1.000000,0.000000,0.929600,0.000000
-15,-0.230769,-1.000000,0.000000,0.931200,0.000000
-14,-0.218750,-1.000000,0.000000,0.924800,0.000000
-13,-0.206349,-1.000000,0.000000,0.913600,0.000000
-12,-0.193548,-1.000000,0.000000,0.862400,0.000000
-11,-0.180328,-1.000000,0.000000,0.872000,0.000000
-10,-0.166667,-1.000000,0.000000,1.000000,0.000000
-9,-0.152542,-1.000000,0.000000,0.921600,0.000000
-8,-0.137931,-1.000000,0.000000,0.840000,0.000000
-7,-0.122807,-1.000000,0.000000,0.884800,0.000000
-6,-0.107143,-1.000000,0.000000,0.856000,0.000000
-5,-0.090909,-1.000000,0.000000,0.886400,0.000000
-4,-0.074074,-1.000000,0.000000,0.892800,0.000000
-3,-0.056604,-1.000000,0.000000,0.761600,0.000000
-2,-0.038462,-1.000000,0.000000,0.856000,0.000000
-1,-0.019608,-1.000000,0.000000,0.720000,0.000000
0,0.000000,-1.000000,0.000000,0.769600,0.000000
1,0.019608,-0.990400,0.000000,0.726400,0.000000
2,0.038462,-0.953600,0.000000,0.825600,0.000000
3,0.056604,-0.960000,0.000000,0.828800,0.000000
4,0.074074,-1.000000,0.000000,0.699200,0.000000
5,0.090909,-0.960000,0.000000,0.808000,0.000000
6,0.107143,-0.958400,0.000000,0.846400,0.000000
7,0.122807,-1.000000,0.000000,0.780800,0.000000
8,0.137931,-1.000000,0.000000,0.836800,0.000000
9,0.152542,-0.960000,0.000000,0.808000,0.000000
10,0.166667,-1.000000,0.000000,0.686400,0.000000
11,0.180328,-1.000000,0.000000,0.809600,0.000000
12,0.193548,-1.000000,0.000000,0.800000,0.000000
13,0.206349,-1.000000,0.000000,0.817600,0.000000
14,0.218750,-0.924800,0.000000,0.744000,0.000000
15,0.230769,-0.886400,0.000000,0.715200,0.000000
16,0.242424,-0.918400,0.000000,0.835200,0.000000
17,0.253731,-0.939200,0.000000,0.756800,0.000000
18,0.264706,-0.780800,0.000000,0.801600,0.000000
19,0.275362,-0.446400,0.000000,0.801600,0.000000
20,0.285714,0.433600,0.000000,0.790400,0.000000
21,0.295775,0.736000,0.000000,0.684800,0.000000
22,0.305556,0.796800,0.000000,0.812800,0.000000
23,0.315068,0.830400,0.000000,0.771200,0.000000
24,0.324324,0.732800,0.000000,0.820800,0.000000
25,0.333333,0.814400,0.000000,0.764800,0.000000
26,0.342105,0.790400,0.000000,0.680000,0.000000
27,0.350649,0.808000,0.000000,0.721600,0.000000
28,0.358974,0.814400,0.000000,0.801600,0.000000
29,0.367089,0.838400,0.000000,0.779200,0.000000
30,0.375000,0.737600,0.000000,0.734400,0.000000
