# Hysteresis Cycle Data
# Opinion A: gun control
# Opinion B: gun rights
# N_regular: 50
# Temperature: 0.2
# Cycles: 1
stubborn_count,field,magnetization_forward,error_forward,magnetization_backward,error_backward
-35,-0.411765,-0.734400,0.000000,-1.000000,0.000000
-34,-0.404762,-0.915200,0.000000,-1.000000,0.000000
-33,-0.397590,-0.868800,0.000000,-1.000000,0.000000
-32,-0.390244,-0.894400,0.000000,-1.000000,0.000000
-31,-0.382716,-0.755200,0.000000,-1.000000,0.000000
-30,-0.375000,-1.000000,0.000000,-1.000000,0.000000
-29,-0.367089,-1.000000,0.000000,-1.000000,0.000000
-28,-0.358974,-1.000000,0.000000,-1.000000,0.000000
-27,-0.350649,-1.000000,0.000000,-1.000000,0.000000
-26,-0.342105,-1.000000,0.000000,-1.000000,0.000000
-25,-0.333333,-1.000000,0.000000,-1.000000,0.000000
-24,-0.324324,-1.000000,0.000000,-1.000000,0.000000
-23,-0.315068,-1.000000,0.000000,-1.000000,0.000000
-22,-0.305556,-1.000000,0.000000,-1.000000,0.000000
-21,-0.295775,-1.000000,0.000000,-1.000000,0.000000
-20,-0.285714,-1.000000,0.000000,-1.000000,0.000000
-19,-0.275362,-1.000000,0.000000,-1.000000,0.000000
-18,-0.264706,-1.000000,0.000000,-1.000000,0.000000
-17,-0.253731,-1.000000,0.000000,-1.000000,0.000000
-16,-0.242424,-1.000000,0.000000,-1.000000,0.000000
-15,-0.230769,-1.000000,0.000000,-1.000000,0.000000
-14,-0.218750,-1.000000,0.000000,-1.000000,0.000000
-13,-0.206349,-1.000000,0.000000,-1.000000,0.000000
-12,-0.193548,-1.000000,0.000000,-1.000000,0.000000
-11,-0.180328,-1.000000,0.000000,-1.000000,0.000000
-10,-0.166667,-1.000000,0.000000,-1.000000,0.000000
-9,-0.152542,-1.000000,0.000000,-1.000000,0.000000
-8,-0.137931,-1.000000,0.000000,-1.000000,0.000000
-7,-0.122807,-1.000000,0.000000,-1.000000,0.000000
-6,-0.107143,-1.000000,0.000000,-1.000000,0.000000
-5,-0.090909,-1.000000,0.000000,-1.000000,0.000000
-4,-0.074074,-1.000000,0.000000,-1.000000,0.000000
-3,-0.056604,-1.000000,0.000000,-1.000000,0.000000
-2,-0.038462,-1.000000,0.000000,-1.000000,0.000000
-1,-0.019608,-1.000000,0.000000,-1.000000,0.000000
0,0.000000,-1.000000,0.000000,-1.000000,0.000000
1,0.019608,-0.896000,0.000000,-1.000000,0.000000
2,0.038462,-0.878400,0.000000,-0.884800,0.000000
3,0.056604,-0.812800,0.000000,-0.891200,0.000000
4,0.074074,-0.900800,0.000000,-0.878400,0.000000
5,0.090909,-0.916800,0.000000,-0.902400,0.000000
6,0.107143,-0.945600,0.000000,-0.790400,0.000000
7,0.122807,-0.916800,0.000000,-0.918400,0.000000
8,0.137931,-0.736000,0.000000,-0.929600,0.000000
9,0.152542,-0.760000,0.000000,-0.902400,0.000000
10,0.166667,-0.804800,0.000000,-0.936000,0.000000
11,0.180328,-0.942400,0.000000,-0.942400,0.000000
12,0.193548,-0.873600,0.000000,-0.960000,0.000000
13,0.206349,-0.920000,0.000000,-0.947200,0.000000
14,0.218750,-0.920000,0.000000,-0.636800,0.000000
15,0.230769,-0.920000,0.000000,-0.196800,0.000000
16,0.242424,-1.000000,0.000000,0.196800,0.000000
17,0.253731,-0.968000,0.000000,0.246400,0.000000
18,0.264706,-0.976000,0.000000,0.480000,0.000000
19,0.275362,-0.960000,0.000000,0.443200,0.000000
20,0.285714,-0.945600,0.000000,0.470400,0.000000
21,0.295775,-0.936000,0.000000,0.240000,0.000000
22,0.305556,-0.920000,0.000000,0.427200,0.000000
23,0.315068,-0.886400,0.000000,0.329600,0.000000
24,0.324324,-0.864000,0.000000,0.427200,0.000000
25,0.333333,-0.825600,0.000000,0.550400,0.000000
26,0.342105,-0.809600,0.000000,0.760000,0.000000
27,0.350649,-0.854400,0.000000,0.507200,0.000000
28,0.358974,-0.888000,0.000000,0.302400,0.000000
29,0.367089,-1.000000,0.000000,0.526400,0.000000
30,0.375000,-0.904000,0.000000,0.465600,0.000000
31,0.382716,-0.684800,0.000000,0.441600,0.000000
32,0.390244,-0.483200,0.000000,0.420800,0.000000
33,0.397590,-0.324800,0.000000,0.379200,0.000000
34,0.404762,0.060800,0.000000,0.264000,0.000000
35,0.411765,0.006400,0.000000,-0.081600,0.000000
