# Hysteresis Cycle Data
# Opinion A: big government
# Opinion B: small government
# N_regular: 50
# Temperature: 0.2
# Cycles: 1
stubborn_count,field,magnetization_forward,error_forward,magnetization_backward,error_backward
-30,-0.375000,-0.870400,0.000000,-1.000000,0.000000
-29,-0.367089,-0.889600,0.000000,-1.000000,0.000000
-28,-0.358974,-1.000000,0.000000,-1.000000,0.000000
-27,-0.350649,-1.000000,0.000000,-1.000000,0.000000
-26,-0.342105,-1.000000,0.000000,-1.000000,0.000000
-25,-0.333333,-1.000000,0.000000,-1.000000,0.000000
-24,-0.324324,-1.000000,0.000000,-1.000000,0.000000
-23,-0.315068,-1.000000,0.000000,-1.000000,0.000000
-22,-0.305556,-1.000000,0.000000,-1.000000,0.000000
-21,-0.295775,-1.000000,0.000000,-1.000000,0.000000
-20,-0.285714,-1.000000,0.000000,-1.000000,0.000000
-19,-0.275362,-1.000000,0.000000,-1.000000,0.000000
-18,-0.264706,-1.000000,0.000000,-1.000000,0.000000
-17,-0.253731,-1.000000,0.000000,-1.000000,0.000000
-16,-0.242424,-1.000000,0.000000,-1.000000,0.000000
-15,-0.230769,-1.000000,0.000000,-0.902400,0.000000
-14,-0.218750,-1.000000,0.000000,-0.896000,0.000000
-13,-0.206349,-1.000000,0.000000,-0.584000,0.000000
-12,-0.193548,-1.000000,0.000000,-0.057600,0.000000
-11,-0.180328,-1.000000,0.000000,0.265600,0.000000
-10,-0.166667,-1.000000,0.000000,0.614400,0.000000
-9,-0.152542,-1.000000,0.000000,0.870400,0.000000
-8,-0.137931,-1.000000,0.000000,0.955200,0.000000
-7,-0.122807,-1.000000,0.000000,0.931200,0.000000
-6,-0.107143,-1.000000,0.000000,0.849600,0.000000
-5,-0.090909,-1.000000,0.000000,0.724800,0.000000
-4,-0.074074,-1.000000,0.000000,0.761600,0.000000
-3,-0.056604,-1.000000,0.000000,0.849600,0.000000
-2,-0.038462,-1.000000,0.000000,0.910400,0.000000
-1,-0.019608,-1.000000,0.000000,0.918400,0.000000
0,0.000000,-1.000000,0.000000,0.950400,0.000000
1,0.019608,-0.920000,0.000000,1.000000,0.000000
2,0.038462,-0.902400,0.000000,0.947200,0.000000
3,0.056604,-1.000000,0.000000,0.915200,0.000000
4,0.074074,-1.000000,0.000000,0.859200,0.000000
5,0.090909,-0.936000,0.000000,0.915200,0.000000
6,0.107143,-0.934400,0.000000,0.920000,0.000000
7,0.122807,-1.000000,0.000000,0.864000,0.000000
8,0.137931,-0.988800,0.000000,0.851200,0.000000
9,0.152542,-0.995200,0.000000,0.840000,0.000000
10,0.166667,-0.972800,0.000000,0.892800,0.000000
11,0.180328,-0.932800,0.000000,0.880000,0.000000
12,0.193548,-0.817600,0.000000,0.776000,0.000000
13,0.206349,-0.609600,0.000000,0.849600,0.000000
14,0.218750,-0.083200,0.000000,0.886400,0.000000
15,0.230769,0.579200,0.000000,0.907200,0.000000
16,0.242424,0.774400,0.000000,0.902400,0.000000
17,0.253731,0.804800,0.000000,0.892800,0.000000
18,0.264706,0.817600,0.000000,0.796800,0.000000
19,0.275362,0.926400,0.000000,0.913600,0.000000
20,0.285714,0.881600,0.000000,0.844800,0.000000
21,0.295775,0.931200,0.000000,0.902400,0.000000
22,0.305556,0.880000,0.000000,0.856000,0.000000
23,0.315068,0.884800,0.000000,0.827200,0.000000
24,0.324324,0.899200,0.000000,0.918400,0.000000
25,0.333333,0.878400,0.000000,0.872000,0.000000
26,0.342105,0.859200,0.000000,0.849600,0.000000
27,0.350649,0.923200,0.000000,0.902400,0.000000
28,0.358974,0.910400,0.000000,0.880000,0.000000
29,0.367089,0.924800,0.000000,0.822400,0.000000
30,0.375000,0.888000,0.000000,0.913600,0.000000
