# Hysteresis Cycle Data
# Opinion A: defund the police
# Opinion B: support the police
# N_regular: 50
# Temperature: 0.2
# Cycles: 1
stubborn_count,field,magnetization_forward,error_forward,magnetization_backward,error_backward
-35,-0.411765,-0.657600,0.000000,-0.779200,0.000000
-34,-0.404762,-0.691200,0.000000,-0.544000,0.000000
-33,-0.397590,-0.555200,0.000000,-0.523200,0.000000
-32,-0.390244,-0.486400,0.000000,-0.612800,0.000000
-31,-0.382716,-0.544000,0.000000,-0.656000,0.000000
-30,-0.375000,-0.547200,0.000000,-0.625600,0.000000
-29,-0.367089,-0.494400,0.000000,-0.460800,0.000000
-28,-0.358974,-0.662400,0.000000,-0.528000,0.000000
-27,-0.350649,-0.355200,0.000000,-0.531200,0.000000
-26,-0.342105,-0.484800,0.000000,-0.606400,0.000000
-25,-0.333333,-0.464000,0.000000,-0.430400,0.000000
-24,-0.324324,-0.560000,0.000000,-0.708800,0.000000
-23,-0.315068,-0.635200,0.000000,-0.451200,0.000000
-22,-0.305556,-0.652800,0.000000,-0.451200,0.000000
-21,-0.295775,-0.756800,0.000000,-0.523200,0.000000
-20,-0.285714,-0.716800,0.000000,-0.553600,0.000000
-19,-0.275362,-0.579200,0.000000,-0.603200,0.000000
-18,-0.264706,-0.499200,0.000000,-0.624000,0.000000
-17,-0.253731,-0.398400,0.000000,-0.521600,0.000000
-16,-0.242424,-0.616000,0.000000,-0.620800,0.000000
-15,-0.230769,-0.680000,0.000000,-0.432000,0.000000
-14,-0.218750,-0.494400,0.000000,-0.502400,0.000000
-13,-0.206349,-0.651200,0.000000,-0.580800,0.000000
-12,-0.193548,-0.696000,0.000000,-0.536000,0.000000
-11,-0.180328,-0.531200,0.000000,-0.592000,0.000000
-10,-0.166667,-0.739200,0.000000,-0.545600,0.000000
-9,-0.152542,-0.539200,0.000000,-0.289600,0.000000
-8,-0.137931,-0.691200,0.000000,0.414400,0.000000
-7,-0.122807,-0.729600,0.000000,0.505600,0.000000
-6,-0.107143,-0.732800,0.000000,0.483200,0.000000
-5,-0.090909,-0.622400,0.000000,0.593600,0.000000
-4,-0.074074,-0.683200,0.000000,0.776000,0.000000
-3,-0.056604,-0.569600,0.000000,0.750400,0.000000
-2,-0.038462,-0.400000,0.000000,0.798400,0.000000
-1,-0.019608,-0.499200,0.000000,0.996800,0.000000
0,0.000000,-0.540800,0.000000,1.000000,0.000000
1,0.019608,-0.649600,0.000000,1.000000,0.000000
2,0.038462,-0.696000,0.000000,1.000000,0.000000
3,0.056604,-0.670400,0.000000,1.000000,0.000000
4,0.074074,-0.868800,0.000000,1.000000,0.000000
5,0.090909,-0.652800,0.000000,1.000000,0.000000
6,0.107143,-0.713600,0.000000,1.000000,0.000000
7,0.122807,-0.726400,0.000000,1.000000,0.000000
8,0.137931,-0.696000,0.000000,1.000000,0.000000
9,0.152542,-0.601600,0.000000,1.000000,0.000000
10,0.166667,-0.667200,0.000000,1.000000,0.000000
11,0.180328,-0.833600,0.000000,1.000000,0.000000
12,0.193548,-0.728000,0.000000,1.000000,0.000000
13,0.206349,-0.387200,0.000000,1.000000,0.000000
14,0.218750,-0.552000,0.000000,1.000000,0.000000
15,0.230769,-0.734400,0.000000,1.000000,0.000000
16,0.242424,-0.734400,0.000000,1.000000,0.000000
17,0.253731,-0.676800,0.000000,1.000000,0.000000
18,0.264706,-0.460800,0.000000,1.000000,0.000000
19,0.275362,0.404800,0.000000,1.000000,0.000000
20,0.285714,0.771200,0.000000,1.000000,0.000000
21,0.295775,0.923200,0.000000,1.000000,0.000000
22,0.305556,1.000000,0.000000,1.000000,0.000000
23,0.315068,1.000000,0.000000,1.000000,0.000000
24,0.324324,1.000000,0.000000,1.000000,0.000000
25,0.333333,1.000000,0.000000,1.000000,0.000000
26,0.342105,1.000000,0.000000,1.000000,0.000000
27,0.350649,1.000000,0.000000,1.000000,0.000000
28,0.358974,1.000000,0.000000,1.000000,0.000000
29,0.367089,1.000000,0.000000,1.000000,0.000000
30,0.375000,1.000000,0.000000,1.000000,0.000000
31,0.382716,1.000000,0.000000,1.000000,0.000000
32,0.390244,1.000000,0.000000,1.000000,0.000000
33,0.397590,1.000000,0.000000,1.000000,0.000000
34,0.404762,1.000000,0.000000,1.000000,0.000000
35,0.411765,1.000000,0.000000,1.000000,0.000000
