# Hysteresis Cycle Data
# Opinion A: morning person
# Opinion B: night owl
# N_regular: 50
# Temperature: 0.2
# Cycles: 1
stubborn_count,field,magnetization_forward,error_forward,magnetization_backward,error_backward
-35,-0.411765,-0.787200,0.000000,-0.899200,0.000000
-34,-0.404762,-0.720000,0.000000,-0.771200,0.000000
-33,-0.397590,-0.846400,0.000000,-0.854400,0.000000
-32,-0.390244,-0.918400,0.000000,-0.852800,0.000000
-31,-0.382716,-0.880000,0.000000,-0.865600,0.000000
-30,-0.375000,-0.809600,0.000000,-0.803200,0.000000
-29,-0.367089,-0.876800,0.000000,-0.865600,0.000000
-28,-0.358974,-0.795200,0.000000,-0.852800,0.000000
-27,-0.350649,-0.836800,0.000000,-0.830400,0.000000
-26,-0.342105,-0.804800,0.000000,-0.795200,0.000000
-25,-0.333333,-0.835200,0.000000,-0.785600,0.000000
-24,-0.324324,-0.865600,0.000000,-0.772800,0.000000
-23,-0.315068,-0.824000,0.000000,-0.883200,0.000000
-22,-0.305556,-0.872000,0.000000,-0.795200,0.000000
-21,-0.295775,-0.867200,0.000000,-0.787200,0.000000
-20,-0.285714,-0.881600,0.000000,-0.516800,0.000000
-19,-0.275362,-0.800000,0.000000,0.323200,0.000000
-18,-0.264706,-0.828800,0.000000,0.289600,0.000000
-17,-0.253731,-0.806400,0.000000,0.580800,0.000000
-16,-0.242424,-0.840000,0.000000,0.776000,0.000000
-15,-0.230769,-0.860800,0.000000,0.846400,0.000000
-14,-0.218750,-0.905600,0.000000,0.950400,0.000000
-13,-0.206349,-0.924800,0.000000,0.860800,0.000000
-12,-0.193548,-0.811200,0.000000,0.916800,0.000000
-11,-0.180328,-0.828800,0.000000,0.921600,0.000000
-10,-0.166667,-0.822400,0.000000,0.872000,0.000000
-9,-0.152542,-0.868800,0.000000,0.892800,0.000000
-8,-0.137931,-0.857600,0.000000,0.859200,0.000000
-7,-0.122807,-0.862400,0.000000,0.982400,0.000000
-6,-0.107143,-0.852800,0.000000,0.960000,0.000000
-5,-0.090909,-0.881600,0.000000,0.945600,0.000000
-4,-0.074074,-0.939200,0.000000,0.848000,0.000000
-3,-0.056604,-0.864000,0.000000,0.848000,0.000000
-2,-0.038462,-0.809600,0.000000,0.830400,0.000000
-1,-0.019608,-0.905600,0.000000,0.812800,0.000000
0,0.000000,-0.811200,0.000000,0.897600,0.000000
1,0.019608,-0.856000,0.000000,0.796800,0.000000
2,0.038462,-0.915200,0.000000,0.892800,0.000000
3,0.056604,-0.918400,0.000000,0.868800,0.000000
4,0.074074,-0.928000,0.000000,0.814400,0.000000
5,0.090909,-0.820800,0.000000,0.844800,0.000000
6,0.107143,-0.910400,0.000000,0.800000,0.000000
7,0.122807,-0.840000,0.000000,0.840000,0.000000
8,0.137931,-0.920000,0.000000,0.800000,0.000000
9,0.152542,-0.907200,0.000000,0.808000,0.000000
10,0.166667,-0.769600,0.000000,0.907200,0.000000
11,0.180328,-0.856000,0.000000,0.888000,0.000000
12,0.193548,-0.758400,0.000000,0.756800,0.000000
13,0.206349,-0.643200,0.000000,0.771200,0.000000
14,0.218750,-0.432000,0.000000,0.856000,0.000000
15,0.230769,0.185600,0.000000,0.852800,0.000000
16,0.242424,0.878400,0.000000,0.840000,0.000000
17,0.253731,0.857600,0.000000,0.774400,0.000000
18,0.264706,0.857600,0.000000,0.844800,0.000000
19,0.275362,0.788800,0.000000,0.864000,0.000000
20,0.285714,0.849600,0.000000,0.790400,0.000000
21,0.295775,0.844800,0.000000,0.872000,0.000000
22,0.305556,0.836800,0.000000,0.824000,0.000000
23,0.315068,0.779200,0.000000,0.748800,0.000000
24,0.324324,0.798400,0.000000,0.710400,0.000000
25,0.333333,0.843200,0.000000,0.833600,0.000000
26,0.342105,0.806400,0.000000,0.851200,0.000000
27,0.350649,0.771200,0.000000,0.756800,0.000000
28,0.358974,0.739200,0.000000,0.785600,0.000000
29,0.367089,0.875200,0.000000,0.763200,0.000000
30,0.375000,0.881600,0.000000,0.886400,0.000000
31,0.382716,0.880000,0.000000,0.868800,0.000000
32,0.390244,0.827200,0.000000,0.873600,0.000000
33,0.397590,0.764800,0.000000,0.838400,0.000000
34,0.404762,0.841600,0.000000,0.846400,0.000000
35,0.411765,0.768000,0.000000,0.830400,0.000000
