# Hysteresis Cycle Data
# Opinion A: multiculturalism
# Opinion B: cultural assimilation
# N_regular: 50
# Temperature: 0.2
# Cycles: 1
stubborn_count,field,magnetization_forward,error_forward,magnetization_backward,error_backward
-35,-0.411765,-0.752000,0.000000,-1.000000,0.000000
-34,-0.404762,-0.849600,0.000000,-1.000000,0.000000
-33,-0.397590,-0.684800,0.000000,-1.000000,0.000000
-32,-0.390244,-0.806400,0.000000,-1.000000,0.000000
-31,-0.382716,-0.788800,0.000000,-1.000000,0.000000
-30,-0.375000,-0.825600,0.000000,-1.000000,0.000000
-29,-0.367089,-0.830400,0.000000,-1.000000,0.000000
-28,-0.358974,-0.760000,0.000000,-0.755200,0.000000
-27,-0.350649,-0.732800,0.000000,-0.681600,0.000000
-26,-0.342105,-0.790400,0.000000,-0.747200,0.000000
-25,-0.333333,-0.734400,0.000000,-0.697600,0.000000
-24,-0.324324,-0.670400,0.000000,-0.707200,0.000000
-23,-0.315068,-0.680000,0.000000,-0.763200,0.000000
-22,-0.305556,-0.720000,0.000000,-0.753600,0.000000
-21,-0.295775,-0.880000,0.000000,-0.587200,0.000000
-20,-0.285714,-0.824000,0.000000,0.382400,0.000000
-19,-0.275362,-0.726400,0.000000,0.595200,0.000000
-18,-0.264706,-0.755200,0.000000,0.768000,0.000000
-17,-0.253731,-0.766400,0.000000,0.881600,0.000000
-16,-0.242424,-0.880000,0.000000,0.865600,0.000000
-15,-0.230769,-0.784000,0.000000,0.884800,0.000000
-14,-0.218750,-0.750400,0.000000,0.862400,0.000000
-13,-0.206349,-0.745600,0.000000,0.952000,0.000000
-12,-0.193548,-0.811200,0.000000,0.931200,0.000000
-11,-0.180328,-0.552000,0.000000,0.920000,0.000000
-10,-0.166667,-0.668800,0.000000,0.878400,0.000000
-9,-0.152542,-0.800000,0.000000,0.888000,0.000000
-8,-0.137931,-0.792000,0.000000,0.910400,0.000000
-7,-0.122807,-0.809600,0.000000,0.896000,0.000000
-6,-0.107143,-0.808000,0.000000,0.843200,0.000000
-5,-0.090909,-0.795200,0.000000,0.875200,0.000000
-4,-0.074074,-0.702400,0.000000,0.811200,0.000000
-3,-0.056604,-0.832000,0.000000,0.939200,0.000000
-2,-0.038462,-0.792000,0.000000,0.904000,0.000000
-1,-0.019608,-0.840000,0.000000,0.800000,0.000000
0,0.000000,-0.708800,0.000000,1.000000,0.000000
1,0.019608,-0.692800,0.000000,1.000000,0.000000
2,0.038462,-0.804800,0.000000,1.000000,0.000000
3,0.056604,-0.750400,0.000000,1.000000,0.000000
4,0.074074,-0.780800,0.000000,1.000000,0.000000
5,0.090909,-0.820800,0.000000,1.000000,0.000000
6,0.107143,-0.840000,0.000000,1.000000,0.000000
7,0.122807,-0.902400,0.000000,1.000000,0.000000
8,0.137931,-0.827200,0.000000,1.000000,0.000000
9,0.152542,-0.672000,0.000000,1.000000,0.000000
10,0.166667,-0.555200,0.000000,1.000000,0.000000
11,0.180328,0.416000,0.000000,1.000000,0.000000
12,0.193548,0.793600,0.000000,1.000000,0.000000
13,0.206349,0.819200,0.000000,1.000000,0.000000
14,0.218750,0.825600,0.000000,1.000000,0.000000
15,0.230769,0.827200,0.000000,1.000000,0.000000
16,0.242424,0.843200,0.000000,1.000000,0.000000
17,0.253731,0.809600,0.000000,1.000000,0.000000
18,0.264706,0.739200,0.000000,1.000000,0.000000
19,0.275362,0.792000,0.000000,1.000000,0.000000
20,0.285714,0.860800,0.000000,1.000000,0.000000
21,0.295775,0.768000,0.000000,1.000000,0.000000
22,0.305556,0.891200,0.000000,1.000000,0.000000
23,0.315068,0.788800,0.000000,1.000000,0.000000
24,0.324324,0.873600,0.000000,1.000000,0.000000
25,0.333333,0.846400,0.000000,1.000000,0.000000
26,0.342105,0.891200,0.000000,1.000000,0.000000
27,0.350649,0.859200,0.000000,1.000000,0.000000
28,0.358974,0.872000,0.000000,1.000000,0.000000
29,0.367089,0.862400,0.000000,1.000000,0.000000
30,0.375000,0.884800,0.000000,1.000000,0.000000
31,0.382716,0.852800,0.000000,1.000000,0.000000
32,0.390244,0.777600,0.000000,1.000000,0.000000
33,0.397590,0.859200,0.000000,0.825600,0.000000
34,0.404762,0.771200,0.000000,0.857600,0.000000
35,0.411765,0.785600,0.000000,0.784000,0.000000
