# Hysteresis Cycle Data
# Opinion A: unrestricted gun ownership
# Opinion B: restrict gun rights for public safety
# N_regular: 50
# Temperature: 0.2
# Cycles: 1
stubborn_count,field,magnetization_forward,error_forward,magnetization_backward,error_backward
-30,-0.375000,-0.886400,0.000000,-1.000000,0.000000
-29,-0.367089,-0.880000,0.000000,-1.000000,0.000000
-28,-0.358974,-0.990400,0.000000,-1.000000,0.000000
-27,-0.350649,-1.000000,0.000000,-1.000000,0.000000
-26,-0.342105,-1.000000,0.000000,-1.000000,0.000000
-25,-0.333333,-1.000000,0.000000,-1.000000,0.000000
-24,-0.324324,-1.000000,0.000000,-1.000000,0.000000
-23,-0.315068,-1.000000,0.000000,-1.000000,0.000000
-22,-0.305556,-1.000000,0.000000,-1.000000,0.000000
-21,-0.295775,-1.000000,0.000000,-1.000000,0.000000
-20,-0.285714,-1.000000,0.000000,-1.000000,0.000000
-19,-0.275362,-1.000000,0.000000,-1.000000,0.000000
-18,-0.264706,-1.000000,0.000000,-1.000000,0.000000
-17,-0.253731,-1.000000,0.000000,-1.000000,0.000000
-16,-0.242424,-1.000000,0.000000,-1.000000,0.000000
-15,-0.230769,-1.000000,0.000000,-1.000000,0.000000
-14,-0.218750,-1.000000,0.000000,-1.000000,0.000000
-13,-0.206349,-1.000000,0.000000,-1.000000,0.000000
-12,-0.193548,-1.000000,0.000000,-1.000000,0.000000
-11,-0.180328,-1.000000,0.000000,-1.000000,0.000000
-10,-0.166667,-1.000000,0.000000,-1.000000,0.000000
-9,-0.152542,-1.000000,0.000000,-1.000000,0.000000
-8,-0.137931,-1.000000,0.000000,-1.000000,0.000000
-7,-0.122807,-1.000000,0.000000,-1.000000,0.000000
-6,-0.107143,-1.000000,0.000000,-0.979200,0.000000
-5,-0.090909,-1.000000,0.000000,-0.896000,0.000000
-4,-0.074074,-1.000000,0.000000,-0.769600,0.000000
-3,-0.056604,-1.000000,0.000000,0.275200,0.000000
-2,-0.038462,-1.000000,0.000000,0.683200,0.000000
-1,-0.019608,-1.000000,0.000000,0.809600,0.000000
0,0.000000,-1.000000,0.000000,0.654400,0.000000
1,0.019608,-0.944000,0.000000,0.478400,0.000000
2,0.038462,-1.000000,0.000000,0.686400,0.000000
3,0.056604,-1.000000,0.000000,0.432000,0.000000
4,0.074074,-1.000000,0.000000,0.328000,0.000000
5,0.090909,-1.000000,0.000000,0.348800,0.000000
6,0.107143,-0.974400,0.000000,0.724800,0.000000
7,0.122807,-0.960000,0.000000,0.379200,0.000000
8,0.137931,-0.993600,0.000000,0.544000,0.000000
9,0.152542,-0.976000,0.000000,0.507200,0.000000
10,0.166667,-0.987200,0.000000,0.611200,0.000000
11,0.180328,-0.960000,0.000000,0.468800,0.000000
12,0.193548,-0.972800,0.000000,0.611200,0.000000
13,0.206349,-0.969600,0.000000,0.704000,0.000000
14,0.218750,-1.000000,0.000000,0.432000,0.000000
15,0.230769,-1.000000,0.000000,0.580800,0.000000
16,0.242424,-1.000000,0.000000,0.644800,0.000000
17,0.253731,-1.000000,0.000000,0.451200,0.000000
18,0.264706,-1.000000,0.000000,0.500800,0.000000
19,0.275362,-1.000000,0.000000,0.518400,0.000000
20,0.285714,-0.913600,0.000000,0.600000,0.000000
21,0.295775,-0.849600,0.000000,0.593600,0.000000
22,0.305556,-0.630400,0.000000,0.390400,0.000000
23,0.315068,-0.681600,0.000000,0.364800,0.000000
24,0.324324,-0.860800,0.000000,0.374400,0.000000
25,0.333333,-0.921600,0.000000,0.507200,0.000000
26,0.342105,-0.760000,0.000000,0.540800,0.000000
27,0.350649,-0.496000,0.000000,0.363200,0.000000
28,0.358974,0.150400,0.000000,0.374400,0.000000
29,0.367089,0.436800,0.000000,0.534400,0.000000
30,0.375000,0.340800,0.000000,0.600000,0.000000
