Opinion_A,Opinion_B,m0,count_A,count_B,invalid,n_total,discard_rate
liberal,conservative,0.92,98,0,2,100,0.02
liberal,conservative,0.8,97,0,3,100,0.03
liberal,conservative,0.6,93,0,7,100,0.07
liberal,conservative,0.2,80,0,20,100,0.2
liberal,conservative,0.08,81,0,19,100,0.19
liberal,conservative,-0.08,77,0,23,100,0.23
liberal,conservative,-0.2,79,0,21,100,0.21
liberal,conservative,-0.6,66,16,18,100,0.18
liberal,conservative,-0.8,78,14,8,100,0.08
liberal,conservative,-0.92,89,6,5,100,0.05
pro-life,pro-choice,0.92,70,26,4,100,0.04
pro-life,pro-choice,0.8,75,21,4,100,0.04
pro-life,pro-choice,0.6,59,21,20,100,0.2
pro-life,pro-choice,0.2,30,58,12,100,0.12
pro-life,pro-choice,0.08,15,78,7,100,0.07
pro-life,pro-choice,-0.08,6,84,10,100,0.1
pro-life,pro-choice,-0.2,2,88,10,100,0.1
pro-life,pro-choice,-0.6,0,99,1,100,0.01
pro-life,pro-choice,-0.8,0,97,3,100,0.03
pro-life,pro-choice,-0.92,0,99,1,100,0.01
capitalism,socialism,0.92,99,0,1,100,0.01
capitalism,socialism,0.8,99,0,1,100,0.01
capitalism,socialism,0.6,99,0,1,100,0.01
capitalism,socialism,0.2,89,11,0,100,0.0
capitalism,socialism,0.08,70,25,5,100,0.05
capitalism,socialism,-0.08,56,42,2,100,0.02
capitalism,socialism,-0.2,35,61,4,100,0.04
capitalism,socialism,-0.6,9,90,1,100,0.01
capitalism,socialism,-0.8,1,96,3,100,0.03
capitalism,socialism,-0.92,11,87,2,100,0.02
globalism,nationalism,0.92,100,0,0,100,0.0
globalism,nationalism,0.8,100,0,0,100,0.0
globalism,nationalism,0.6,100,0,0,100,0.0
globalism,nationalism,0.2,97,0,3,100,0.03
globalism,nationalism,0.08,99,1,0,100,0.0
globalism,nationalism,-0.08,92,6,2,100,0.02
globalism,nationalism,-0.2,91,8,1,100,0.01
globalism,nationalism,-0.6,31,69,0,100,0.0
globalism,nationalism,-0.8,30,68,2,100,0.02
globalism,nationalism,-0.92,14,77,9,100,0.09
climate change believer,climate change skeptic,0.92,81,0,19,100,0.19
climate change believer,climate change skeptic,0.8,69,0,31,100,0.31
climate change believer,climate change skeptic,0.6,70,0,30,100,0.3
climate change believer,climate change skeptic,0.2,42,0,58,100,0.58
climate change believer,climate change skeptic,0.08,41,0,59,100,0.59
climate change believer,climate change skeptic,-0.08,46,0,54,100,0.54
climate change believer,climate change skeptic,-0.2,42,0,58,100,0.58
climate change believer,climate change skeptic,-0.6,60,2,38,100,0.38
climate change believer,climate change skeptic,-0.8,66,10,24,100,0.24
climate change believer,climate change skeptic,-0.92,49,24,27,100,0.27
gun control,gun rights,0.92,97,0,3,100,0.03
gun control,gun rights,0.8,100,0,0,100,0.0
gun control,gun rights,0.6,96,1,3,100,0.03
gun control,gun rights,0.2,76,15,9,100,0.09
gun control,gun rights,0.08,73,21,6,100,0.06
gun control,gun rights,-0.08,45,41,14,100,0.14
gun control,gun rights,-0.2,33,63,4,100,0.04
gun control,gun rights,-0.6,3,93,4,100,0.04
gun control,gun rights,-0.8,2,93,5,100,0.05
gun control,gun rights,-0.92,0,93,7,100,0.07
open borders,closed borders,0.92,100,0,0,100,0.0
open borders,closed borders,0.8,100,0,0,100,0.0
open borders,closed borders,0.6,98,0,2,100,0.02
open borders,closed borders,0.2,97,0,3,100,0.03
open borders,closed borders,0.08,97,0,3,100,0.03
open borders,closed borders,-0.08,87,3,10,100,0.1
open borders,closed borders,-0.2,91,1,8,100,0.08
open borders,closed borders,-0.6,73,11,16,100,0.16
open borders,closed borders,-0.8,34,46,20,100,0.2
open borders,closed borders,-0.92,18,70,12,100,0.12
universal healthcare,private healthcare,0.92,98,0,2,100,0.02
universal healthcare,private healthcare,0.8,100,0,0,100,0.0
universal healthcare,private healthcare,0.6,99,0,1,100,0.01
universal healthcare,private healthcare,0.2,99,0,1,100,0.01
universal healthcare,private healthcare,0.08,97,1,2,100,0.02
universal healthcare,private healthcare,-0.08,94,4,2,100,0.02
universal healthcare,private healthcare,-0.2,88,9,3,100,0.03
universal healthcare,private healthcare,-0.6,36,59,5,100,0.05
universal healthcare,private healthcare,-0.8,19,77,4,100,0.04
universal healthcare,private healthcare,-0.92,3,92,5,100,0.05
tax the rich,lower taxes,0.92,97,3,0,100,0.0
tax the rich,lower taxes,0.8,98,0,2,100,0.02
tax the rich,lower taxes,0.6,95,4,1,100,0.01
tax the rich,lower taxes,0.2,80,17,3,100,0.03
tax the rich,lower taxes,0.08,66,29,5,100,0.05
tax the rich,lower taxes,-0.08,56,43,1,100,0.01
tax the rich,lower taxes,-0.2,49,50,1,100,0.01
tax the rich,lower taxes,-0.6,8,91,1,100,0.01
tax the rich,lower taxes,-0.8,1,98,1,100,0.01
tax the rich,lower taxes,-0.92,5,93,2,100,0.02
big government,small government,0.92,65,20,15,100,0.15
big government,small government,0.8,40,50,10,100,0.1
big government,small government,0.6,19,73,8,100,0.08
big government,small government,0.2,2,93,5,100,0.05
big government,small government,0.08,0,94,6,100,0.06
big government,small government,-0.08,0,92,8,100,0.08
big government,small government,-0.2,0,91,9,100,0.09
big government,small government,-0.6,0,100,0,100,0.0
big government,small government,-0.8,0,100,0,100,0.0
big government,small government,-0.92,0,99,1,100,0.01
affirmative action,merit-based admissions,0.92,86,6,8,100,0.08
affirmative action,merit-based admissions,0.8,91,4,5,100,0.05
affirmative action,merit-based admissions,0.6,90,8,2,100,0.02
affirmative action,merit-based admissions,0.2,75,21,4,100,0.04
affirmative action,merit-based admissions,0.08,68,27,5,100,0.05
affirmative action,merit-based admissions,-0.08,41,52,7,100,0.07
affirmative action,merit-based admissions,-0.2,27,67,6,100,0.06
affirmative action,merit-based admissions,-0.6,0,99,1,100,0.01
affirmative action,merit-based admissions,-0.8,0,97,3,100,0.03
affirmative action,merit-based admissions,-0.92,0,96,4,100,0.04
freedom of speech,regulated speech,0.92,99,1,0,100,0.0
