Opinion_A,Opinion_B,m0,count_A,count_B,invalid,n_total,discard_rate
liberal,conservative,0.92,100,0,0,100,0.0
liberal,conservative,0.8,100,0,0,100,0.0
liberal,conservative,0.6,100,0,0,100,0.0
liberal,conservative,0.2,88,12,0,100,0.0
liberal,conservative,0.08,89,11,0,100,0.0
liberal,conservative,-0.08,82,17,1,100,0.01
liberal,conservative,-0.2,75,25,0,100,0.0
liberal,conservative,-0.6,46,54,0,100,0.0
liberal,conservative,-0.8,35,65,0,100,0.0
liberal,conservative,-0.92,28,72,0,100,0.0
pro-life,pro-choice,0.92,97,3,0,100,0.0
pro-life,pro-choice,0.8,90,9,1,100,0.01
pro-life,pro-choice,0.6,78,20,2,100,0.02
pro-life,pro-choice,0.2,50,50,0,100,0.0
pro-life,pro-choice,0.08,41,59,0,100,0.0
pro-life,pro-choice,-0.08,26,71,3,100,0.03
pro-life,pro-choice,-0.2,10,87,3,100,0.03
pro-life,pro-choice,-0.6,1,97,2,100,0.02
pro-life,pro-choice,-0.8,0,99,1,100,0.01
pro-life,pro-choice,-0.92,0,100,0,100,0.0
capitalism,socialism,0.92,100,0,0,100,0.0
capitalism,socialism,0.8,99,0,1,100,0.01
capitalism,socialism,0.6,100,0,0,100,0.0
capitalism,socialism,0.2,99,1,0,100,0.0
capitalism,socialism,0.08,100,0,0,100,0.0
capitalism,socialism,-0.08,96,4,0,100,0.0
capitalism,socialism,-0.2,87,12,1,100,0.01
capitalism,socialism,-0.6,86,11,3,100,0.03
capitalism,socialism,-0.8,87,12,1,100,0.01
capitalism,socialism,-0.92,80,20,0,100,0.0
globalism,nationalism,0.92,100,0,0,100,0.0
globalism,nationalism,0.8,99,1,0,100,0.0
globalism,nationalism,0.6,100,0,0,100,0.0
globalism,nationalism,0.2,99,1,0,100,0.0
globalism,nationalism,0.08,98,2,0,100,0.0
globalism,nationalism,-0.08,90,10,0,100,0.0
globalism,nationalism,-0.2,84,16,0,100,0.0
globalism,nationalism,-0.6,79,21,0,100,0.0
globalism,nationalism,-0.8,83,17,0,100,0.0
globalism,nationalism,-0.92,68,31,1,100,0.01
climate change believer,climate change skeptic,0.92,100,0,0,100,0.0
climate change believer,climate change skeptic,0.8,99,0,1,100,0.01
climate change believer,climate change skeptic,0.6,92,0,8,100,0.08
climate change believer,climate change skeptic,0.2,97,0,3,100,0.03
climate change believer,climate change skeptic,0.08,92,0,8,100,0.08
climate change believer,climate change skeptic,-0.08,89,0,11,100,0.11
climate change believer,climate change skeptic,-0.2,95,0,5,100,0.05
climate change believer,climate change skeptic,-0.6,95,0,5,100,0.05
climate change believer,climate change skeptic,-0.8,96,0,4,100,0.04
climate change believer,climate change skeptic,-0.92,98,0,2,100,0.02
gun control,gun rights,0.92,100,0,0,100,0.0
gun control,gun rights,0.8,100,0,0,100,0.0
gun control,gun rights,0.6,100,0,0,100,0.0
gun control,gun rights,0.2,93,7,0,100,0.0
gun control,gun rights,0.08,74,26,0,100,0.0
gun control,gun rights,-0.08,62,37,1,100,0.01
gun control,gun rights,-0.2,42,58,0,100,0.0
gun control,gun rights,-0.6,13,87,0,100,0.0
gun control,gun rights,-0.8,14,86,0,100,0.0
gun control,gun rights,-0.92,11,89,0,100,0.0
open borders,closed borders,0.92,100,0,0,100,0.0
open borders,closed borders,0.8,100,0,0,100,0.0
open borders,closed borders,0.6,100,0,0,100,0.0
open borders,closed borders,0.2,100,0,0,100,0.0
open borders,closed borders,0.08,98,1,1,100,0.01
open borders,closed borders,-0.08,95,3,2,100,0.02
open borders,closed borders,-0.2,95,4,1,100,0.01
open borders,closed borders,-0.6,77,23,0,100,0.0
open borders,closed borders,-0.8,47,53,0,100,0.0
open borders,closed borders,-0.92,40,60,0,100,0.0
universal healthcare,private healthcare,0.92,100,0,0,100,0.0
universal healthcare,private healthcare,0.8,100,0,0,100,0.0
universal healthcare,private healthcare,0.6,99,1,0,100,0.0
universal healthcare,private healthcare,0.2,100,0,0,100,0.0
universal healthcare,private healthcare,0.08,98,2,0,100,0.0
universal healthcare,private healthcare,-0.08,94,5,1,100,0.01
universal healthcare,private healthcare,-0.2,82,18,0,100,0.0
universal healthcare,private healthcare,-0.6,54,46,0,100,0.0
universal healthcare,private healthcare,-0.8,37,63,0,100,0.0
universal healthcare,private healthcare,-0.92,15,85,0,100,0.0
tax the rich,lower taxes,0.92,100,0,0,100,0.0
tax the rich,lower taxes,0.8,99,1,0,100,0.0
tax the rich,lower taxes,0.6,95,3,2,100,0.02
tax the rich,lower taxes,0.2,73,27,0,100,0.0
tax the rich,lower taxes,0.08,73,27,0,100,0.0
tax the rich,lower taxes,-0.08,60,40,0,100,0.0
tax the rich,lower taxes,-0.2,42,57,1,100,0.01
tax the rich,lower taxes,-0.6,7,93,0,100,0.0
tax the rich,lower taxes,-0.8,1,99,0,100,0.0
tax the rich,lower taxes,-0.92,1,99,0,100,0.0
big government,small government,0.92,100,0,0,100,0.0
big government,small government,0.8,99,1,0,100,0.0
big government,small government,0.6,94,6,0,100,0.0
big government,small government,0.2,77,23,0,100,0.0
big government,small government,0.08,67,33,0,100,0.0
big government,small government,-0.08,49,51,0,100,0.0
big government,small government,-0.2,33,67,0,100,0.0
big government,small government,-0.6,6,94,0,100,0.0
big government,small government,-0.8,0,100,0,100,0.0
big government,small government,-0.92,0,100,0,100,0.0
