Opinion_A,Opinion_B,m0,count_A,count_B,invalid,n_total,discard_rate
liberal,conservative,0.92,99,1,0,100,0.0
liberal,conservative,0.8,100,0,0,100,0.0
liberal,conservative,0.6,100,0,0,100,0.0
liberal,conservative,0.2,94,6,0,100,0.0
liberal,conservative,0.08,93,7,0,100,0.0
liberal,conservative,-0.08,86,14,0,100,0.0
liberal,conservative,-0.2,73,27,0,100,0.0
liberal,conservative,-0.6,57,43,0,100,0.0
liberal,conservative,-0.8,56,44,0,100,0.0
liberal,conservative,-0.92,63,35,2,100,0.02
pro-life,pro-choice,0.92,99,0,1,100,0.01
pro-life,pro-choice,0.8,100,0,0,100,0.0
pro-life,pro-choice,0.6,80,20,0,100,0.0
pro-life,pro-choice,0.2,34,66,0,100,0.0
pro-life,pro-choice,0.08,24,76,0,100,0.0
pro-life,pro-choice,-0.08,5,93,2,100,0.02
pro-life,pro-choice,-0.2,1,99,0,100,0.0
pro-life,pro-choice,-0.6,0,100,0,100,0.0
pro-life,pro-choice,-0.8,0,100,0,100,0.0
pro-life,pro-choice,-0.92,0,100,0,100,0.0
capitalism,socialism,0.92,27,48,25,100,0.25
capitalism,socialism,0.8,38,57,5,100,0.05
capitalism,socialism,0.6,58,38,4,100,0.04
capitalism,socialism,0.2,57,38,5,100,0.05
capitalism,socialism,0.08,56,42,2,100,0.02
capitalism,socialism,-0.08,57,40,3,100,0.03
capitalism,socialism,-0.2,52,33,15,100,0.15
capitalism,socialism,-0.6,52,33,15,100,0.15
capitalism,socialism,-0.8,49,23,28,100,0.28
capitalism,socialism,-0.92,52,11,37,100,0.37
globalism,nationalism,0.92,94,3,3,100,0.03
globalism,nationalism,0.8,99,0,1,100,0.01
globalism,nationalism,0.6,100,0,0,100,0.0
globalism,nationalism,0.2,100,0,0,100,0.0
globalism,nationalism,0.08,99,1,0,100,0.0
globalism,nationalism,-0.08,97,3,0,100,0.0
globalism,nationalism,-0.2,97,3,0,100,0.0
globalism,nationalism,-0.6,86,14,0,100,0.0
globalism,nationalism,-0.8,93,6,1,100,0.01
globalism,nationalism,-0.92,91,1,8,100,0.08
climate change believer,climate change skeptic,0.92,88,0,12,100,0.12
climate change believer,climate change skeptic,0.8,92,0,8,100,0.08
climate change believer,climate change skeptic,0.6,89,0,11,100,0.11
