Opinion_A,Opinion_B,m0,count_A,count_B,invalid,n_total,discard_rate
liberal,conservative,0.92,10,0,0,10,0.0
liberal,conservative,0.8,10,0,0,10,0.0
liberal,conservative,0.6,10,0,0,10,0.0
liberal,conservative,0.2,8,2,0,10,0.0
liberal,conservative,0.08,9,1,0,10,0.0
liberal,conservative,-0.08,9,1,0,10,0.0
liberal,conservative,-0.2,7,3,0,10,0.0
liberal,conservative,-0.6,4,6,0,10,0.0
liberal,conservative,-0.8,3,7,0,10,0.0
liberal,conservative,-0.92,1,9,0,10,0.0
pro-life,pro-choice,0.92,10,0,0,10,0.0
pro-life,pro-choice,0.8,9,1,0,10,0.0
pro-life,pro-choice,0.6,7,3,0,10,0.0
pro-life,pro-choice,0.2,5,5,0,10,0.0
pro-life,pro-choice,0.08,7,3,0,10,0.0
pro-life,pro-choice,-0.08,1,9,0,10,0.0
pro-life,pro-choice,-0.2,1,9,0,10,0.0
pro-life,pro-choice,-0.6,1,9,0,10,0.0
pro-life,pro-choice,-0.8,1,9,0,10,0.0
pro-life,pro-choice,-0.92,0,10,0,10,0.0
capitalism,socialism,0.92,10,0,0,10,0.0
capitalism,socialism,0.8,10,0,0,10,0.0
capitalism,socialism,0.6,10,0,0,10,0.0
capitalism,socialism,0.2,9,1,0,10,0.0
capitalism,socialism,0.08,8,2,0,10,0.0
capitalism,socialism,-0.08,7,3,0,10,0.0
capitalism,socialism,-0.2,7,3,0,10,0.0
capitalism,socialism,-0.6,3,7,0,10,0.0
capitalism,socialism,-0.8,2,8,0,10,0.0
capitalism,socialism,-0.92,0,10,0,10,0.0
