Opinion_A,Opinion_B,m0,count_A,count_B,invalid,n_total,discard_rate
liberal,conservative,0.92,87,10,3,100,0.03
liberal,conservative,0.8,94,1,5,100,0.05
liberal,conservative,0.6,93,0,7,100,0.07
liberal,conservative,0.2,90,0,10,100,0.1
liberal,conservative,0.08,87,0,13,100,0.13
liberal,conservative,-0.08,75,7,18,100,0.18
liberal,conservative,-0.2,63,13,24,100,0.24
liberal,conservative,-0.6,17,66,17,100,0.17
liberal,conservative,-0.8,15,80,5,100,0.05
liberal,conservative,-0.92,10,86,4,100,0.04
pro-life,pro-choice,0.92,1,88,11,100,0.11
pro-life,pro-choice,0.8,2,93,5,100,0.05
pro-life,pro-choice,0.6,0,84,16,100,0.16
pro-life,pro-choice,0.2,1,86,13,100,0.13
pro-life,pro-choice,0.08,0,84,16,100,0.16
pro-life,pro-choice,-0.08,0,83,17,100,0.17
pro-life,pro-choice,-0.2,1,80,19,100,0.19
pro-life,pro-choice,-0.6,2,93,5,100,0.05
pro-life,pro-choice,-0.8,3,94,3,100,0.03
pro-life,pro-choice,-0.92,3,96,1,100,0.01
capitalism,socialism,0.92,75,25,0,100,0.0
capitalism,socialism,0.8,89,8,3,100,0.03
capitalism,socialism,0.6,96,3,1,100,0.01
capitalism,socialism,0.2,69,26,5,100,0.05
capitalism,socialism,0.08,56,44,0,100,0.0
capitalism,socialism,-0.08,23,75,2,100,0.02
capitalism,socialism,-0.2,9,89,2,100,0.02
capitalism,socialism,-0.6,0,98,2,100,0.02
capitalism,socialism,-0.8,0,100,0,100,0.0
capitalism,socialism,-0.92,1,99,0,100,0.0
globalism,nationalism,0.92,97,3,0,100,0.0
globalism,nationalism,0.8,100,0,0,100,0.0
globalism,nationalism,0.6,100,0,0,100,0.0
globalism,nationalism,0.2,97,2,1,100,0.01
globalism,nationalism,0.08,99,1,0,100,0.0
globalism,nationalism,-0.08,92,7,1,100,0.01
globalism,nationalism,-0.2,88,11,1,100,0.01
globalism,nationalism,-0.6,56,43,1,100,0.01
globalism,nationalism,-0.8,53,47,0,100,0.0
globalism,nationalism,-0.92,33,67,0,100,0.0
climate change believer,climate change skeptic,0.92,74,0,26,100,0.26
climate change believer,climate change skeptic,0.8,69,0,31,100,0.31
climate change believer,climate change skeptic,0.6,57,0,43,100,0.43
climate change believer,climate change skeptic,0.2,32,1,67,100,0.67
climate change believer,climate change skeptic,0.08,30,1,69,100,0.69
climate change believer,climate change skeptic,-0.08,28,1,71,100,0.71
climate change believer,climate change skeptic,-0.2,25,3,72,100,0.72
climate change believer,climate change skeptic,-0.6,22,26,52,100,0.52
climate change believer,climate change skeptic,-0.8,2,62,36,100,0.36
climate change believer,climate change skeptic,-0.92,0,74,26,100,0.26
gun control,gun rights,0.92,98,2,0,100,0.0
gun control,gun rights,0.8,93,5,2,100,0.02
gun control,gun rights,0.6,82,17,1,100,0.01
gun control,gun rights,0.2,44,51,5,100,0.05
gun control,gun rights,0.08,34,60,6,100,0.06
gun control,gun rights,-0.08,12,85,3,100,0.03
gun control,gun rights,-0.2,13,79,8,100,0.08
gun control,gun rights,-0.6,1,97,2,100,0.02
gun control,gun rights,-0.8,1,98,1,100,0.01
gun control,gun rights,-0.92,1,99,0,100,0.0
open borders,closed borders,0.92,100,0,0,100,0.0
open borders,closed borders,0.8,99,0,1,100,0.01
open borders,closed borders,0.6,99,0,1,100,0.01
open borders,closed borders,0.2,100,0,0,100,0.0
open borders,closed borders,0.08,95,0,5,100,0.05
open borders,closed borders,-0.08,97,0,3,100,0.03
open borders,closed borders,-0.2,96,0,4,100,0.04
open borders,closed borders,-0.6,74,20,6,100,0.06
open borders,closed borders,-0.8,26,70,4,100,0.04
open borders,closed borders,-0.92,8,81,11,100,0.11
universal healthcare,private healthcare,0.92,100,0,0,100,0.0
universal healthcare,private healthcare,0.8,100,0,0,100,0.0
universal healthcare,private healthcare,0.6,99,0,1,100,0.01
universal healthcare,private healthcare,0.2,98,0,2,100,0.02
universal healthcare,private healthcare,0.08,99,0,1,100,0.01
universal healthcare,private healthcare,-0.08,100,0,0,100,0.0
universal healthcare,private healthcare,-0.2,98,0,2,100,0.02
universal healthcare,private healthcare,-0.6,66,34,0,100,0.0
universal healthcare,private healthcare,-0.8,22,77,1,100,0.01
universal healthcare,private healthcare,-0.92,3,95,2,100,0.02
tax the rich,lower taxes,0.92,100,0,0,100,0.0
tax the rich,lower taxes,0.8,99,1,0,100,0.0
tax the rich,lower taxes,0.6,100,0,0,100,0.0
tax the rich,lower taxes,0.2,97,3,0,100,0.0
tax the rich,lower taxes,0.08,87,13,0,100,0.0
tax the rich,lower taxes,-0.08,65,35,0,100,0.0
tax the rich,lower taxes,-0.2,46,54,0,100,0.0
tax the rich,lower taxes,-0.6,11,89,0,100,0.0
tax the rich,lower taxes,-0.8,0,100,0,100,0.0
tax the rich,lower taxes,-0.92,1,99,0,100,0.0
big government,small government,0.92,88,9,3,100,0.03
big government,small government,0.8,96,4,0,100,0.0
big government,small government,0.6,81,19,0,100,0.0
big government,small government,0.2,17,81,2,100,0.02
big government,small government,0.08,14,84,2,100,0.02
big government,small government,-0.08,3,92,5,100,0.05
big government,small government,-0.2,1,99,0,100,0.0
big government,small government,-0.6,0,100,0,100,0.0
big government,small government,-0.8,0,100,0,100,0.0
big government,small government,-0.92,0,100,0,100,0.0
affirmative action,merit-based admissions,0.92,98,0,2,100,0.02
affirmative action,merit-based admissions,0.8,100,0,0,100,0.0
affirmative action,merit-based admissions,0.6,95,2,3,100,0.03
affirmative action,merit-based admissions,0.2,90,9,1,100,0.01
affirmative action,merit-based admissions,0.08,80,19,1,100,0.01
affirmative action,merit-based admissions,-0.08,60,37,3,100,0.03
affirmative action,merit-based admissions,-0.2,35,58,7,100,0.07
affirmative action,merit-based admissions,-0.6,0,99,1,100,0.01
affirmative action,merit-based admissions,-0.8,2,97,1,100,0.01
affirmative action,merit-based admissions,-0.92,1,97,2,100,0.02
freedom of speech,regulated speech,0.92,99,0,1,100,0.01
freedom of speech,regulated speech,0.8,100,0,0,100,0.0
freedom of speech,regulated speech,0.6,98,0,2,100,0.02
freedom of speech,regulated speech,0.2,99,0,1,100,0.01
freedom of speech,regulated speech,0.08,99,0,1,100,0.01
freedom of speech,regulated speech,-0.08,98,0,2,100,0.02
freedom of speech,regulated speech,-0.2,97,0,3,100,0.03
freedom of speech,regulated speech,-0.6,90,6,4,100,0.04
freedom of speech,regulated speech,-0.8,82,13,5,100,0.05
freedom of speech,regulated speech,-0.92,75,23,2,100,0.02
reparations for slavery,no reparations,0.92,74,0,26,100,0.26
reparations for slavery,no reparations,0.8,89,0,11,100,0.11
reparations for slavery,no reparations,0.6,86,0,14,100,0.14
reparations for slavery,no reparations,0.2,95,0,5,100,0.05
reparations for slavery,no reparations,0.08,95,0,5,100,0.05
reparations for slavery,no reparations,-0.08,93,0,7,100,0.07
reparations for slavery,no reparations,-0.2,89,0,11,100,0.11
reparations for slavery,no reparations,-0.6,96,1,3,100,0.03
reparations for slavery,no reparations,-0.8,93,2,5,100,0.05
reparations for slavery,no reparations,-0.92,77,17,6,100,0.06
progressive,traditionalist,0.92,100,0,0,100,0.0
progressive,traditionalist,0.8,97,0,3,100,0.03
progressive,traditionalist,0.6,98,0,2,100,0.02
progressive,traditionalist,0.2,91,2,7,100,0.07
progressive,traditionalist,0.08,92,2,6,100,0.06
progressive,traditionalist,-0.08,82,10,8,100,0.08
progressive,traditionalist,-0.2,68,29,3,100,0.03
progressive,traditionalist,-0.6,19,80,1,100,0.01
progressive,traditionalist,-0.8,7,92,1,100,0.01
progressive,traditionalist,-0.92,10,88,2,100,0.02
pro-immigration,anti-immigration,0.92,96,0,4,100,0.04
pro-immigration,anti-immigration,0.8,99,0,1,100,0.01
pro-immigration,anti-immigration,0.6,95,0,5,100,0.05
pro-immigration,anti-immigration,0.2,84,0,16,100,0.16
pro-immigration,anti-immigration,0.08,82,0,18,100,0.18
pro-immigration,anti-immigration,-0.08,69,1,30,100,0.3
pro-immigration,anti-immigration,-0.2,75,1,24,100,0.24
pro-immigration,anti-immigration,-0.6,81,0,19,100,0.19
pro-immigration,anti-immigration,-0.8,71,0,29,100,0.29
pro-immigration,anti-immigration,-0.92,63,2,35,100,0.35
pro-EU,euroskeptic,0.92,96,2,2,100,0.02
pro-EU,euroskeptic,0.8,96,2,2,100,0.02
pro-EU,euroskeptic,0.6,97,0,3,100,0.03
pro-EU,euroskeptic,0.2,97,0,3,100,0.03
pro-EU,euroskeptic,0.08,94,1,5,100,0.05
pro-EU,euroskeptic,-0.08,96,1,3,100,0.03
pro-EU,euroskeptic,-0.2,93,1,6,100,0.06
