Opinion_A,Opinion_B,m0,count_A,count_B,invalid,n_total,discard_rate
liberal,conservative,0.92,99,1,0,100,0.0
liberal,conservative,0.8,99,1,0,100,0.0
liberal,conservative,0.6,99,1,0,100,0.0
liberal,conservative,0.2,94,5,1,100,0.01
liberal,conservative,0.08,87,12,1,100,0.01
liberal,conservative,-0.08,69,29,2,100,0.02
liberal,conservative,-0.2,58,40,2,100,0.02
liberal,conservative,-0.6,14,86,0,100,0.0
liberal,conservative,-0.8,10,90,0,100,0.0
liberal,conservative,-0.92,1,99,0,100,0.0
pro-life,pro-choice,0.92,83,17,0,100,0.0
pro-life,pro-choice,0.8,84,16,0,100,0.0
pro-life,pro-choice,0.6,69,31,0,100,0.0
pro-life,pro-choice,0.2,23,77,0,100,0.0
pro-life,pro-choice,0.08,5,95,0,100,0.0
pro-life,pro-choice,-0.08,1,99,0,100,0.0
pro-life,pro-choice,-0.2,1,99,0,100,0.0
pro-life,pro-choice,-0.6,1,99,0,100,0.0
pro-life,pro-choice,-0.8,1,99,0,100,0.0
pro-life,pro-choice,-0.92,0,100,0,100,0.0
capitalism,socialism,0.92,59,41,0,100,0.0
capitalism,socialism,0.8,58,42,0,100,0.0
capitalism,socialism,0.6,72,28,0,100,0.0
capitalism,socialism,0.2,54,46,0,100,0.0
capitalism,socialism,0.08,53,47,0,100,0.0
capitalism,socialism,-0.08,35,65,0,100,0.0
capitalism,socialism,-0.2,34,66,0,100,0.0
capitalism,socialism,-0.6,8,92,0,100,0.0
capitalism,socialism,-0.8,0,100,0,100,0.0
capitalism,socialism,-0.92,6,94,0,100,0.0
globalism,nationalism,0.92,97,3,0,100,0.0
globalism,nationalism,0.8,93,7,0,100,0.0
globalism,nationalism,0.6,89,11,0,100,0.0
globalism,nationalism,0.2,69,31,0,100,0.0
globalism,nationalism,0.08,69,31,0,100,0.0
globalism,nationalism,-0.08,37,63,0,100,0.0
globalism,nationalism,-0.2,48,52,0,100,0.0
globalism,nationalism,-0.6,20,80,0,100,0.0
globalism,nationalism,-0.8,6,94,0,100,0.0
globalism,nationalism,-0.92,4,96,0,100,0.0
climate change believer,climate change skeptic,0.92,100,0,0,100,0.0
climate change believer,climate change skeptic,0.8,100,0,0,100,0.0
climate change believer,climate change skeptic,0.6,100,0,0,100,0.0
climate change believer,climate change skeptic,0.2,100,0,0,100,0.0
climate change believer,climate change skeptic,0.08,100,0,0,100,0.0
climate change believer,climate change skeptic,-0.08,100,0,0,100,0.0
climate change believer,climate change skeptic,-0.2,97,3,0,100,0.0
climate change believer,climate change skeptic,-0.6,72,28,0,100,0.0
climate change believer,climate change skeptic,-0.8,46,54,0,100,0.0
climate change believer,climate change skeptic,-0.92,33,67,0,100,0.0
gun control,gun rights,0.92,96,4,0,100,0.0
gun control,gun rights,0.8,94,6,0,100,0.0
gun control,gun rights,0.6,94,6,0,100,0.0
gun control,gun rights,0.2,72,28,0,100,0.0
gun control,gun rights,0.08,56,44,0,100,0.0
gun control,gun rights,-0.08,38,62,0,100,0.0
gun control,gun rights,-0.2,16,84,0,100,0.0
gun control,gun rights,-0.6,6,94,0,100,0.0
gun control,gun rights,-0.8,0,100,0,100,0.0
gun control,gun rights,-0.92,0,100,0,100,0.0
open borders,closed borders,0.92,100,0,0,100,0.0
open borders,closed borders,0.8,100,0,0,100,0.0
open borders,closed borders,0.6,100,0,0,100,0.0
open borders,closed borders,0.2,100,0,0,100,0.0
open borders,closed borders,0.08,99,1,0,100,0.0
open borders,closed borders,-0.08,94,6,0,100,0.0
open borders,closed borders,-0.2,79,21,0,100,0.0
open borders,closed borders,-0.6,16,84,0,100,0.0
open borders,closed borders,-0.8,5,95,0,100,0.0
open borders,closed borders,-0.92,2,98,0,100,0.0
universal healthcare,private healthcare,0.92,100,0,0,100,0.0
universal healthcare,private healthcare,0.8,100,0,0,100,0.0
universal healthcare,private healthcare,0.6,100,0,0,100,0.0
universal healthcare,private healthcare,0.2,100,0,0,100,0.0
universal healthcare,private healthcare,0.08,97,3,0,100,0.0
universal healthcare,private healthcare,-0.08,91,9,0,100,0.0
universal healthcare,private healthcare,-0.2,85,15,0,100,0.0
universal healthcare,private healthcare,-0.6,37,63,0,100,0.0
universal healthcare,private healthcare,-0.8,19,81,0,100,0.0
universal healthcare,private healthcare,-0.92,7,93,0,100,0.0
tax the rich,lower taxes,0.92,100,0,0,100,0.0
tax the rich,lower taxes,0.8,100,0,0,100,0.0
tax the rich,lower taxes,0.6,100,0,0,100,0.0
tax the rich,lower taxes,0.2,94,6,0,100,0.0
tax the rich,lower taxes,0.08,89,11,0,100,0.0
tax the rich,lower taxes,-0.08,78,22,0,100,0.0
tax the rich,lower taxes,-0.2,74,26,0,100,0.0
tax the rich,lower taxes,-0.6,34,66,0,100,0.0
tax the rich,lower taxes,-0.8,10,90,0,100,0.0
tax the rich,lower taxes,-0.92,8,92,0,100,0.0
big government,small government,0.92,92,8,0,100,0.0
big government,small government,0.8,92,8,0,100,0.0
big government,small government,0.6,81,19,0,100,0.0
big government,small government,0.2,41,59,0,100,0.0
big government,small government,0.08,38,62,0,100,0.0
big government,small government,-0.08,17,83,0,100,0.0
big government,small government,-0.2,10,90,0,100,0.0
big government,small government,-0.6,3,97,0,100,0.0
big government,small government,-0.8,0,100,0,100,0.0
big government,small government,-0.92,1,99,0,100,0.0
affirmative action,merit-based admissions,0.92,90,10,0,100,0.0
affirmative action,merit-based admissions,0.8,82,18,0,100,0.0
affirmative action,merit-based admissions,0.6,88,12,0,100,0.0
affirmative action,merit-based admissions,0.2,39,61,0,100,0.0
affirmative action,merit-based admissions,0.08,21,79,0,100,0.0
affirmative action,merit-based admissions,-0.08,8,92,0,100,0.0
affirmative action,merit-based admissions,-0.2,3,97,0,100,0.0
affirmative action,merit-based admissions,-0.6,1,99,0,100,0.0
affirmative action,merit-based admissions,-0.8,0,100,0,100,0.0
affirmative action,merit-based admissions,-0.92,0,100,0,100,0.0
freedom of speech,regulated speech,0.92,97,3,0,100,0.0
freedom of speech,regulated speech,0.8,100,0,0,100,0.0
freedom of speech,regulated speech,0.6,97,3,0,100,0.0
freedom of speech,regulated speech,0.2,92,8,0,100,0.0
freedom of speech,regulated speech,0.08,82,18,0,100,0.0
freedom of speech,regulated speech,-0.08,70,30,0,100,0.0
freedom of speech,regulated speech,-0.2,56,44,0,100,0.0
freedom of speech,regulated speech,-0.6,17,83,0,100,0.0
freedom of speech,regulated speech,-0.8,15,84,1,100,0.01
freedom of speech,regulated speech,-0.92,19,81,0,100,0.0
reparations for slavery,no reparations,0.92,100,0,0,100,0.0
reparations for slavery,no reparations,0.8,100,0,0,100,0.0
reparations for slavery,no reparations,0.6,100,0,0,100,0.0
reparations for slavery,no reparations,0.2,99,1,0,100,0.0
reparations for slavery,no reparations,0.08,99,1,0,100,0.0
reparations for slavery,no reparations,-0.08,96,4,0,100,0.0
reparations for slavery,no reparations,-0.2,92,8,0,100,0.0
reparations for slavery,no reparations,-0.6,26,74,0,100,0.0
reparations for slavery,no reparations,-0.8,6,94,0,100,0.0
reparations for slavery,no reparations,-0.92,8,92,0,100,0.0
progressive,traditionalist,0.92,100,0,0,100,0.0
progressive,traditionalist,0.8,100,0,0,100,0.0
progressive,traditionalist,0.6,99,1,0,100,0.0
progressive,traditionalist,0.2,97,3,0,100,0.0
progressive,traditionalist,0.08,90,10,0,100,0.0
progressive,traditionalist,-0.08,75,25,0,100,0.0
progressive,traditionalist,-0.2,65,35,0,100,0.0
progressive,traditionalist,-0.6,18,82,0,100,0.0
progressive,traditionalist,-0.8,5,95,0,100,0.0
progressive,traditionalist,-0.92,5,95,0,100,0.0
pro-immigration,anti-immigration,0.92,100,0,0,100,0.0
pro-immigration,anti-immigration,0.8,100,0,0,100,0.0
pro-immigration,anti-immigration,0.6,100,0,0,100,0.0
pro-immigration,anti-immigration,0.2,100,0,0,100,0.0
pro-immigration,anti-immigration,0.08,100,0,0,100,0.0
pro-immigration,anti-immigration,-0.08,100,0,0,100,0.0
pro-immigration,anti-immigration,-0.2,99,1,0,100,0.0
