question,sub_opts,source
Please tell me if you approve or disapprove of the way Prime Minister Viktor Orbán is handling each of the following areas. b. the refugee issue,"['Approve', 'Disapprove']",GAS
Please tell me which of the following is closest to your own opinion. Less inefficient large enterprises is helpful for economic improvement OR Less inefficient large enterprises is not helpful for economic development,"['Less inefficient large enterprises is helpful for economic improvement', 'Less inefficient large enterprises is not helpful for economic development']",GAS
Do you think this change in the working conditions for ordinary workers is largely because of the way the world has become more connected or mostly for other reasons?,"['Largely more connected', 'Other reasons']",GAS
"On the subject of Iraq, did your country make the right decision or the wrong decision to use military force against Iraq?","['Right decision', 'Wrong decision']",GAS
"Do you think the U.S. should keep military troops in Iraq until the situation has stabilized, or do you think the U.S. should remove its troops as soon as possible?","['Keep troops in Iraq', 'Remove its troops']",GAS
Do you approve or disapprove of the way President Vladimir Putin is handling each of the following areas? c. civil society,"['Approve', 'Disapprove']",GAS
Do you think Arabs and blacks in North Africa can live peacefully together or don't you think so?,"['Can live together', 'Cannot live together']",GAS
"Thinking about possible war with Iraq, would you favor or oppose your country's joining the US and other allies in military action in Iraq to end Saddam Hussein's rule?","['Favor', 'Oppose']",GAS
(Now/And thinking about the American people...) Which of these characteristics do you associate with the American people?...Competitive...Do you associate this with the American people or not?,"['Yes', 'No']",GAS
"Do you think the government of Ukraine respects the personal freedoms of its people, or don’t you think so?","['Yes, respects personal freedoms', 'No, does not respect personal freedoms']",GAS
"According to news reports, the American government has been monitoring communications, such as emails and phone calls, in the U.S. and many other countries. In your opinion, is it acceptable or unacceptable for the American government to monitor communications from...American citizens?","['Acceptable', 'Unacceptable']",GAS
"On another topic, had you heard that President Barack Obama's father was Kenyan, or hadn't you heard this?","['Had heard', 'Had not heard']",GAS
"Do you think that the rise of nontraditional political parties in your country, such as [INSERT COUNTRY-SPECIFIC EXAMPLE], is a good thing because these parties raise important issues that are ignored by the traditional parties OR a bad thing because these parties are too extreme?","['Good', 'Bad']",GAS
Which of these characteristics do you associate with people in Western countries such as the United States and Europe?...Generous...Do you associate this with people in Western countries or not?,"['Yes', 'No']",GAS
Do you approve or disapprove of the way President Nicolas Maduro is handling each of the following areas? d. dealing with political opposition,"['Approve', 'Disapprove']",GAS
Do you think this change in the availability of modern medicines and treatments is largely because of the way the world has become more connected or mostly for other reasons?,"['Largely more connected', 'Other reasons']",GAS
"Overall, was the break-up of Czechoslovakia into two independent states a good thing or a bad thing?","['Good', 'Bad']",GAS
Please tell me whether you think the following statements apply to the United Nations or not. The United Nations… b. Promotes economic development,"['Yes', 'No']",GAS
"In general, do you think our country is covered fairly or unfairly in the international news media?","['Covered fairly', 'Covered unfairly']",GAS
"Thinking about some issues, do you approve or disapprove of the way the European Union is dealing with ____? a. European economic issues","['Approve', 'Disapprove']",GAS
"Again, which one better describes George W. Bush...He makes decisions based entirely on U.S. interests or He takes into account European interests when making decisions","['He makes decisions based entirely on U.S. interests', 'He takes into account European interests']",GAS
"If robots and computers were able to do much of the work currently being done by humans, do you think each of the following is likely or not likely to happen in your country as a result? b. Ordinary people would have a hard time finding jobs","['Yes, likely', 'No, not likely']",GAS
Do you think people should be able to say these types of things publically OR the government should be able to prevent people from saying these things in some circumstances. d. statements that call for violent protests,"['People should be able to say these things publically', 'Government should be able to prevent people from saying these things']",GAS
"Do you know someone who went to the U.S., but returned to your area because they were captured by 'La Migra' at the border?","['Yes, I know someone', 'No, I do not know anyone']",GAS
"For each of the following statements about the missile strikes from pilotless aircraft called drones, please tell me whether you agree or disagree...they are necessary to defend Pakistan from extremist groups .","['Agree', 'Disagree']",GAS
Has the Turkish parliament made the right decision not to allow the American military to use Turkey as a staging ground for a possible war against Iraq?,"['Right decision', 'Wrong decision']",GAS
Do you approve or disapprove of the U.S. military operation that killed Osama bin Laden?,"['Approve', 'Disapprove']",GAS
"And, would you support or oppose the U.S. ending its trade embargo against Cuba, which would allow U.S. companies to do business in Cuba and Cuban companies to do business in the U.S.?","['Support', 'Oppose']",GAS
As I read some specific policies of [American] President George W. Bush tell me if you approve or disapprove of them...Bush's decision that the U.S. should try to develop a missile defense system even if it means withdrawing from the ABM treaty,"['Approve', 'Disapprove']",GAS
"Which of these characteristics do you associate with (the Chinese, the Japanese)?...Generous...Do you associate this with (the Chinese, the Japanese) or not?","['Yes', 'No']",GAS
Please tell me if you approve or disapprove of the way President Barack Obama is dealing with...the world economic crisis.,"['Approve', 'Disapprove']",GAS
Which of these characteristics do you associate with people in Western countries such as the United States and Europe?...Respectful of Women...Do you associate this with people in Western countries or not?,"['Yes', 'No']",GAS
Please tell me if you approve or disapprove of the way Prime Minister Malcom Turnbull is handling each of the following areas. f. climate change,"['Approve', 'Disapprove']",GAS
"Now I'm going to read you a list of countries.  For each one, please tell me whether you would favor or oppose admitting it into the European Union in the next ten years...Croatia","['Favor', 'Oppose']",GAS
Which of these characteristics do you associate with people in Western countries such as the United States and Europe?...Devout...Do you associate this with people in Western countries or not?,"['Yes', 'No']",GAS
Do you think people should be able to say these types of things publically OR the government should be able to prevent people from saying these things in some circumstances. b. statements that are offensive to minority groups,"['People should be able to say these things publically', 'Government should be able to prevent people from saying these things']",GAS
"As I read some proposed policies of President Donald Trump, please tell me if you approve or disapprove of each one. d. withdraw U.S. support for major trade agreements","['Approve', 'Disapprove']",GAS
"As I read some proposed policies of President Donald Trump, please tell me if you approve or disapprove of each one. b. build a wall on the border between the U.S. and Mexico","['Approve', 'Disapprove']",GAS
(Now/And thinking about the American people...) Which of these characteristics do you associate with the American people?...Inventive...Do you associate this with the American people or not?,"['Yes', 'No']",GAS
"If Iran were to develop nuclear weapons, do you think they would be likely to...use them for defensive purposes only, or not?","['Yes, likely', 'No, not likely']",GAS
Which of these characteristics do you associate with people in Western countries such as the United States and Europe?...Immoral...Do you associate this with people in Western countries or not?,"['Yes', 'No']",GAS
Why do you think the US is conducting the war on terrorism? Is...To protect Israel...an important reason why the US is doing this or not?,"['Yes', 'No']",GAS
"Thinking about the public as a whole, do you think this country is now more UNITED or more DIVIDED than before the coronavirus outbreak?","['More united', 'More divided']",GAS
"Do you approve or disapprove of the United States conducting missile strikes from pilotless aircraft called drones to target extremists in countries such as Pakistan, Yemen and Somalia? ","['Approve', 'Disapprove']",GAS
"Thinking about immigration, would you support or oppose your country ____? b. deporting immigrants currently in the country illegally","['Support', 'Oppose']",GAS
