# Hysteresis Cycle Data
# Opinion A: Supreme Court lifetime appointments
# Opinion B: term limits for justices
# N_regular: 50
# Cycles: 1
stubborn_count,field,magnetization_forward,error_forward,magnetization_backward,error_backward
-30,-0.375000,-0.979200,0.000000,-1.000000,0.000000
-29,-0.367089,-1.000000,0.000000,-1.000000,0.000000
-28,-0.358974,-1.000000,0.000000,-1.000000,0.000000
-27,-0.350649,-1.000000,0.000000,-1.000000,0.000000
-26,-0.342105,-1.000000,0.000000,-1.000000,0.000000
-25,-0.333333,-1.000000,0.000000,-1.000000,0.000000
-24,-0.324324,-1.000000,0.000000,-1.000000,0.000000
-23,-0.315068,-1.000000,0.000000,-1.000000,0.000000
-22,-0.305556,-1.000000,0.000000,-1.000000,0.000000
-21,-0.295775,-1.000000,0.000000,-1.000000,0.000000
-20,-0.285714,-1.000000,0.000000,-1.000000,0.000000
-19,-0.275362,-1.000000,0.000000,-1.000000,0.000000
-18,-0.264706,-1.000000,0.000000,-1.000000,0.000000
-17,-0.253731,-1.000000,0.000000,-1.000000,0.000000
-16,-0.242424,-1.000000,0.000000,-1.000000,0.000000
-15,-0.230769,-1.000000,0.000000,-1.000000,0.000000
-14,-0.218750,-1.000000,0.000000,-1.000000,0.000000
-13,-0.206349,-1.000000,0.000000,-1.000000,0.000000
-12,-0.193548,-1.000000,0.000000,-1.000000,0.000000
-11,-0.180328,-1.000000,0.000000,-1.000000,0.000000
-10,-0.166667,-1.000000,0.000000,-1.000000,0.000000
-9,-0.152542,-1.000000,0.000000,-1.000000,0.000000
-8,-0.137931,-1.000000,0.000000,-1.000000,0.000000
-7,-0.122807,-1.000000,0.000000,-1.000000,0.000000
-6,-0.107143,-1.000000,0.000000,-1.000000,0.000000
-5,-0.090909,-1.000000,0.000000,-1.000000,0.000000
-4,-0.074074,-1.000000,0.000000,-1.000000,0.000000
-3,-0.056604,-1.000000,0.000000,-1.000000,0.000000
-2,-0.038462,-1.000000,0.000000,-1.000000,0.000000
-1,-0.019608,-1.000000,0.000000,-1.000000,0.000000
0,0.000000,-1.000000,0.000000,-1.000000,0.000000
1,0.019608,-1.000000,0.000000,-0.990400,0.000000
2,0.038462,-1.000000,0.000000,-1.000000,0.000000
3,0.056604,-0.995200,0.000000,-1.000000,0.000000
4,0.074074,-1.000000,0.000000,-1.000000,0.000000
5,0.090909,-1.000000,0.000000,-1.000000,0.000000
6,0.107143,-0.992000,0.000000,-0.934400,0.000000
7,0.122807,-0.960000,0.000000,-0.900800,0.000000
8,0.137931,-0.972800,0.000000,-1.000000,0.000000
9,0.152542,-0.937600,0.000000,-1.000000,0.000000
10,0.166667,-0.913600,0.000000,-0.865600,0.000000
11,0.180328,-0.928000,0.000000,-0.934400,0.000000
12,0.193548,-0.920000,0.000000,-0.958400,0.000000
13,0.206349,-0.888000,0.000000,-0.873600,0.000000
14,0.218750,-0.868800,0.000000,-0.926400,0.000000
15,0.230769,-0.820800,0.000000,-0.646400,0.000000
16,0.242424,-0.756800,0.000000,-0.244800,0.000000
17,0.253731,-0.446400,0.000000,0.056000,0.000000
18,0.264706,0.278400,0.000000,0.068800,0.000000
19,0.275362,-0.107200,0.000000,0.307200,0.000000
20,0.285714,-0.003200,0.000000,0.411200,0.000000
21,0.295775,0.041600,0.000000,0.299200,0.000000
22,0.305556,0.136000,0.000000,0.304000,0.000000
23,0.315068,0.064000,0.000000,0.449600,0.000000
24,0.324324,-0.195200,0.000000,0.558400,0.000000
25,0.333333,0.006400,0.000000,0.486400,0.000000
26,0.342105,-0.097600,0.000000,0.430400,0.000000
27,0.350649,-0.230400,0.000000,0.382400,0.000000
28,0.358974,-0.118400,0.000000,0.022400,0.000000
29,0.367089,0.027200,0.000000,0.257600,0.000000
30,0.375000,0.024000,0.000000,-0.158400,0.000000
