# Hysteresis Cycle Data
# Opinion A: affirmative action
# Opinion B: merit-based admissions
# N_regular: 50
# Cycles: 1
stubborn_count,field,magnetization_forward,error_forward,magnetization_backward,error_backward
-30,-0.375000,-0.464000,0.000000,-0.680000,0.000000
-29,-0.367089,-0.558400,0.000000,-0.700800,0.000000
-28,-0.358974,-0.532800,0.000000,-0.614400,0.000000
-27,-0.350649,-0.704000,0.000000,-0.468800,0.000000
-26,-0.342105,-0.659200,0.000000,-0.356800,0.000000
-25,-0.333333,-0.481600,0.000000,-0.576000,0.000000
-24,-0.324324,-0.334400,0.000000,-0.489600,0.000000
-23,-0.315068,-0.334400,0.000000,-0.625600,0.000000
-22,-0.305556,-0.416000,0.000000,-0.678400,0.000000
-21,-0.295775,-0.537600,0.000000,-0.614400,0.000000
-20,-0.285714,-0.574400,0.000000,-0.814400,0.000000
-19,-0.275362,-0.585600,0.000000,-0.612800,0.000000
-18,-0.264706,-0.579200,0.000000,-0.736000,0.000000
-17,-0.253731,-0.734400,0.000000,-0.643200,0.000000
-16,-0.242424,-0.852800,0.000000,-0.798400,0.000000
-15,-0.230769,-0.670400,0.000000,-0.744000,0.000000
-14,-0.218750,-0.784000,0.000000,-0.782400,0.000000
-13,-0.206349,-0.796800,0.000000,-0.649600,0.000000
-12,-0.193548,-0.771200,0.000000,-0.672000,0.000000
-11,-0.180328,-0.844800,0.000000,-0.548800,0.000000
-10,-0.166667,-0.920000,0.000000,0.057600,0.000000
-9,-0.152542,-1.000000,0.000000,0.371200,0.000000
-8,-0.137931,-1.000000,0.000000,0.480000,0.000000
-7,-0.122807,-1.000000,0.000000,0.772800,0.000000
-6,-0.107143,-1.000000,0.000000,0.921600,0.000000
-5,-0.090909,-1.000000,0.000000,0.923200,0.000000
-4,-0.074074,-1.000000,0.000000,0.793600,0.000000
-3,-0.056604,-1.000000,0.000000,0.944000,0.000000
-2,-0.038462,-1.000000,0.000000,0.916800,0.000000
-1,-0.019608,-1.000000,0.000000,0.985600,0.000000
0,0.000000,-1.000000,0.000000,1.000000,0.000000
1,0.019608,-0.798400,0.000000,1.000000,0.000000
2,0.038462,-0.641600,0.000000,1.000000,0.000000
3,0.056604,-0.580800,0.000000,1.000000,0.000000
4,0.074074,-0.771200,0.000000,1.000000,0.000000
5,0.090909,-0.878400,0.000000,1.000000,0.000000
6,0.107143,-0.792000,0.000000,1.000000,0.000000
7,0.122807,-0.643200,0.000000,1.000000,0.000000
8,0.137931,-0.656000,0.000000,1.000000,0.000000
9,0.152542,-0.480000,0.000000,1.000000,0.000000
10,0.166667,-0.009600,0.000000,1.000000,0.000000
11,0.180328,0.286400,0.000000,1.000000,0.000000
12,0.193548,0.856000,0.000000,1.000000,0.000000
13,0.206349,0.889600,0.000000,1.000000,0.000000
14,0.218750,0.990400,0.000000,1.000000,0.000000
15,0.230769,1.000000,0.000000,1.000000,0.000000
16,0.242424,1.000000,0.000000,1.000000,0.000000
17,0.253731,1.000000,0.000000,1.000000,0.000000
18,0.264706,1.000000,0.000000,1.000000,0.000000
19,0.275362,1.000000,0.000000,1.000000,0.000000
20,0.285714,1.000000,0.000000,1.000000,0.000000
21,0.295775,1.000000,0.000000,1.000000,0.000000
22,0.305556,1.000000,0.000000,1.000000,0.000000
23,0.315068,1.000000,0.000000,1.000000,0.000000
24,0.324324,1.000000,0.000000,1.000000,0.000000
25,0.333333,1.000000,0.000000,1.000000,0.000000
26,0.342105,1.000000,0.000000,1.000000,0.000000
27,0.350649,1.000000,0.000000,1.000000,0.000000
28,0.358974,1.000000,0.000000,1.000000,0.000000
29,0.367089,1.000000,0.000000,1.000000,0.000000
30,0.375000,1.000000,0.000000,1.000000,0.000000
