# Hysteresis Cycle Data
# Opinion A: big government
# Opinion B: small government
# N_regular: 50
# Cycles: 1
stubborn_count,field,magnetization_forward,error_forward,magnetization_backward,error_backward
-30,-0.375000,-0.537600,0.000000,-1.000000,0.000000
-29,-0.367089,-0.668800,0.000000,-1.000000,0.000000
-28,-0.358974,-0.748800,0.000000,-1.000000,0.000000
-27,-0.350649,-0.873600,0.000000,-1.000000,0.000000
-26,-0.342105,-0.889600,0.000000,-1.000000,0.000000
-25,-0.333333,-0.960000,0.000000,-1.000000,0.000000
-24,-0.324324,-0.916800,0.000000,-1.000000,0.000000
-23,-0.315068,-0.859200,0.000000,-1.000000,0.000000
-22,-0.305556,-0.937600,0.000000,-1.000000,0.000000
-21,-0.295775,-1.000000,0.000000,-0.952000,0.000000
-20,-0.285714,-1.000000,0.000000,-0.920000,0.000000
-19,-0.275362,-1.000000,0.000000,-0.830400,0.000000
-18,-0.264706,-1.000000,0.000000,-0.928000,0.000000
-17,-0.253731,-1.000000,0.000000,-0.820800,0.000000
-16,-0.242424,-1.000000,0.000000,-0.569600,0.000000
-15,-0.230769,-1.000000,0.000000,-0.196800,0.000000
-14,-0.218750,-1.000000,0.000000,-0.424000,0.000000
-13,-0.206349,-1.000000,0.000000,-0.102400,0.000000
-12,-0.193548,-1.000000,0.000000,0.112000,0.000000
-11,-0.180328,-1.000000,0.000000,0.217600,0.000000
-10,-0.166667,-1.000000,0.000000,0.368000,0.000000
-9,-0.152542,-1.000000,0.000000,0.635200,0.000000
-8,-0.137931,-1.000000,0.000000,0.548800,0.000000
-7,-0.122807,-1.000000,0.000000,0.684800,0.000000
-6,-0.107143,-1.000000,0.000000,0.683200,0.000000
-5,-0.090909,-1.000000,0.000000,0.752000,0.000000
-4,-0.074074,-1.000000,0.000000,0.868800,0.000000
-3,-0.056604,-1.000000,0.000000,0.854400,0.000000
-2,-0.038462,-1.000000,0.000000,0.862400,0.000000
-1,-0.019608,-1.000000,0.000000,0.926400,0.000000
0,0.000000,-1.000000,0.000000,1.000000,0.000000
1,0.019608,-1.000000,0.000000,0.900800,0.000000
2,0.038462,-0.700800,0.000000,0.902400,0.000000
3,0.056604,-0.596800,0.000000,0.950400,0.000000
4,0.074074,-0.720000,0.000000,0.939200,0.000000
5,0.090909,-0.723200,0.000000,0.771200,0.000000
6,0.107143,-0.448000,0.000000,0.795200,0.000000
7,0.122807,0.148800,0.000000,0.809600,0.000000
8,0.137931,0.636800,0.000000,0.910400,0.000000
9,0.152542,0.862400,0.000000,0.891200,0.000000
10,0.166667,0.912000,0.000000,0.889600,0.000000
11,0.180328,0.977600,0.000000,0.928000,0.000000
12,0.193548,0.990400,0.000000,0.920000,0.000000
13,0.206349,0.856000,0.000000,1.000000,0.000000
14,0.218750,0.921600,0.000000,0.952000,0.000000
15,0.230769,0.889600,0.000000,0.886400,0.000000
16,0.242424,0.960000,0.000000,0.934400,0.000000
17,0.253731,0.924800,0.000000,0.932800,0.000000
18,0.264706,0.854400,0.000000,0.942400,0.000000
19,0.275362,0.814400,0.000000,0.982400,0.000000
20,0.285714,0.824000,0.000000,0.896000,0.000000
21,0.295775,0.907200,0.000000,0.956800,0.000000
22,0.305556,0.934400,0.000000,0.929600,0.000000
23,0.315068,1.000000,0.000000,0.942400,0.000000
24,0.324324,0.998400,0.000000,0.960000,0.000000
25,0.333333,1.000000,0.000000,0.846400,0.000000
26,0.342105,1.000000,0.000000,0.915200,0.000000
27,0.350649,1.000000,0.000000,0.960000,0.000000
28,0.358974,1.000000,0.000000,1.000000,0.000000
29,0.367089,1.000000,0.000000,1.000000,0.000000
30,0.375000,1.000000,0.000000,1.000000,0.000000
