# Hysteresis Cycle Data
# Opinion A: cancel culture necessary
# Opinion B: cancel culture harmful
# N_regular: 50
# Cycles: 1
stubborn_count,field,magnetization_forward,error_forward,magnetization_backward,error_backward
-30,-0.375000,-0.574400,0.000000,-1.000000,0.000000
-29,-0.367089,-0.923200,0.000000,-1.000000,0.000000
-28,-0.358974,-0.912000,0.000000,-1.000000,0.000000
-27,-0.350649,-0.776000,0.000000,-1.000000,0.000000
-26,-0.342105,-0.865600,0.000000,-1.000000,0.000000
-25,-0.333333,-1.000000,0.000000,-1.000000,0.000000
-24,-0.324324,-1.000000,0.000000,-1.000000,0.000000
-23,-0.315068,-1.000000,0.000000,-1.000000,0.000000
-22,-0.305556,-1.000000,0.000000,-1.000000,0.000000
-21,-0.295775,-1.000000,0.000000,-1.000000,0.000000
-20,-0.285714,-1.000000,0.000000,-1.000000,0.000000
-19,-0.275362,-1.000000,0.000000,-1.000000,0.000000
-18,-0.264706,-1.000000,0.000000,-1.000000,0.000000
-17,-0.253731,-1.000000,0.000000,-1.000000,0.000000
-16,-0.242424,-1.000000,0.000000,-1.000000,0.000000
-15,-0.230769,-1.000000,0.000000,-1.000000,0.000000
-14,-0.218750,-1.000000,0.000000,-1.000000,0.000000
-13,-0.206349,-1.000000,0.000000,-1.000000,0.000000
-12,-0.193548,-1.000000,0.000000,-1.000000,0.000000
-11,-0.180328,-1.000000,0.000000,-1.000000,0.000000
-10,-0.166667,-1.000000,0.000000,-1.000000,0.000000
-9,-0.152542,-1.000000,0.000000,-1.000000,0.000000
-8,-0.137931,-1.000000,0.000000,-1.000000,0.000000
-7,-0.122807,-1.000000,0.000000,-1.000000,0.000000
-6,-0.107143,-1.000000,0.000000,-1.000000,0.000000
-5,-0.090909,-1.000000,0.000000,-1.000000,0.000000
-4,-0.074074,-1.000000,0.000000,-1.000000,0.000000
-3,-0.056604,-1.000000,0.000000,-0.947200,0.000000
-2,-0.038462,-1.000000,0.000000,-0.960000,0.000000
-1,-0.019608,-1.000000,0.000000,-0.900800,0.000000
0,0.000000,-1.000000,0.000000,-0.777600,0.000000
1,0.019608,-0.992000,0.000000,-0.627200,0.000000
2,0.038462,-0.968000,0.000000,-0.545600,0.000000
3,0.056604,-0.875200,0.000000,-0.187200,0.000000
4,0.074074,-0.729600,0.000000,0.308800,0.000000
5,0.090909,-0.950400,0.000000,0.552000,0.000000
6,0.107143,-0.800000,0.000000,0.761600,0.000000
7,0.122807,-0.763200,0.000000,0.724800,0.000000
8,0.137931,-0.716800,0.000000,0.659200,0.000000
9,0.152542,-0.814400,0.000000,0.534400,0.000000
10,0.166667,-0.878400,0.000000,0.539200,0.000000
11,0.180328,-0.841600,0.000000,0.507200,0.000000
12,0.193548,-0.676800,0.000000,0.563200,0.000000
13,0.206349,-0.574400,0.000000,0.577600,0.000000
14,0.218750,-0.332800,0.000000,0.555200,0.000000
15,0.230769,-0.257600,0.000000,0.627200,0.000000
16,0.242424,0.100800,0.000000,0.619200,0.000000
17,0.253731,0.491200,0.000000,0.630400,0.000000
18,0.264706,0.460800,0.000000,0.633600,0.000000
19,0.275362,0.564800,0.000000,0.817600,0.000000
20,0.285714,0.601600,0.000000,0.715200,0.000000
21,0.295775,0.689600,0.000000,0.595200,0.000000
22,0.305556,0.600000,0.000000,0.638400,0.000000
23,0.315068,0.553600,0.000000,0.630400,0.000000
24,0.324324,0.753600,0.000000,0.790400,0.000000
25,0.333333,0.595200,0.000000,0.774400,0.000000
26,0.342105,0.723200,0.000000,0.723200,0.000000
27,0.350649,0.875200,0.000000,0.678400,0.000000
28,0.358974,0.883200,0.000000,0.366400,0.000000
29,0.367089,0.692800,0.000000,0.552000,0.000000
30,0.375000,0.480000,0.000000,0.492800,0.000000
