# Hysteresis Cycle Data
# Opinion A: corporate constitutional rights
# Opinion B: only individuals have rights
# N_regular: 50
# Cycles: 1
stubborn_count,field,magnetization_forward,error_forward,magnetization_backward,error_backward
-30,-0.375000,-0.705600,0.000000,-1.000000,0.000000
-29,-0.367089,-0.787200,0.000000,-1.000000,0.000000
-28,-0.358974,-0.721600,0.000000,-1.000000,0.000000
-27,-0.350649,-0.792000,0.000000,-1.000000,0.000000
-26,-0.342105,-0.819200,0.000000,-1.000000,0.000000
-25,-0.333333,-0.787200,0.000000,-1.000000,0.000000
-24,-0.324324,-0.657600,0.000000,-1.000000,0.000000
-23,-0.315068,-0.520000,0.000000,-1.000000,0.000000
-22,-0.305556,-0.531200,0.000000,-1.000000,0.000000
-21,-0.295775,-0.750400,0.000000,-1.000000,0.000000
-20,-0.285714,-0.531200,0.000000,-1.000000,0.000000
-19,-0.275362,-0.505600,0.000000,-1.000000,0.000000
-18,-0.264706,-0.403200,0.000000,-1.000000,0.000000
-17,-0.253731,-0.657600,0.000000,-1.000000,0.000000
-16,-0.242424,-0.924800,0.000000,-1.000000,0.000000
-15,-0.230769,-0.744000,0.000000,-1.000000,0.000000
-14,-0.218750,-0.812800,0.000000,-0.726400,0.000000
-13,-0.206349,-0.593600,0.000000,-0.700800,0.000000
-12,-0.193548,-0.697600,0.000000,-0.388800,0.000000
-11,-0.180328,-0.996800,0.000000,0.332800,0.000000
-10,-0.166667,-1.000000,0.000000,0.772800,0.000000
-9,-0.152542,-1.000000,0.000000,0.795200,0.000000
-8,-0.137931,-1.000000,0.000000,0.832000,0.000000
-7,-0.122807,-1.000000,0.000000,0.785600,0.000000
-6,-0.107143,-1.000000,0.000000,0.622400,0.000000
-5,-0.090909,-1.000000,0.000000,0.675200,0.000000
-4,-0.074074,-1.000000,0.000000,0.766400,0.000000
-3,-0.056604,-1.000000,0.000000,0.952000,0.000000
-2,-0.038462,-1.000000,0.000000,0.985600,0.000000
-1,-0.019608,-1.000000,0.000000,0.976000,0.000000
0,0.000000,-1.000000,0.000000,1.000000,0.000000
1,0.019608,-0.985600,0.000000,1.000000,0.000000
2,0.038462,-1.000000,0.000000,1.000000,0.000000
3,0.056604,-1.000000,0.000000,1.000000,0.000000
4,0.074074,-0.992000,0.000000,1.000000,0.000000
5,0.090909,-0.803200,0.000000,1.000000,0.000000
6,0.107143,-0.924800,0.000000,1.000000,0.000000
7,0.122807,-0.963200,0.000000,1.000000,0.000000
8,0.137931,-0.900800,0.000000,1.000000,0.000000
9,0.152542,-0.747200,0.000000,1.000000,0.000000
10,0.166667,-0.337600,0.000000,1.000000,0.000000
11,0.180328,-0.230400,0.000000,1.000000,0.000000
12,0.193548,0.284800,0.000000,1.000000,0.000000
13,0.206349,0.723200,0.000000,1.000000,0.000000
14,0.218750,0.897600,0.000000,1.000000,0.000000
15,0.230769,1.000000,0.000000,1.000000,0.000000
16,0.242424,1.000000,0.000000,1.000000,0.000000
17,0.253731,1.000000,0.000000,1.000000,0.000000
18,0.264706,1.000000,0.000000,1.000000,0.000000
19,0.275362,1.000000,0.000000,1.000000,0.000000
20,0.285714,1.000000,0.000000,1.000000,0.000000
21,0.295775,1.000000,0.000000,1.000000,0.000000
22,0.305556,1.000000,0.000000,1.000000,0.000000
23,0.315068,1.000000,0.000000,1.000000,0.000000
24,0.324324,1.000000,0.000000,1.000000,0.000000
25,0.333333,1.000000,0.000000,1.000000,0.000000
26,0.342105,1.000000,0.000000,1.000000,0.000000
27,0.350649,1.000000,0.000000,1.000000,0.000000
28,0.358974,1.000000,0.000000,1.000000,0.000000
29,0.367089,1.000000,0.000000,1.000000,0.000000
30,0.375000,1.000000,0.000000,1.000000,0.000000
