# Hysteresis Cycle Data
# Opinion A: defund the police
# Opinion B: support the police
# N_regular: 50
# Cycles: 1
stubborn_count,field,magnetization_forward,error_forward,magnetization_backward,error_backward
-30,-0.375000,-0.700800,0.000000,-1.000000,0.000000
-29,-0.367089,-0.918400,0.000000,-1.000000,0.000000
-28,-0.358974,-0.955200,0.000000,-1.000000,0.000000
-27,-0.350649,-0.947200,0.000000,-1.000000,0.000000
-26,-0.342105,-1.000000,0.000000,-1.000000,0.000000
-25,-0.333333,-1.000000,0.000000,-1.000000,0.000000
-24,-0.324324,-1.000000,0.000000,-1.000000,0.000000
-23,-0.315068,-1.000000,0.000000,-1.000000,0.000000
-22,-0.305556,-1.000000,0.000000,-1.000000,0.000000
-21,-0.295775,-1.000000,0.000000,-1.000000,0.000000
-20,-0.285714,-1.000000,0.000000,-1.000000,0.000000
-19,-0.275362,-1.000000,0.000000,-1.000000,0.000000
-18,-0.264706,-1.000000,0.000000,-1.000000,0.000000
-17,-0.253731,-1.000000,0.000000,-1.000000,0.000000
-16,-0.242424,-1.000000,0.000000,-1.000000,0.000000
-15,-0.230769,-1.000000,0.000000,-0.932800,0.000000
-14,-0.218750,-1.000000,0.000000,-0.833600,0.000000
-13,-0.206349,-1.000000,0.000000,-0.612800,0.000000
-12,-0.193548,-1.000000,0.000000,0.240000,0.000000
-11,-0.180328,-1.000000,0.000000,0.556800,0.000000
-10,-0.166667,-1.000000,0.000000,0.691200,0.000000
-9,-0.152542,-1.000000,0.000000,0.561600,0.000000
-8,-0.137931,-1.000000,0.000000,0.692800,0.000000
-7,-0.122807,-1.000000,0.000000,0.760000,0.000000
-6,-0.107143,-1.000000,0.000000,0.728000,0.000000
-5,-0.090909,-1.000000,0.000000,0.712000,0.000000
-4,-0.074074,-1.000000,0.000000,0.785600,0.000000
-3,-0.056604,-1.000000,0.000000,0.960000,0.000000
-2,-0.038462,-1.000000,0.000000,0.980800,0.000000
-1,-0.019608,-1.000000,0.000000,0.926400,0.000000
0,0.000000,-1.000000,0.000000,1.000000,0.000000
1,0.019608,-0.992000,0.000000,1.000000,0.000000
2,0.038462,-1.000000,0.000000,1.000000,0.000000
3,0.056604,-0.873600,0.000000,1.000000,0.000000
4,0.074074,-0.960000,0.000000,1.000000,0.000000
5,0.090909,-0.969600,0.000000,1.000000,0.000000
6,0.107143,-0.878400,0.000000,1.000000,0.000000
7,0.122807,-0.990400,0.000000,1.000000,0.000000
8,0.137931,-0.926400,0.000000,1.000000,0.000000
9,0.152542,-0.940800,0.000000,0.950400,0.000000
10,0.166667,-1.000000,0.000000,0.920000,0.000000
11,0.180328,-1.000000,0.000000,0.782400,0.000000
12,0.193548,-0.955200,0.000000,0.660800,0.000000
13,0.206349,-0.992000,0.000000,0.374400,0.000000
14,0.218750,-0.985600,0.000000,0.419200,0.000000
15,0.230769,-0.948800,0.000000,0.510400,0.000000
16,0.242424,-0.969600,0.000000,0.905600,0.000000
17,0.253731,-0.892800,0.000000,0.859200,0.000000
18,0.264706,-0.915200,0.000000,0.702400,0.000000
19,0.275362,-0.777600,0.000000,0.595200,0.000000
20,0.285714,-0.772800,0.000000,0.840000,0.000000
21,0.295775,-0.755200,0.000000,0.921600,0.000000
22,0.305556,-0.576000,0.000000,0.865600,0.000000
23,0.315068,-0.324800,0.000000,0.788800,0.000000
24,0.324324,0.068800,0.000000,0.465600,0.000000
25,0.333333,0.582400,0.000000,0.808000,0.000000
26,0.342105,0.808000,0.000000,0.480000,0.000000
27,0.350649,0.502400,0.000000,0.846400,0.000000
28,0.358974,0.316800,0.000000,0.680000,0.000000
29,0.367089,0.604800,0.000000,0.720000,0.000000
30,0.375000,0.680000,0.000000,0.339200,0.000000
