# Hysteresis Cycle Data
# Opinion A: mandatory military service
# Opinion B: voluntary military service
# N_regular: 50
# Cycles: 1
stubborn_count,field,magnetization_forward,error_forward,magnetization_backward,error_backward
-30,-0.375000,-0.692800,0.000000,-1.000000,0.000000
-29,-0.367089,-0.945600,0.000000,-1.000000,0.000000
-28,-0.358974,-0.940800,0.000000,-1.000000,0.000000
-27,-0.350649,-1.000000,0.000000,-1.000000,0.000000
-26,-0.342105,-1.000000,0.000000,-1.000000,0.000000
-25,-0.333333,-1.000000,0.000000,-1.000000,0.000000
-24,-0.324324,-1.000000,0.000000,-1.000000,0.000000
-23,-0.315068,-1.000000,0.000000,-0.993600,0.000000
-22,-0.305556,-1.000000,0.000000,-1.000000,0.000000
-21,-0.295775,-1.000000,0.000000,-1.000000,0.000000
-20,-0.285714,-1.000000,0.000000,-1.000000,0.000000
-19,-0.275362,-0.966400,0.000000,-1.000000,0.000000
-18,-0.264706,-1.000000,0.000000,-1.000000,0.000000
-17,-0.253731,-0.948800,0.000000,-1.000000,0.000000
-16,-0.242424,-0.939200,0.000000,-1.000000,0.000000
-15,-0.230769,-1.000000,0.000000,-1.000000,0.000000
-14,-0.218750,-1.000000,0.000000,-0.993600,0.000000
-13,-0.206349,-1.000000,0.000000,-0.960000,0.000000
-12,-0.193548,-1.000000,0.000000,-0.920000,0.000000
-11,-0.180328,-1.000000,0.000000,-0.592000,0.000000
-10,-0.166667,-1.000000,0.000000,-0.009600,0.000000
-9,-0.152542,-1.000000,0.000000,0.464000,0.000000
-8,-0.137931,-1.000000,0.000000,0.518400,0.000000
-7,-0.122807,-1.000000,0.000000,0.814400,0.000000
-6,-0.107143,-1.000000,0.000000,0.900800,0.000000
-5,-0.090909,-1.000000,0.000000,0.862400,0.000000
-4,-0.074074,-1.000000,0.000000,0.862400,0.000000
-3,-0.056604,-1.000000,0.000000,0.913600,0.000000
-2,-0.038462,-0.995200,0.000000,0.931200,0.000000
-1,-0.019608,-1.000000,0.000000,0.867200,0.000000
0,0.000000,-1.000000,0.000000,1.000000,0.000000
1,0.019608,-0.969600,0.000000,1.000000,0.000000
2,0.038462,-0.960000,0.000000,1.000000,0.000000
3,0.056604,-1.000000,0.000000,1.000000,0.000000
4,0.074074,-0.936000,0.000000,1.000000,0.000000
5,0.090909,-0.872000,0.000000,1.000000,0.000000
6,0.107143,-1.000000,0.000000,1.000000,0.000000
7,0.122807,-0.891200,0.000000,1.000000,0.000000
8,0.137931,-0.790400,0.000000,1.000000,0.000000
9,0.152542,-0.921600,0.000000,1.000000,0.000000
10,0.166667,-0.931200,0.000000,1.000000,0.000000
11,0.180328,-0.982400,0.000000,1.000000,0.000000
12,0.193548,-0.937600,0.000000,1.000000,0.000000
13,0.206349,-0.779200,0.000000,1.000000,0.000000
14,0.218750,-0.848000,0.000000,1.000000,0.000000
15,0.230769,-0.776000,0.000000,1.000000,0.000000
16,0.242424,-0.747200,0.000000,1.000000,0.000000
17,0.253731,-0.779200,0.000000,1.000000,0.000000
18,0.264706,-0.632000,0.000000,1.000000,0.000000
19,0.275362,-0.566400,0.000000,1.000000,0.000000
20,0.285714,-0.300800,0.000000,1.000000,0.000000
21,0.295775,0.217600,0.000000,1.000000,0.000000
22,0.305556,0.428800,0.000000,1.000000,0.000000
23,0.315068,0.838400,0.000000,0.920000,0.000000
24,0.324324,0.932800,0.000000,0.883200,0.000000
25,0.333333,0.881600,0.000000,0.878400,0.000000
26,0.342105,0.868800,0.000000,0.907200,0.000000
27,0.350649,0.793600,0.000000,0.635200,0.000000
28,0.358974,0.659200,0.000000,0.691200,0.000000
29,0.367089,0.758400,0.000000,0.790400,0.000000
30,0.375000,0.910400,0.000000,0.737600,0.000000
