# Hysteresis Cycle Data
# Opinion A: morning person
# Opinion B: night owl
# N_regular: 50
# Cycles: 1
stubborn_count,field,magnetization_forward,error_forward,magnetization_backward,error_backward
-30,-0.375000,-0.534400,0.000000,0.732800,0.000000
-29,-0.367089,-0.748800,0.000000,0.598400,0.000000
-28,-0.358974,-0.952000,0.000000,0.683200,0.000000
-27,-0.350649,-0.958400,0.000000,0.908800,0.000000
-26,-0.342105,-0.960000,0.000000,0.790400,0.000000
-25,-0.333333,-1.000000,0.000000,0.560000,0.000000
-24,-0.324324,-1.000000,0.000000,0.574400,0.000000
-23,-0.315068,-1.000000,0.000000,0.934400,0.000000
-22,-0.305556,-1.000000,0.000000,0.918400,0.000000
-21,-0.295775,-1.000000,0.000000,0.841600,0.000000
-20,-0.285714,-1.000000,0.000000,0.859200,0.000000
-19,-0.275362,-1.000000,0.000000,0.846400,0.000000
-18,-0.264706,-1.000000,0.000000,0.760000,0.000000
-17,-0.253731,-1.000000,0.000000,0.920000,0.000000
-16,-0.242424,-1.000000,0.000000,0.918400,0.000000
-15,-0.230769,-1.000000,0.000000,0.955200,0.000000
-14,-0.218750,-1.000000,0.000000,0.870400,0.000000
-13,-0.206349,-1.000000,0.000000,0.958400,0.000000
-12,-0.193548,-1.000000,0.000000,0.960000,0.000000
-11,-0.180328,-1.000000,0.000000,0.960000,0.000000
-10,-0.166667,-1.000000,0.000000,0.960000,0.000000
-9,-0.152542,-1.000000,0.000000,1.000000,0.000000
-8,-0.137931,-1.000000,0.000000,0.918400,0.000000
-7,-0.122807,-1.000000,0.000000,0.931200,0.000000
-6,-0.107143,-1.000000,0.000000,0.912000,0.000000
-5,-0.090909,-1.000000,0.000000,0.880000,0.000000
-4,-0.074074,-1.000000,0.000000,0.931200,0.000000
-3,-0.056604,-1.000000,0.000000,0.947200,0.000000
-2,-0.038462,-1.000000,0.000000,0.960000,0.000000
-1,-0.019608,-1.000000,0.000000,0.995200,0.000000
0,0.000000,-1.000000,0.000000,0.929600,0.000000
1,0.019608,-0.964800,0.000000,0.932800,0.000000
2,0.038462,-0.960000,0.000000,0.920000,0.000000
3,0.056604,-0.961600,0.000000,0.988800,0.000000
4,0.074074,-0.563200,0.000000,0.937600,0.000000
5,0.090909,-0.600000,0.000000,0.944000,0.000000
6,0.107143,0.012800,0.000000,0.896000,0.000000
7,0.122807,0.646400,0.000000,0.972800,0.000000
8,0.137931,0.913600,0.000000,0.902400,0.000000
9,0.152542,0.920000,0.000000,0.867200,0.000000
10,0.166667,0.960000,0.000000,0.920000,0.000000
11,0.180328,0.926400,0.000000,0.897600,0.000000
12,0.193548,0.900800,0.000000,0.897600,0.000000
13,0.206349,0.987200,0.000000,0.889600,0.000000
14,0.218750,0.881600,0.000000,0.936000,0.000000
15,0.230769,1.000000,0.000000,0.953600,0.000000
16,0.242424,0.920000,0.000000,0.921600,0.000000
17,0.253731,0.958400,0.000000,1.000000,0.000000
18,0.264706,0.929600,0.000000,0.880000,0.000000
19,0.275362,0.892800,0.000000,0.928000,0.000000
20,0.285714,1.000000,0.000000,0.952000,0.000000
21,0.295775,0.982400,0.000000,1.000000,0.000000
22,0.305556,0.995200,0.000000,0.956800,0.000000
23,0.315068,1.000000,0.000000,0.960000,0.000000
24,0.324324,0.932800,0.000000,0.952000,0.000000
25,0.333333,0.956800,0.000000,1.000000,0.000000
26,0.342105,0.940800,0.000000,1.000000,0.000000
27,0.350649,0.931200,0.000000,0.974400,0.000000
28,0.358974,0.971200,0.000000,0.960000,0.000000
29,0.367089,1.000000,0.000000,0.977600,0.000000
30,0.375000,1.000000,0.000000,1.000000,0.000000
