# Hysteresis Cycle Data
# Opinion A: privacy over government surveillance
# Opinion B: surveillance justified for safety
# N_regular: 50
# Cycles: 1
stubborn_count,field,magnetization_forward,error_forward,magnetization_backward,error_backward
-30,-0.375000,-0.494400,0.000000,-0.712000,0.000000
-29,-0.367089,-0.635200,0.000000,-0.726400,0.000000
-28,-0.358974,-0.608000,0.000000,-0.787200,0.000000
-27,-0.350649,-0.702400,0.000000,-0.624000,0.000000
-26,-0.342105,-0.723200,0.000000,-0.480000,0.000000
-25,-0.333333,-0.806400,0.000000,-0.475200,0.000000
-24,-0.324324,-0.675200,0.000000,-0.443200,0.000000
-23,-0.315068,-0.665600,0.000000,-0.448000,0.000000
-22,-0.305556,-0.401600,0.000000,-0.108800,0.000000
-21,-0.295775,-0.601600,0.000000,0.116800,0.000000
-20,-0.285714,-0.211200,0.000000,0.208000,0.000000
-19,-0.275362,-0.404800,0.000000,0.174400,0.000000
-18,-0.264706,-0.419200,0.000000,0.694400,0.000000
-17,-0.253731,-0.740800,0.000000,0.848000,0.000000
-16,-0.242424,-0.918400,0.000000,0.646400,0.000000
-15,-0.230769,-0.960000,0.000000,0.843200,0.000000
-14,-0.218750,-0.936000,0.000000,0.809600,0.000000
-13,-0.206349,-0.931200,0.000000,0.945600,0.000000
-12,-0.193548,-0.920000,0.000000,0.934400,0.000000
-11,-0.180328,-0.939200,0.000000,0.953600,0.000000
-10,-0.166667,-0.915200,0.000000,0.931200,0.000000
-9,-0.152542,-0.769600,0.000000,0.920000,0.000000
-8,-0.137931,-0.819200,0.000000,0.960000,0.000000
-7,-0.122807,-0.843200,0.000000,1.000000,0.000000
-6,-0.107143,-0.947200,0.000000,1.000000,0.000000
-5,-0.090909,-0.916800,0.000000,1.000000,0.000000
-4,-0.074074,-1.000000,0.000000,1.000000,0.000000
-3,-0.056604,-1.000000,0.000000,1.000000,0.000000
-2,-0.038462,-1.000000,0.000000,0.969600,0.000000
-1,-0.019608,-1.000000,0.000000,0.960000,0.000000
0,0.000000,-1.000000,0.000000,1.000000,0.000000
1,0.019608,-0.764800,0.000000,1.000000,0.000000
2,0.038462,-0.528000,0.000000,1.000000,0.000000
3,0.056604,-0.251200,0.000000,1.000000,0.000000
4,0.074074,-0.052800,0.000000,1.000000,0.000000
5,0.090909,0.720000,0.000000,1.000000,0.000000
6,0.107143,0.864000,0.000000,1.000000,0.000000
7,0.122807,1.000000,0.000000,1.000000,0.000000
8,0.137931,1.000000,0.000000,1.000000,0.000000
9,0.152542,1.000000,0.000000,1.000000,0.000000
10,0.166667,1.000000,0.000000,1.000000,0.000000
11,0.180328,1.000000,0.000000,1.000000,0.000000
12,0.193548,1.000000,0.000000,1.000000,0.000000
13,0.206349,1.000000,0.000000,1.000000,0.000000
14,0.218750,1.000000,0.000000,1.000000,0.000000
15,0.230769,1.000000,0.000000,1.000000,0.000000
16,0.242424,1.000000,0.000000,1.000000,0.000000
17,0.253731,1.000000,0.000000,1.000000,0.000000
18,0.264706,1.000000,0.000000,1.000000,0.000000
19,0.275362,1.000000,0.000000,1.000000,0.000000
20,0.285714,1.000000,0.000000,1.000000,0.000000
21,0.295775,1.000000,0.000000,1.000000,0.000000
22,0.305556,1.000000,0.000000,1.000000,0.000000
23,0.315068,1.000000,0.000000,1.000000,0.000000
24,0.324324,1.000000,0.000000,1.000000,0.000000
25,0.333333,1.000000,0.000000,1.000000,0.000000
26,0.342105,1.000000,0.000000,1.000000,0.000000
27,0.350649,1.000000,0.000000,1.000000,0.000000
28,0.358974,1.000000,0.000000,1.000000,0.000000
29,0.367089,1.000000,0.000000,1.000000,0.000000
30,0.375000,1.000000,0.000000,1.000000,0.000000
