# Hysteresis Cycle Data
# Opinion A: privacy over national security
# Opinion B: national security over privacy
# N_regular: 50
# Cycles: 1
stubborn_count,field,magnetization_forward,error_forward,magnetization_backward,error_backward
-30,-0.375000,-0.403200,0.000000,0.888000,0.000000
-29,-0.367089,-0.756800,0.000000,0.897600,0.000000
-28,-0.358974,-0.750400,0.000000,0.851200,0.000000
-27,-0.350649,-0.812800,0.000000,0.998400,0.000000
-26,-0.342105,-0.731200,0.000000,0.974400,0.000000
-25,-0.333333,-0.832000,0.000000,1.000000,0.000000
-24,-0.324324,-0.876800,0.000000,0.835200,0.000000
-23,-0.315068,-0.875200,0.000000,0.958400,0.000000
-22,-0.305556,-0.862400,0.000000,0.995200,0.000000
-21,-0.295775,-0.856000,0.000000,0.960000,0.000000
-20,-0.285714,-0.716800,0.000000,0.902400,0.000000
-19,-0.275362,-0.694400,0.000000,0.916800,0.000000
-18,-0.264706,-0.766400,0.000000,0.960000,0.000000
-17,-0.253731,-0.891200,0.000000,1.000000,0.000000
-16,-0.242424,-0.838400,0.000000,0.998400,0.000000
-15,-0.230769,-0.880000,0.000000,0.996800,0.000000
-14,-0.218750,-0.852800,0.000000,0.948800,0.000000
-13,-0.206349,-0.892800,0.000000,0.980800,0.000000
-12,-0.193548,-0.868800,0.000000,1.000000,0.000000
-11,-0.180328,-0.848000,0.000000,1.000000,0.000000
-10,-0.166667,-0.828800,0.000000,1.000000,0.000000
-9,-0.152542,-0.793600,0.000000,1.000000,0.000000
-8,-0.137931,-0.798400,0.000000,0.924800,0.000000
-7,-0.122807,-0.929600,0.000000,0.960000,0.000000
-6,-0.107143,-0.880000,0.000000,0.960000,0.000000
-5,-0.090909,-0.752000,0.000000,0.960000,0.000000
-4,-0.074074,-0.897600,0.000000,1.000000,0.000000
-3,-0.056604,-0.899200,0.000000,1.000000,0.000000
-2,-0.038462,-0.953600,0.000000,0.966400,0.000000
-1,-0.019608,-0.908800,0.000000,0.921600,0.000000
0,0.000000,-0.977600,0.000000,1.000000,0.000000
1,0.019608,-0.876800,0.000000,1.000000,0.000000
2,0.038462,-0.961600,0.000000,0.910400,0.000000
3,0.056604,-0.932800,0.000000,0.916800,0.000000
4,0.074074,-1.000000,0.000000,0.934400,0.000000
5,0.090909,-0.977600,0.000000,0.960000,0.000000
6,0.107143,-0.929600,0.000000,1.000000,0.000000
7,0.122807,-0.920000,0.000000,0.996800,0.000000
8,0.137931,-0.820800,0.000000,1.000000,0.000000
9,0.152542,-0.356800,0.000000,1.000000,0.000000
10,0.166667,0.515200,0.000000,1.000000,0.000000
11,0.180328,0.910400,0.000000,1.000000,0.000000
12,0.193548,0.968000,0.000000,1.000000,0.000000
13,0.206349,1.000000,0.000000,1.000000,0.000000
14,0.218750,0.891200,0.000000,1.000000,0.000000
15,0.230769,1.000000,0.000000,0.998400,0.000000
16,0.242424,1.000000,0.000000,0.924800,0.000000
17,0.253731,1.000000,0.000000,1.000000,0.000000
18,0.264706,1.000000,0.000000,1.000000,0.000000
19,0.275362,1.000000,0.000000,1.000000,0.000000
20,0.285714,1.000000,0.000000,1.000000,0.000000
21,0.295775,1.000000,0.000000,1.000000,0.000000
22,0.305556,1.000000,0.000000,1.000000,0.000000
23,0.315068,1.000000,0.000000,1.000000,0.000000
24,0.324324,1.000000,0.000000,1.000000,0.000000
25,0.333333,1.000000,0.000000,1.000000,0.000000
26,0.342105,1.000000,0.000000,1.000000,0.000000
27,0.350649,0.960000,0.000000,1.000000,0.000000
28,0.358974,0.892800,0.000000,1.000000,0.000000
29,0.367089,0.931200,0.000000,1.000000,0.000000
30,0.375000,0.960000,0.000000,1.000000,0.000000
