# Hysteresis Cycle Data
# Opinion A: rehabilitative justice
# Opinion B: punitive justice
# N_regular: 50
# Cycles: 1
stubborn_count,field,magnetization_forward,error_forward,magnetization_backward,error_backward
-30,-0.375000,-0.380800,0.000000,-0.374400,0.000000
-29,-0.367089,-0.470400,0.000000,-0.412800,0.000000
-28,-0.358974,-0.465600,0.000000,-0.260800,0.000000
-27,-0.350649,-0.571200,0.000000,-0.689600,0.000000
-26,-0.342105,-0.628800,0.000000,-0.883200,0.000000
-25,-0.333333,-0.752000,0.000000,-0.872000,0.000000
-24,-0.324324,-0.820800,0.000000,-0.884800,0.000000
-23,-0.315068,-0.800000,0.000000,-0.902400,0.000000
-22,-0.305556,-0.753600,0.000000,-0.836800,0.000000
-21,-0.295775,-0.492800,0.000000,-0.425600,0.000000
-20,-0.285714,-0.392000,0.000000,0.081600,0.000000
-19,-0.275362,-0.464000,0.000000,0.358400,0.000000
-18,-0.264706,-0.598400,0.000000,0.769600,0.000000
-17,-0.253731,-0.910400,0.000000,0.857600,0.000000
-16,-0.242424,-0.838400,0.000000,0.888000,0.000000
-15,-0.230769,-0.880000,0.000000,0.780800,0.000000
-14,-0.218750,-0.795200,0.000000,0.822400,0.000000
-13,-0.206349,-0.782400,0.000000,0.588800,0.000000
-12,-0.193548,-0.651200,0.000000,0.776000,0.000000
-11,-0.180328,-0.771200,0.000000,0.707200,0.000000
-10,-0.166667,-0.739200,0.000000,0.808000,0.000000
-9,-0.152542,-0.897600,0.000000,0.843200,0.000000
-8,-0.137931,-1.000000,0.000000,0.771200,0.000000
-7,-0.122807,-1.000000,0.000000,0.739200,0.000000
-6,-0.107143,-1.000000,0.000000,0.840000,0.000000
-5,-0.090909,-1.000000,0.000000,0.960000,0.000000
-4,-0.074074,-1.000000,0.000000,0.960000,0.000000
-3,-0.056604,-1.000000,0.000000,0.939200,0.000000
-2,-0.038462,-1.000000,0.000000,0.940800,0.000000
-1,-0.019608,-1.000000,0.000000,0.960000,0.000000
0,0.000000,-1.000000,0.000000,1.000000,0.000000
1,0.019608,-0.923200,0.000000,1.000000,0.000000
2,0.038462,-0.833600,0.000000,1.000000,0.000000
3,0.056604,-0.904000,0.000000,1.000000,0.000000
4,0.074074,-0.593600,0.000000,1.000000,0.000000
5,0.090909,-0.497600,0.000000,1.000000,0.000000
6,0.107143,-0.430400,0.000000,1.000000,0.000000
7,0.122807,0.304000,0.000000,1.000000,0.000000
8,0.137931,0.689600,0.000000,1.000000,0.000000
9,0.152542,0.820800,0.000000,1.000000,0.000000
10,0.166667,0.910400,0.000000,1.000000,0.000000
11,0.180328,0.836800,0.000000,1.000000,0.000000
12,0.193548,0.907200,0.000000,1.000000,0.000000
13,0.206349,0.936000,0.000000,1.000000,0.000000
14,0.218750,1.000000,0.000000,1.000000,0.000000
15,0.230769,1.000000,0.000000,1.000000,0.000000
16,0.242424,1.000000,0.000000,1.000000,0.000000
17,0.253731,1.000000,0.000000,1.000000,0.000000
18,0.264706,1.000000,0.000000,1.000000,0.000000
19,0.275362,1.000000,0.000000,1.000000,0.000000
20,0.285714,1.000000,0.000000,1.000000,0.000000
21,0.295775,1.000000,0.000000,1.000000,0.000000
22,0.305556,1.000000,0.000000,1.000000,0.000000
23,0.315068,1.000000,0.000000,1.000000,0.000000
24,0.324324,1.000000,0.000000,1.000000,0.000000
25,0.333333,1.000000,0.000000,1.000000,0.000000
26,0.342105,1.000000,0.000000,1.000000,0.000000
27,0.350649,1.000000,0.000000,1.000000,0.000000
28,0.358974,1.000000,0.000000,1.000000,0.000000
29,0.367089,1.000000,0.000000,1.000000,0.000000
30,0.375000,1.000000,0.000000,1.000000,0.000000
