# Hysteresis Cycle Data
# Opinion A: right to a job
# Opinion B: employment not guaranteed by state
# N_regular: 50
# Cycles: 1
stubborn_count,field,magnetization_forward,error_forward,magnetization_backward,error_backward
-30,-0.375000,-0.532800,0.000000,-0.873600,0.000000
-29,-0.367089,-0.668800,0.000000,-0.924800,0.000000
-28,-0.358974,-0.761600,0.000000,-0.913600,0.000000
-27,-0.350649,-0.806400,0.000000,-0.907200,0.000000
-26,-0.342105,-0.776000,0.000000,-0.920000,0.000000
-25,-0.333333,-0.816000,0.000000,-0.900800,0.000000
-24,-0.324324,-0.566400,0.000000,-0.915200,0.000000
-23,-0.315068,-0.849600,0.000000,-0.920000,0.000000
-22,-0.305556,-1.000000,0.000000,-0.857600,0.000000
-21,-0.295775,-1.000000,0.000000,-0.880000,0.000000
-20,-0.285714,-1.000000,0.000000,-0.960000,0.000000
-19,-0.275362,-1.000000,0.000000,-0.849600,0.000000
-18,-0.264706,-1.000000,0.000000,-0.902400,0.000000
-17,-0.253731,-1.000000,0.000000,-0.504000,0.000000
-16,-0.242424,-1.000000,0.000000,-0.462400,0.000000
-15,-0.230769,-1.000000,0.000000,-0.444800,0.000000
-14,-0.218750,-1.000000,0.000000,-0.137600,0.000000
-13,-0.206349,-1.000000,0.000000,0.075200,0.000000
-12,-0.193548,-1.000000,0.000000,0.416000,0.000000
-11,-0.180328,-1.000000,0.000000,0.672000,0.000000
-10,-0.166667,-1.000000,0.000000,0.464000,0.000000
-9,-0.152542,-1.000000,0.000000,0.817600,0.000000
-8,-0.137931,-1.000000,0.000000,0.726400,0.000000
-7,-0.122807,-1.000000,0.000000,0.868800,0.000000
-6,-0.107143,-1.000000,0.000000,0.846400,0.000000
-5,-0.090909,-1.000000,0.000000,0.732800,0.000000
-4,-0.074074,-1.000000,0.000000,0.993600,0.000000
-3,-0.056604,-1.000000,0.000000,0.985600,0.000000
-2,-0.038462,-1.000000,0.000000,0.969600,0.000000
-1,-0.019608,-1.000000,0.000000,0.944000,0.000000
0,0.000000,-1.000000,0.000000,1.000000,0.000000
1,0.019608,-0.998400,0.000000,1.000000,0.000000
2,0.038462,-0.960000,0.000000,1.000000,0.000000
3,0.056604,-1.000000,0.000000,1.000000,0.000000
4,0.074074,-0.960000,0.000000,1.000000,0.000000
5,0.090909,-0.982400,0.000000,1.000000,0.000000
6,0.107143,-0.912000,0.000000,1.000000,0.000000
7,0.122807,-0.707200,0.000000,1.000000,0.000000
8,0.137931,-0.291200,0.000000,1.000000,0.000000
9,0.152542,0.008000,0.000000,0.920000,0.000000
10,0.166667,0.352000,0.000000,0.928000,0.000000
11,0.180328,0.598400,0.000000,0.931200,0.000000
12,0.193548,0.620800,0.000000,0.854400,0.000000
13,0.206349,0.814400,0.000000,0.960000,0.000000
14,0.218750,0.854400,0.000000,0.857600,0.000000
15,0.230769,0.899200,0.000000,0.840000,0.000000
16,0.242424,0.896000,0.000000,0.720000,0.000000
17,0.253731,0.880000,0.000000,0.665600,0.000000
18,0.264706,0.736000,0.000000,0.686400,0.000000
19,0.275362,0.606400,0.000000,0.612800,0.000000
20,0.285714,0.620800,0.000000,0.622400,0.000000
21,0.295775,0.753600,0.000000,0.811200,0.000000
22,0.305556,0.702400,0.000000,0.776000,0.000000
23,0.315068,0.795200,0.000000,0.931200,0.000000
24,0.324324,0.769600,0.000000,0.822400,0.000000
25,0.333333,0.747200,0.000000,0.763200,0.000000
26,0.342105,0.780800,0.000000,0.673600,0.000000
27,0.350649,0.832000,0.000000,0.774400,0.000000
28,0.358974,0.851200,0.000000,0.718400,0.000000
29,0.367089,0.756800,0.000000,0.641600,0.000000
30,0.375000,0.748800,0.000000,0.820800,0.000000
