# Hysteresis Cycle Data
# Opinion A: states’ rights on drug policy
# Opinion B: federal supremacy on drugs
# N_regular: 50
# Cycles: 1
stubborn_count,field,magnetization_forward,error_forward,magnetization_backward,error_backward
-30,-0.375000,-0.740800,0.000000,-1.000000,0.000000
-29,-0.367089,-0.920000,0.000000,-1.000000,0.000000
-28,-0.358974,-1.000000,0.000000,-1.000000,0.000000
-27,-0.350649,-1.000000,0.000000,-1.000000,0.000000
-26,-0.342105,-1.000000,0.000000,-1.000000,0.000000
-25,-0.333333,-1.000000,0.000000,-1.000000,0.000000
-24,-0.324324,-1.000000,0.000000,-1.000000,0.000000
-23,-0.315068,-1.000000,0.000000,-1.000000,0.000000
-22,-0.305556,-1.000000,0.000000,-1.000000,0.000000
-21,-0.295775,-1.000000,0.000000,-1.000000,0.000000
-20,-0.285714,-1.000000,0.000000,-1.000000,0.000000
-19,-0.275362,-1.000000,0.000000,-1.000000,0.000000
-18,-0.264706,-1.000000,0.000000,-1.000000,0.000000
-17,-0.253731,-1.000000,0.000000,-1.000000,0.000000
-16,-0.242424,-1.000000,0.000000,-1.000000,0.000000
-15,-0.230769,-1.000000,0.000000,-1.000000,0.000000
-14,-0.218750,-1.000000,0.000000,-1.000000,0.000000
-13,-0.206349,-1.000000,0.000000,-1.000000,0.000000
-12,-0.193548,-1.000000,0.000000,-0.920000,0.000000
-11,-0.180328,-1.000000,0.000000,-0.915200,0.000000
-10,-0.166667,-1.000000,0.000000,-0.931200,0.000000
-9,-0.152542,-1.000000,0.000000,-0.960000,0.000000
-8,-0.137931,-1.000000,0.000000,-0.828800,0.000000
-7,-0.122807,-1.000000,0.000000,-0.129600,0.000000
-6,-0.107143,-1.000000,0.000000,0.345600,0.000000
-5,-0.090909,-1.000000,0.000000,0.681600,0.000000
-4,-0.074074,-1.000000,0.000000,0.702400,0.000000
-3,-0.056604,-1.000000,0.000000,0.888000,0.000000
-2,-0.038462,-1.000000,0.000000,0.928000,0.000000
-1,-0.019608,-1.000000,0.000000,0.955200,0.000000
0,0.000000,-1.000000,0.000000,0.878400,0.000000
1,0.019608,-0.961600,0.000000,0.691200,0.000000
2,0.038462,-1.000000,0.000000,0.587200,0.000000
3,0.056604,-1.000000,0.000000,0.379200,0.000000
4,0.074074,-1.000000,0.000000,0.366400,0.000000
5,0.090909,-1.000000,0.000000,0.302400,0.000000
6,0.107143,-0.971200,0.000000,0.449600,0.000000
7,0.122807,-0.995200,0.000000,0.308800,0.000000
8,0.137931,-0.987200,0.000000,0.510400,0.000000
9,0.152542,-0.976000,0.000000,0.512000,0.000000
10,0.166667,-1.000000,0.000000,0.430400,0.000000
11,0.180328,-0.992000,0.000000,0.678400,0.000000
12,0.193548,-0.993600,0.000000,0.899200,0.000000
13,0.206349,-0.960000,0.000000,0.745600,0.000000
14,0.218750,-0.912000,0.000000,0.624000,0.000000
15,0.230769,-0.931200,0.000000,0.817600,0.000000
16,0.242424,-0.836800,0.000000,0.902400,0.000000
17,0.253731,-0.840000,0.000000,0.816000,0.000000
18,0.264706,-0.723200,0.000000,0.905600,0.000000
19,0.275362,-0.796800,0.000000,0.894400,0.000000
20,0.285714,-0.676800,0.000000,0.902400,0.000000
21,0.295775,-0.702400,0.000000,0.766400,0.000000
22,0.305556,-0.662400,0.000000,0.689600,0.000000
23,0.315068,-0.412800,0.000000,0.780800,0.000000
24,0.324324,-0.425600,0.000000,0.785600,0.000000
25,0.333333,-0.212800,0.000000,0.723200,0.000000
26,0.342105,0.262400,0.000000,0.819200,0.000000
27,0.350649,0.576000,0.000000,0.864000,0.000000
28,0.358974,0.796800,0.000000,0.857600,0.000000
29,0.367089,0.763200,0.000000,0.788800,0.000000
30,0.375000,0.833600,0.000000,0.868800,0.000000
