# Hysteresis Cycle Data (CONSTANT SIZE)
# Opinion A: corporate regulation
# Opinion B: corporate freedom
# N_regular: 50
# N_stubborn_total: 30 (constant)
# N_total: 80 (constant)
# Temperature: 0.2
# Cycles: 1
N_stubborn_A,N_stubborn_B,field,magnetization_forward,error_forward,magnetization_backward,error_backward
0,30,-0.375000,-0.928000,0.000000,-0.960000,0.000000
1,29,-0.350000,-1.000000,0.000000,-0.892800,0.000000
2,28,-0.325000,-0.960000,0.000000,-0.734400,0.000000
3,27,-0.300000,-0.910400,0.000000,-0.548800,0.000000
4,26,-0.275000,-0.956800,0.000000,0.208000,0.000000
5,25,-0.250000,-0.960000,0.000000,0.352000,0.000000
6,24,-0.225000,-0.937600,0.000000,0.603200,0.000000
7,23,-0.200000,-0.960000,0.000000,0.897600,0.000000
8,22,-0.175000,-0.963200,0.000000,0.844800,0.000000
9,21,-0.150000,-1.000000,0.000000,0.926400,0.000000
10,20,-0.125000,-0.960000,0.000000,0.937600,0.000000
11,19,-0.100000,-0.937600,0.000000,0.995200,0.000000
12,18,-0.075000,-0.920000,0.000000,0.998400,0.000000
13,17,-0.050000,-0.896000,0.000000,1.000000,0.000000
14,16,-0.025000,-0.993600,0.000000,1.000000,0.000000
15,15,0.000000,-0.833600,0.000000,1.000000,0.000000
16,14,0.025000,-0.790400,0.000000,0.940800,0.000000
17,13,0.050000,-0.948800,0.000000,0.915200,0.000000
18,12,0.075000,-0.896000,0.000000,1.000000,0.000000
19,11,0.100000,-0.880000,0.000000,1.000000,0.000000
20,10,0.125000,-0.454400,0.000000,0.964800,0.000000
21,9,0.150000,-0.105600,0.000000,0.982400,0.000000
22,8,0.175000,0.720000,0.000000,1.000000,0.000000
23,7,0.200000,0.972800,0.000000,0.974400,0.000000
24,6,0.225000,1.000000,0.000000,0.960000,0.000000
25,5,0.250000,0.947200,0.000000,0.960000,0.000000
26,4,0.275000,0.960000,0.000000,0.982400,0.000000
27,3,0.300000,0.945600,0.000000,0.910400,0.000000
28,2,0.325000,0.960000,0.000000,0.924800,0.000000
29,1,0.350000,0.960000,0.000000,0.969600,0.000000
30,0,0.375000,0.971200,0.000000,1.000000,0.000000
