# Hysteresis Cycle Data (CONSTANT SIZE)
# Opinion A: mask mandates
# Opinion B: personal choice
# N_regular: 50
# N_stubborn_total: 30 (constant)
# N_total: 80 (constant)
# Temperature: 0.2
# Cycles: 1
N_stubborn_A,N_stubborn_B,field,magnetization_forward,error_forward,magnetization_backward,error_backward
0,30,-0.375000,0.553600,0.000000,0.878400,0.000000
1,29,-0.350000,0.606400,0.000000,0.891200,0.000000
2,28,-0.325000,0.878400,0.000000,0.929600,0.000000
3,27,-0.300000,0.897600,0.000000,0.960000,0.000000
4,26,-0.275000,1.000000,0.000000,0.931200,0.000000
5,25,-0.250000,0.977600,0.000000,0.896000,0.000000
6,24,-0.225000,0.995200,0.000000,0.995200,0.000000
7,23,-0.200000,0.980800,0.000000,0.924800,0.000000
8,22,-0.175000,1.000000,0.000000,0.913600,0.000000
9,21,-0.150000,0.960000,0.000000,1.000000,0.000000
10,20,-0.125000,0.956800,0.000000,0.968000,0.000000
11,19,-0.100000,0.996800,0.000000,0.904000,0.000000
12,18,-0.075000,1.000000,0.000000,1.000000,0.000000
13,17,-0.050000,1.000000,0.000000,1.000000,0.000000
14,16,-0.025000,1.000000,0.000000,1.000000,0.000000
15,15,0.000000,0.968000,0.000000,1.000000,0.000000
16,14,0.025000,0.987200,0.000000,1.000000,0.000000
17,13,0.050000,1.000000,0.000000,0.960000,0.000000
18,12,0.075000,1.000000,0.000000,0.974400,0.000000
19,11,0.100000,1.000000,0.000000,1.000000,0.000000
20,10,0.125000,1.000000,0.000000,1.000000,0.000000
21,9,0.150000,0.960000,0.000000,1.000000,0.000000
22,8,0.175000,0.996800,0.000000,1.000000,0.000000
23,7,0.200000,1.000000,0.000000,1.000000,0.000000
24,6,0.225000,1.000000,0.000000,1.000000,0.000000
25,5,0.250000,1.000000,0.000000,1.000000,0.000000
26,4,0.275000,1.000000,0.000000,0.960000,0.000000
27,3,0.300000,1.000000,0.000000,0.960000,0.000000
28,2,0.325000,1.000000,0.000000,1.000000,0.000000
29,1,0.350000,0.960000,0.000000,1.000000,0.000000
30,0,0.375000,1.000000,0.000000,1.000000,0.000000
