# Hysteresis Cycle Data
# Opinion A: gender self-identification
# Opinion B: biological sex classification
# N_regular: 50
# Temperature: 0.2
# Cycles: 3
# Initial state: m=-1 (all opinion B)
# max_stubborn: 35
# stubborn_step: 2
stubborn_count,field,magnetization_forward,error_forward,magnetization_backward,error_backward,magnetization_forward_c1,magnetization_forward_c2,magnetization_forward_c3,magnetization_backward_c1,magnetization_backward_c2,magnetization_backward_c3
-35,-0.411765,-0.854933,0.006590,-0.853867,0.030955,-0.843200,-0.851200,-0.870400,-0.841600,-0.795200,-0.924800
-33,-0.397590,-0.905600,0.003771,-0.875200,0.003991,-0.897600,-0.913600,-0.905600,-0.884800,-0.868800,-0.872000
-31,-0.382716,-0.861867,0.009844,-0.875200,0.020407,-0.864000,-0.881600,-0.840000,-0.878400,-0.916800,-0.830400
-29,-0.367089,-0.865600,0.015964,-0.675733,0.121872,-0.904000,-0.840000,-0.852800,-0.774400,-0.870400,-0.382400
-27,-0.350649,-0.878933,0.015110,-0.593600,0.212966,-0.854400,-0.915200,-0.867200,-0.817600,-0.889600,-0.073600
-25,-0.333333,-0.881067,0.016972,-0.516800,0.262862,-0.907200,-0.840000,-0.896000,-0.812800,-0.864000,0.126400
-23,-0.315068,-0.875733,0.018264,-0.292267,0.257552,-0.859200,-0.848000,-0.920000,-0.454400,-0.739200,0.316800
-21,-0.295775,-0.879467,0.010044,0.059200,0.192897,-0.868800,-0.865600,-0.904000,0.080000,-0.360000,0.457600
-19,-0.275362,-0.873067,0.014593,0.389333,0.073756,-0.854400,-0.856000,-0.908800,0.276800,0.323200,0.568000
-17,-0.253731,-0.897067,0.011838,0.702400,0.105990,-0.905600,-0.868800,-0.916800,0.545600,0.601600,0.960000
-15,-0.230769,-0.886933,0.004154,0.744000,0.070610,-0.886400,-0.878400,-0.896000,0.571200,0.824000,0.836800
-13,-0.206349,-0.861867,0.011595,0.766400,0.063361,-0.833600,-0.878400,-0.873600,0.688000,0.921600,0.689600
-11,-0.180328,-0.909333,0.017484,0.718400,0.108619,-0.884800,-0.891200,-0.952000,0.489600,0.950400,0.715200
-9,-0.152542,-0.903467,0.008677,0.720000,0.025377,-0.904000,-0.921600,-0.884800,0.659200,0.761600,0.739200
-7,-0.122807,-0.909867,0.006967,0.791467,0.028525,-0.918400,-0.892800,-0.918400,0.782400,0.856000,0.736000
-5,-0.090909,-0.870933,0.018966,0.773333,0.026370,-0.902400,-0.825600,-0.884800,0.803200,0.808000,0.708800
-3,-0.056604,-0.882133,0.015574,0.879467,0.048038,-0.867200,-0.859200,-0.920000,0.870400,0.985600,0.782400
-1,-0.019608,-0.846933,0.044904,0.803200,0.001996,-0.920000,-0.739200,-0.881600,0.798400,0.806400,0.804800
1,0.019608,-0.803200,0.089945,0.915733,0.068803,-0.948800,-0.587200,-0.873600,1.000000,0.747200,1.000000
3,0.056604,-0.660267,0.175572,0.928000,0.058788,-0.886400,-0.230400,-0.864000,1.000000,0.784000,1.000000
5,0.090909,-0.417067,0.413273,0.952000,0.039192,-0.931200,0.595200,-0.915200,1.000000,0.856000,1.000000
7,0.122807,-0.374933,0.409853,0.898667,0.082738,-0.824000,0.627200,-0.928000,1.000000,0.696000,1.000000
9,0.152542,-0.200000,0.343134,0.895467,0.085351,-0.427200,0.614400,-0.787200,1.000000,0.686400,1.000000
11,0.180328,0.331733,0.183028,0.876800,0.100592,0.419200,0.668800,-0.092800,1.000000,0.630400,1.000000
13,0.206349,0.605333,0.024572,0.925867,0.060530,0.628800,0.641600,0.545600,1.000000,0.777600,1.000000
15,0.230769,0.636800,0.023563,0.922133,0.063578,0.604800,0.694400,0.611200,1.000000,0.766400,1.000000
17,0.253731,0.689600,0.017282,0.907733,0.075335,0.697600,0.721600,0.649600,1.000000,0.723200,1.000000
19,0.275362,0.677867,0.041548,0.888533,0.091012,0.748800,0.705600,0.579200,1.000000,0.665600,1.000000
21,0.295775,0.773333,0.026606,0.917867,0.067062,0.737600,0.744000,0.838400,1.000000,0.753600,1.000000
23,0.315068,0.793067,0.023252,0.940267,0.048772,0.832000,0.809600,0.737600,1.000000,0.820800,1.000000
25,0.333333,0.779200,0.031381,0.941867,0.047466,0.852800,0.723200,0.761600,1.000000,0.825600,1.000000
27,0.350649,0.752000,0.029396,0.953067,0.038321,0.820800,0.699200,0.736000,1.000000,0.859200,1.000000
29,0.367089,0.874133,0.006415,0.949867,0.040934,0.873600,0.860800,0.888000,1.000000,0.849600,1.000000
31,0.382716,0.920000,0.021559,0.928000,0.058788,0.867200,0.947200,0.945600,1.000000,0.784000,1.000000
33,0.397590,0.843733,0.012852,0.864000,0.044167,0.828800,0.827200,0.875200,0.859200,0.772800,0.960000
35,0.411765,0.831467,0.025869,0.866133,0.014016,0.806400,0.793600,0.894400,0.841600,0.857600,0.899200
