# Hysteresis Cycle Data
# Opinion A: gender self-identification
# Opinion B: biological sex classification
# N_regular: 50
# Temperature: 0.2
# Cycles: 3
# Initial state: m=-1 (all opinion B)
# max_stubborn: 200
# stubborn_step: 10
stubborn_count,field,magnetization_forward,error_forward,magnetization_backward,error_backward,magnetization_forward_c1,magnetization_forward_c2,magnetization_forward_c3,magnetization_backward_c1,magnetization_backward_c2,magnetization_backward_c3
-200,-0.800000,-1.000000,0.000000,-0.892444,0.021094,-1.000000,-1.000000,-1.000000,-0.849333,-0.938667,-0.889333
-190,-0.791667,-1.000000,0.000000,-0.896444,0.013323,-1.000000,-1.000000,-1.000000,-0.870667,-0.926667,-0.892000
-180,-0.782609,-1.000000,0.000000,-0.860444,0.014475,-1.000000,-1.000000,-1.000000,-0.868000,-0.886667,-0.826667
-170,-0.772727,-1.000000,0.000000,-0.887556,0.012322,-1.000000,-1.000000,-1.000000,-0.860000,-0.912000,-0.890667
-160,-0.761905,-1.000000,0.000000,-0.868889,0.034896,-1.000000,-1.000000,-1.000000,-0.920000,-0.902667,-0.784000
-150,-0.750000,-1.000000,0.000000,-0.895556,0.010448,-1.000000,-1.000000,-1.000000,-0.872000,-0.916000,-0.898667
-140,-0.736842,-1.000000,0.000000,-0.872000,0.009130,-1.000000,-1.000000,-1.000000,-0.892000,-0.870667,-0.853333
-130,-0.722222,-1.000000,0.000000,-0.887556,0.012576,-1.000000,-1.000000,-1.000000,-0.914667,-0.861333,-0.886667
-120,-0.705882,-1.000000,0.000000,-0.849778,0.012639,-1.000000,-1.000000,-1.000000,-0.820000,-0.857333,-0.872000
-110,-0.687500,-1.000000,0.000000,-0.870667,0.003326,-1.000000,-1.000000,-1.000000,-0.865333,-0.868000,-0.878667
-100,-0.666667,-1.000000,0.000000,-0.850222,0.004633,-1.000000,-1.000000,-1.000000,-0.842667,-0.861333,-0.846667
-90,-0.642857,-1.000000,0.000000,-0.840889,0.012701,-1.000000,-1.000000,-1.000000,-0.812000,-0.845333,-0.865333
-80,-0.615385,-1.000000,0.000000,-0.793778,0.035340,-1.000000,-1.000000,-1.000000,-0.744000,-0.880000,-0.757333
-70,-0.583333,-1.000000,0.000000,-0.850667,0.039767,-1.000000,-1.000000,-1.000000,-0.902667,-0.753333,-0.896000
-60,-0.545455,-1.000000,0.000000,-0.807556,0.009539,-1.000000,-1.000000,-1.000000,-0.789333,-0.804000,-0.829333
-50,-0.500000,-1.000000,0.000000,-0.469333,0.087086,-1.000000,-1.000000,-1.000000,-0.313333,-0.673333,-0.421333
-40,-0.444444,-1.000000,0.000000,0.001778,0.144128,-1.000000,-1.000000,-1.000000,0.245333,-0.341333,0.101333
-30,-0.375000,-1.000000,0.000000,0.544000,0.099643,-1.000000,-1.000000,-1.000000,0.642667,0.301333,0.688000
-20,-0.285714,-1.000000,0.000000,0.722667,0.036145,-1.000000,-1.000000,-1.000000,0.645333,0.724000,0.798667
-10,-0.166667,-1.000000,0.000000,0.822667,0.031295,-1.000000,-1.000000,-1.000000,0.746667,0.869333,0.852000
0,0.000000,-1.000000,0.000000,0.953778,0.037740,-1.000000,-1.000000,-1.000000,0.861333,1.000000,1.000000
10,0.166667,-0.791556,0.071984,0.927556,0.059151,-0.848000,-0.618667,-0.908000,0.782667,1.000000,1.000000
20,0.285714,-0.215111,0.134355,0.908444,0.074755,-0.397333,0.113333,-0.361333,0.725333,1.000000,1.000000
30,0.375000,0.445778,0.077130,0.937778,0.050804,0.434667,0.614667,0.288000,0.813333,1.000000,1.000000
40,0.444444,0.709333,0.068216,0.959111,0.033386,0.856000,0.705333,0.566667,0.877333,1.000000,1.000000
50,0.500000,0.834222,0.046450,0.967111,0.026854,0.948000,0.777333,0.777333,0.901333,1.000000,1.000000
60,0.545455,0.827111,0.048366,0.955111,0.036652,0.945333,0.774667,0.761333,0.865333,1.000000,1.000000
70,0.583333,0.851111,0.034135,0.955111,0.036652,0.934667,0.806667,0.812000,0.865333,1.000000,1.000000
80,0.615385,0.825778,0.009456,0.928444,0.058425,0.836000,0.838667,0.802667,0.785333,1.000000,1.000000
90,0.642857,0.886222,0.039022,0.940889,0.048264,0.796000,0.958667,0.904000,0.822667,1.000000,1.000000
100,0.666667,0.934667,0.027477,0.957333,0.034837,0.916000,1.000000,0.888000,0.872000,1.000000,1.000000
110,0.687500,0.887111,0.046433,0.953778,0.037740,0.818667,1.000000,0.842667,0.861333,1.000000,1.000000
120,0.705882,0.891556,0.045855,0.950222,0.040643,0.862667,1.000000,0.812000,0.850667,1.000000,1.000000
130,0.722222,0.870667,0.053137,0.948444,0.042095,0.818667,1.000000,0.793333,0.845333,1.000000,1.000000
140,0.736842,0.904444,0.039022,0.922222,0.063505,0.858667,1.000000,0.854667,0.766667,1.000000,1.000000
150,0.750000,0.873778,0.051992,0.967556,0.026491,0.796000,1.000000,0.825333,0.902667,1.000000,1.000000
160,0.761905,0.900444,0.041457,0.968444,0.025765,0.833333,1.000000,0.868000,0.905333,1.000000,1.000000
170,0.772727,0.904000,0.049459,0.972000,0.022862,0.792000,1.000000,0.920000,0.916000,1.000000,1.000000
180,0.782609,0.926222,0.031754,0.986667,0.010887,0.868000,1.000000,0.910667,0.960000,1.000000,1.000000
190,0.791667,0.924000,0.038587,0.986667,0.010887,0.837333,1.000000,0.934667,0.960000,1.000000,1.000000
200,0.800000,0.972000,0.022862,0.968000,0.026128,0.916000,1.000000,1.000000,0.904000,1.000000,1.000000
