# Hysteresis Cycle Data
# Opinion A: pizza
# Opinion B: pasta
# N_regular: 50
# Temperature: 0.2
# Cycles: 1
stubborn_count,field,magnetization_forward,error_forward,magnetization_backward,error_backward
-35,-0.411765,-0.849600,0.000000,-0.851200,0.000000
-34,-0.404762,-0.851200,0.000000,-0.801600,0.000000
-33,-0.397590,-0.880000,0.000000,-0.835200,0.000000
-32,-0.390244,-0.881600,0.000000,-0.840000,0.000000
-31,-0.382716,-0.867200,0.000000,-0.838400,0.000000
-30,-0.375000,-0.899200,0.000000,-0.862400,0.000000
-29,-0.367089,-0.825600,0.000000,-0.846400,0.000000
-28,-0.358974,-0.865600,0.000000,-0.865600,0.000000
-27,-0.350649,-0.872000,0.000000,-0.840000,0.000000
-26,-0.342105,-0.848000,0.000000,-0.841600,0.000000
-25,-0.333333,-0.881600,0.000000,-0.891200,0.000000
-24,-0.324324,-0.809600,0.000000,-0.897600,0.000000
-23,-0.315068,-0.881600,0.000000,-0.886400,0.000000
-22,-0.305556,-0.891200,0.000000,-0.880000,0.000000
-21,-0.295775,-0.859200,0.000000,-0.862400,0.000000
-20,-0.285714,-0.889600,0.000000,-0.848000,0.000000
-19,-0.275362,-0.857600,0.000000,-0.844800,0.000000
-18,-0.264706,-0.878400,0.000000,-0.403200,0.000000
-17,-0.253731,-0.856000,0.000000,0.481600,0.000000
-16,-0.242424,-0.862400,0.000000,0.894400,0.000000
-15,-0.230769,-0.880000,0.000000,0.889600,0.000000
-14,-0.218750,-0.918400,0.000000,0.931200,0.000000
-13,-0.206349,-0.910400,0.000000,0.963200,0.000000
-12,-0.193548,-0.918400,0.000000,0.960000,0.000000
-11,-0.180328,-0.881600,0.000000,0.921600,0.000000
-10,-0.166667,-0.884800,0.000000,1.000000,0.000000
-9,-0.152542,-0.880000,0.000000,1.000000,0.000000
-8,-0.137931,-0.840000,0.000000,1.000000,0.000000
-7,-0.122807,-0.881600,0.000000,0.960000,0.000000
-6,-0.107143,-0.862400,0.000000,0.960000,0.000000
-5,-0.090909,-0.880000,0.000000,0.960000,0.000000
-4,-0.074074,-0.846400,0.000000,0.977600,0.000000
-3,-0.056604,-0.891200,0.000000,0.964800,0.000000
-2,-0.038462,-0.881600,0.000000,0.902400,0.000000
-1,-0.019608,-0.904000,0.000000,0.920000,0.000000
0,0.000000,-0.888000,0.000000,1.000000,0.000000
1,0.019608,-0.894400,0.000000,1.000000,0.000000
2,0.038462,-0.960000,0.000000,1.000000,0.000000
3,0.056604,-1.000000,0.000000,1.000000,0.000000
4,0.074074,-1.000000,0.000000,1.000000,0.000000
5,0.090909,-1.000000,0.000000,1.000000,0.000000
6,0.107143,-0.995200,0.000000,1.000000,0.000000
7,0.122807,-1.000000,0.000000,1.000000,0.000000
8,0.137931,-1.000000,0.000000,1.000000,0.000000
9,0.152542,-1.000000,0.000000,1.000000,0.000000
10,0.166667,-1.000000,0.000000,1.000000,0.000000
11,0.180328,-1.000000,0.000000,1.000000,0.000000
12,0.193548,-1.000000,0.000000,1.000000,0.000000
13,0.206349,-1.000000,0.000000,1.000000,0.000000
14,0.218750,-0.993600,0.000000,1.000000,0.000000
15,0.230769,-1.000000,0.000000,1.000000,0.000000
16,0.242424,-1.000000,0.000000,1.000000,0.000000
17,0.253731,-1.000000,0.000000,1.000000,0.000000
18,0.264706,-0.947200,0.000000,1.000000,0.000000
19,0.275362,-0.942400,0.000000,1.000000,0.000000
20,0.285714,-0.942400,0.000000,1.000000,0.000000
21,0.295775,-0.988800,0.000000,1.000000,0.000000
22,0.305556,-0.920000,0.000000,1.000000,0.000000
23,0.315068,-0.774400,0.000000,1.000000,0.000000
24,0.324324,-0.697600,0.000000,1.000000,0.000000
25,0.333333,0.366400,0.000000,1.000000,0.000000
26,0.342105,0.804800,0.000000,0.841600,0.000000
27,0.350649,0.856000,0.000000,0.849600,0.000000
28,0.358974,0.843200,0.000000,0.803200,0.000000
29,0.367089,0.872000,0.000000,0.872000,0.000000
30,0.375000,0.836800,0.000000,0.878400,0.000000
31,0.382716,0.820800,0.000000,0.841600,0.000000
32,0.390244,0.857600,0.000000,0.769600,0.000000
33,0.397590,0.862400,0.000000,0.835200,0.000000
34,0.404762,0.849600,0.000000,0.840000,0.000000
35,0.411765,0.857600,0.000000,0.761600,0.000000
