# Hysteresis Cycle Data
# Opinion A: pro-life
# Opinion B: pro-choice
# N_regular: 50
# Temperature: 0.2
# Cycles: 1
stubborn_count,field,magnetization_forward,error_forward,magnetization_backward,error_backward
-30,-0.375000,-0.764800,0.000000,-1.000000,0.000000
-29,-0.367089,-0.868800,0.000000,-1.000000,0.000000
-28,-0.358974,-0.880000,0.000000,-1.000000,0.000000
-27,-0.350649,-0.864000,0.000000,-1.000000,0.000000
-26,-0.342105,-0.828800,0.000000,-1.000000,0.000000
-25,-0.333333,-0.800000,0.000000,-1.000000,0.000000
-24,-0.324324,-1.000000,0.000000,-1.000000,0.000000
-23,-0.315068,-1.000000,0.000000,-0.995200,0.000000
-22,-0.305556,-1.000000,0.000000,-0.915200,0.000000
-21,-0.295775,-1.000000,0.000000,-0.876800,0.000000
-20,-0.285714,-1.000000,0.000000,-0.894400,0.000000
-19,-0.275362,-1.000000,0.000000,-0.859200,0.000000
-18,-0.264706,-1.000000,0.000000,-0.819200,0.000000
-17,-0.253731,-1.000000,0.000000,-0.912000,0.000000
-16,-0.242424,-1.000000,0.000000,-0.880000,0.000000
-15,-0.230769,-0.870400,0.000000,-0.860800,0.000000
-14,-0.218750,-0.880000,0.000000,-0.828800,0.000000
-13,-0.206349,-0.832000,0.000000,-0.849600,0.000000
-12,-0.193548,-0.849600,0.000000,-0.907200,0.000000
-11,-0.180328,-0.920000,0.000000,-0.998400,0.000000
-10,-0.166667,-0.787200,0.000000,-1.000000,0.000000
-9,-0.152542,-0.848000,0.000000,-0.993600,0.000000
-8,-0.137931,-0.838400,0.000000,-1.000000,0.000000
-7,-0.122807,-0.849600,0.000000,-0.892800,0.000000
-6,-0.107143,-0.854400,0.000000,-0.838400,0.000000
-5,-0.090909,-0.883200,0.000000,-0.950400,0.000000
-4,-0.074074,-0.880000,0.000000,-0.908800,0.000000
-3,-0.056604,-0.844800,0.000000,-0.878400,0.000000
-2,-0.038462,-0.920000,0.000000,-0.921600,0.000000
-1,-0.019608,-0.921600,0.000000,-0.873600,0.000000
0,0.000000,-1.000000,0.000000,-0.833600,0.000000
1,0.019608,-0.971200,0.000000,-0.884800,0.000000
2,0.038462,-0.929600,0.000000,-0.856000,0.000000
3,0.056604,-0.883200,0.000000,-0.900800,0.000000
4,0.074074,-0.892800,0.000000,-0.920000,0.000000
5,0.090909,-0.937600,0.000000,-0.995200,0.000000
6,0.107143,-0.964800,0.000000,-1.000000,0.000000
7,0.122807,-0.992000,0.000000,-0.952000,0.000000
8,0.137931,-0.964800,0.000000,-1.000000,0.000000
9,0.152542,-1.000000,0.000000,-0.980800,0.000000
10,0.166667,-1.000000,0.000000,-0.902400,0.000000
11,0.180328,-1.000000,0.000000,-0.956800,0.000000
12,0.193548,-0.920000,0.000000,-0.960000,0.000000
13,0.206349,-1.000000,0.000000,-0.936000,0.000000
14,0.218750,-0.923200,0.000000,-0.960000,0.000000
15,0.230769,-0.960000,0.000000,-0.952000,0.000000
16,0.242424,-0.960000,0.000000,-0.966400,0.000000
17,0.253731,-0.960000,0.000000,-0.976000,0.000000
18,0.264706,-1.000000,0.000000,-1.000000,0.000000
19,0.275362,-1.000000,0.000000,-0.958400,0.000000
20,0.285714,-0.960000,0.000000,-0.993600,0.000000
21,0.295775,-1.000000,0.000000,-1.000000,0.000000
22,0.305556,-1.000000,0.000000,-1.000000,0.000000
23,0.315068,-1.000000,0.000000,-1.000000,0.000000
24,0.324324,-0.960000,0.000000,-0.960000,0.000000
25,0.333333,-0.992000,0.000000,-0.992000,0.000000
26,0.342105,-1.000000,0.000000,-1.000000,0.000000
27,0.350649,-1.000000,0.000000,-1.000000,0.000000
28,0.358974,-1.000000,0.000000,-1.000000,0.000000
29,0.367089,-1.000000,0.000000,-1.000000,0.000000
30,0.375000,-1.000000,0.000000,-1.000000,0.000000
