# Hysteresis Cycle Data
# Opinion A: renewable energy
# Opinion B: fossil fuels
# N_regular: 50
# Temperature: 0.2
# Cycles: 3
# Initial state: m=-1 (all opinion B)
# max_stubborn: 200
# stubborn_step: 10
stubborn_count,field,magnetization_forward,error_forward,magnetization_backward,error_backward,magnetization_forward_c1,magnetization_forward_c2,magnetization_forward_c3,magnetization_backward_c1,magnetization_backward_c2,magnetization_backward_c3
-200,-0.800000,-1.000000,0.000000,0.641778,0.051149,-1.000000,-1.000000,-1.000000,0.570667,0.588000,0.766667
-190,-0.791667,-1.000000,0.000000,0.764444,0.050660,-1.000000,-1.000000,-1.000000,0.749333,0.665333,0.878667
-180,-0.782609,-1.000000,0.000000,0.891556,0.018231,-1.000000,-1.000000,-1.000000,0.930667,0.890667,0.853333
-170,-0.772727,-1.000000,0.000000,0.975111,0.017670,-1.000000,-1.000000,-1.000000,1.000000,0.932000,0.993333
-160,-0.761905,-1.000000,0.000000,0.986222,0.011250,-1.000000,-1.000000,-1.000000,1.000000,0.958667,1.000000
-150,-0.750000,-1.000000,0.000000,0.972444,0.011267,-1.000000,-1.000000,-1.000000,0.957333,0.960000,1.000000
-140,-0.736842,-1.000000,0.000000,0.971556,0.006779,-1.000000,-1.000000,-1.000000,0.988000,0.965333,0.961333
-130,-0.722222,-1.000000,0.000000,1.000000,0.000000,-1.000000,-1.000000,-1.000000,1.000000,1.000000,1.000000
-120,-0.705882,-1.000000,0.000000,1.000000,0.000000,-1.000000,-1.000000,-1.000000,1.000000,1.000000,1.000000
-110,-0.687500,-1.000000,0.000000,1.000000,0.000000,-1.000000,-1.000000,-1.000000,1.000000,1.000000,1.000000
-100,-0.666667,-1.000000,0.000000,1.000000,0.000000,-1.000000,-1.000000,-1.000000,1.000000,1.000000,1.000000
-90,-0.642857,-1.000000,0.000000,1.000000,0.000000,-1.000000,-1.000000,-1.000000,1.000000,1.000000,1.000000
-80,-0.615385,-1.000000,0.000000,1.000000,0.000000,-1.000000,-1.000000,-1.000000,1.000000,1.000000,1.000000
-70,-0.583333,-1.000000,0.000000,1.000000,0.000000,-1.000000,-1.000000,-1.000000,1.000000,1.000000,1.000000
-60,-0.545455,-1.000000,0.000000,1.000000,0.000000,-1.000000,-1.000000,-1.000000,1.000000,1.000000,1.000000
-50,-0.500000,-1.000000,0.000000,1.000000,0.000000,-1.000000,-1.000000,-1.000000,1.000000,1.000000,1.000000
-40,-0.444444,-1.000000,0.000000,1.000000,0.000000,-1.000000,-1.000000,-1.000000,1.000000,1.000000,1.000000
-30,-0.375000,-1.000000,0.000000,1.000000,0.000000,-1.000000,-1.000000,-1.000000,1.000000,1.000000,1.000000
-20,-0.285714,-1.000000,0.000000,1.000000,0.000000,-1.000000,-1.000000,-1.000000,1.000000,1.000000,1.000000
-10,-0.166667,-1.000000,0.000000,1.000000,0.000000,-1.000000,-1.000000,-1.000000,1.000000,1.000000,1.000000
0,0.000000,-1.000000,0.000000,1.000000,0.000000,-1.000000,-1.000000,-1.000000,1.000000,1.000000,1.000000
10,0.166667,-0.124444,0.027665,1.000000,0.000000,-0.122667,-0.184000,-0.066667,1.000000,1.000000,1.000000
20,0.285714,0.555111,0.031580,1.000000,0.000000,0.524000,0.509333,0.632000,1.000000,1.000000,1.000000
30,0.375000,0.790667,0.047140,1.000000,0.000000,0.690667,0.790667,0.890667,1.000000,1.000000,1.000000
40,0.444444,0.909778,0.007577,1.000000,0.000000,0.894667,0.908000,0.926667,1.000000,1.000000,1.000000
50,0.500000,0.970667,0.012123,1.000000,0.000000,0.952000,0.960000,1.000000,1.000000,1.000000,1.000000
60,0.545455,0.973333,0.010887,1.000000,0.000000,0.960000,0.960000,1.000000,1.000000,1.000000,1.000000
70,0.583333,0.986667,0.010887,1.000000,0.000000,0.960000,1.000000,1.000000,1.000000,1.000000,1.000000
80,0.615385,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
90,0.642857,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
100,0.666667,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
110,0.687500,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
120,0.705882,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
130,0.722222,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
140,0.736842,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
150,0.750000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
160,0.761905,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
170,0.772727,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
180,0.782609,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
190,0.791667,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
200,0.800000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
