# Hysteresis Cycle Data
# Opinion A: mask mandates
# Opinion B: personal choice
# N_regular: 50
# Cycles: 1
stubborn_count,field,magnetization_forward,error_forward,magnetization_backward,error_backward
-35,-0.411765,-0.566400,0.000000,-0.112000,0.000000
-34,-0.404762,-0.713600,0.000000,0.129600,0.000000
-33,-0.397590,-0.747200,0.000000,0.844800,0.000000
-32,-0.390244,-0.630400,0.000000,0.929600,0.000000
-31,-0.382716,-0.745600,0.000000,0.739200,0.000000
-30,-0.375000,-0.563200,0.000000,0.780800,0.000000
-29,-0.367089,-0.468800,0.000000,0.841600,0.000000
-28,-0.358974,-0.388800,0.000000,0.840000,0.000000
-27,-0.350649,-0.220800,0.000000,0.792000,0.000000
-26,-0.342105,-0.187200,0.000000,0.899200,0.000000
-25,-0.333333,-0.376000,0.000000,0.998400,0.000000
-24,-0.324324,-0.508800,0.000000,0.865600,0.000000
-23,-0.315068,-0.539200,0.000000,0.920000,0.000000
-22,-0.305556,-0.659200,0.000000,1.000000,0.000000
-21,-0.295775,-0.622400,0.000000,1.000000,0.000000
-20,-0.285714,-0.662400,0.000000,0.964800,0.000000
-19,-0.275362,-0.688000,0.000000,0.985600,0.000000
-18,-0.264706,-0.656000,0.000000,0.988800,0.000000
-17,-0.253731,-0.609600,0.000000,0.896000,0.000000
-16,-0.242424,-0.528000,0.000000,0.977600,0.000000
-15,-0.230769,-0.619200,0.000000,1.000000,0.000000
-14,-0.218750,-0.635200,0.000000,1.000000,0.000000
-13,-0.206349,-0.419200,0.000000,0.982400,0.000000
-12,-0.193548,-0.638400,0.000000,0.960000,0.000000
-11,-0.180328,-0.737600,0.000000,0.947200,0.000000
-10,-0.166667,-0.699200,0.000000,0.932800,0.000000
-9,-0.152542,-0.681600,0.000000,1.000000,0.000000
-8,-0.137931,-0.798400,0.000000,1.000000,0.000000
-7,-0.122807,-0.312000,0.000000,1.000000,0.000000
-6,-0.107143,-0.270400,0.000000,1.000000,0.000000
-5,-0.090909,-0.238400,0.000000,1.000000,0.000000
-4,-0.074074,-0.395200,0.000000,0.900800,0.000000
-3,-0.056604,-0.195200,0.000000,1.000000,0.000000
-2,-0.038462,0.660800,0.000000,0.904000,0.000000
-1,-0.019608,0.771200,0.000000,1.000000,0.000000
0,0.000000,0.921600,0.000000,1.000000,0.000000
1,0.019608,0.888000,0.000000,1.000000,0.000000
2,0.038462,0.960000,0.000000,1.000000,0.000000
3,0.056604,0.953600,0.000000,1.000000,0.000000
4,0.074074,0.928000,0.000000,1.000000,0.000000
5,0.090909,1.000000,0.000000,1.000000,0.000000
6,0.107143,1.000000,0.000000,1.000000,0.000000
7,0.122807,1.000000,0.000000,1.000000,0.000000
8,0.137931,1.000000,0.000000,1.000000,0.000000
9,0.152542,1.000000,0.000000,1.000000,0.000000
10,0.166667,1.000000,0.000000,1.000000,0.000000
11,0.180328,1.000000,0.000000,1.000000,0.000000
12,0.193548,1.000000,0.000000,1.000000,0.000000
13,0.206349,1.000000,0.000000,1.000000,0.000000
14,0.218750,1.000000,0.000000,1.000000,0.000000
15,0.230769,1.000000,0.000000,1.000000,0.000000
16,0.242424,1.000000,0.000000,1.000000,0.000000
17,0.253731,1.000000,0.000000,1.000000,0.000000
18,0.264706,1.000000,0.000000,1.000000,0.000000
19,0.275362,1.000000,0.000000,1.000000,0.000000
20,0.285714,1.000000,0.000000,1.000000,0.000000
21,0.295775,1.000000,0.000000,1.000000,0.000000
22,0.305556,1.000000,0.000000,1.000000,0.000000
23,0.315068,1.000000,0.000000,1.000000,0.000000
24,0.324324,1.000000,0.000000,1.000000,0.000000
25,0.333333,1.000000,0.000000,1.000000,0.000000
26,0.342105,1.000000,0.000000,1.000000,0.000000
27,0.350649,1.000000,0.000000,1.000000,0.000000
28,0.358974,1.000000,0.000000,1.000000,0.000000
29,0.367089,1.000000,0.000000,1.000000,0.000000
30,0.375000,1.000000,0.000000,1.000000,0.000000
31,0.382716,1.000000,0.000000,1.000000,0.000000
32,0.390244,1.000000,0.000000,1.000000,0.000000
33,0.397590,1.000000,0.000000,1.000000,0.000000
34,0.404762,1.000000,0.000000,1.000000,0.000000
35,0.411765,1.000000,0.000000,1.000000,0.000000
