Opinion_A,Opinion_B,count_A,count_B,invalid,n_valid,n_total,p_A,discard_rate
liberal,conservative,48,0,52,48,100,1.0,0.52
pro-life,pro-choice,0,100,0,100,100,0.0,0.0
capitalism,socialism,100,0,0,100,100,1.0,0.0
globalism,nationalism,100,0,0,100,100,1.0,0.0
climate change believer,climate change skeptic,100,0,0,100,100,1.0,0.0
gun control,gun rights,96,4,0,100,100,0.96,0.0
open borders,closed borders,100,0,0,100,100,1.0,0.0
universal healthcare,private healthcare,100,0,0,100,100,1.0,0.0
tax the rich,lower taxes,0,100,0,100,100,0.0,0.0
big government,small government,0,100,0,100,100,0.0,0.0
affirmative action,merit-based admissions,52,48,0,100,100,0.52,0.0
freedom of speech,regulated speech,100,0,0,100,100,1.0,0.0
reparations for slavery,no reparations,100,0,0,100,100,1.0,0.0
progressive,traditionalist,100,0,0,100,100,1.0,0.0
pro-immigration,anti-immigration,100,0,0,100,100,1.0,0.0
pro-EU,euroskeptic,100,0,0,100,100,1.0,0.0
pro-vaccine mandates,anti-vaccine mandates,100,0,0,100,100,1.0,0.0
defund the police,support the police,0,100,0,100,100,0.0,0.0
LGBTQ+ rights,traditional family values,100,0,0,100,100,1.0,0.0
secularism,religious influence,100,0,0,100,100,1.0,0.0
public education,school vouchers,100,0,0,100,100,1.0,0.0
minimum wage increase,free market wages,47,53,0,100,100,0.47,0.0
environmental regulation,deregulation,100,0,0,100,100,1.0,0.0
renewable energy,fossil fuels,100,0,0,100,100,1.0,0.0
multiculturalism,cultural assimilation,100,0,0,100,100,1.0,0.0
welfare programs,self-reliance,50,50,0,100,100,0.5,0.0
union support,right-to-work,100,0,0,100,100,1.0,0.0
pro-UN,anti-UN,100,0,0,100,100,1.0,0.0
rehabilitative justice,punitive justice,100,0,0,100,100,1.0,0.0
marijuana legalization,marijuana criminalization,100,0,0,100,100,1.0,0.0
net neutrality,market-driven internet,100,0,0,100,100,1.0,0.0
science-based policy,faith-based policy,100,0,0,100,100,1.0,0.0
mask mandates,personal choice,8,92,0,100,100,0.08,0.0
corporate regulation,corporate freedom,100,0,0,100,100,1.0,0.0
animal rights,animal use for industry,100,0,0,100,100,1.0,0.0
digital privacy,national surveillance,100,0,0,100,100,1.0,0.0
anti-censorship,content moderation,0,100,0,100,100,0.0,0.0
veganism,meat-eating advocacy,100,0,0,100,100,1.0,0.0
Israel support,Palestine support,49,0,51,49,100,1.0,0.51
free speech absolutism,hate speech regulation,36,64,0,100,100,0.36,0.0
gender self-identification,biological sex classification,100,0,0,100,100,1.0,0.0
cancel culture necessary,cancel culture harmful,0,100,0,100,100,0.0,0.0
AI development freedom,AI strict regulation,33,67,0,100,100,0.33,0.0
drag shows for kids,ban on drag shows for kids,0,100,0,100,100,0.0,0.0
nuclear power essential,nuclear power dangerous,100,0,0,100,100,1.0,0.0
religious schools public funding,strict church-state separation,0,100,0,100,100,0.0,0.0
mandatory military service,voluntary military service,14,86,0,100,100,0.14,0.0
statues of controversial figures,removal of controversial statues,0,100,0,100,100,0.0,0.0
meat consumption moral,meat consumption immoral,100,0,0,100,100,1.0,0.0
remote work future,office work necessary,100,0,0,100,100,1.0,0.0
college for most,college not for everyone,0,100,0,100,100,0.0,0.0
freedom to homeschool,mandatory public education,51,49,0,100,100,0.51,0.0
legal sex work,ban on sex work,100,0,0,100,100,1.0,0.0
pornography acceptable,pornography harmful,0,100,0,100,100,0.0,0.0
mandatory voting,voluntary voting,59,41,0,100,100,0.59,0.0
