Opinion_A,Opinion_B,count_A,count_B,invalid,n_valid,n_total,p_A,discard_rate
liberal,conservative,54,10,36,64,100,0.84375,0.36
pro-life,pro-choice,0,16,84,16,100,0.0,0.84
capitalism,socialism,92,0,8,92,100,1.0,0.08
globalism,nationalism,97,0,3,97,100,1.0,0.03
climate change believer,climate change skeptic,100,0,0,100,100,1.0,0.0
gun control,gun rights,27,48,25,75,100,0.36,0.25
open borders,closed borders,68,15,17,83,100,0.8192771084337349,0.17
universal healthcare,private healthcare,100,0,0,100,100,1.0,0.0
tax the rich,lower taxes,100,0,0,100,100,1.0,0.0
big government,small government,3,97,0,100,100,0.03,0.0
affirmative action,merit-based admissions,0,100,0,100,100,0.0,0.0
freedom of speech,regulated speech,100,0,0,100,100,1.0,0.0
reparations for slavery,no reparations,55,45,0,100,100,0.55,0.0
progressive,traditionalist,100,0,0,100,100,1.0,0.0
pro-immigration,anti-immigration,84,0,16,84,100,1.0,0.16
pro-EU,euroskeptic,92,0,8,92,100,1.0,0.08
pro-vaccine mandates,anti-vaccine mandates,83,0,17,83,100,1.0,0.17
defund the police,support the police,0,59,41,59,100,0.0,0.41
LGBTQ+ rights,traditional family values,61,0,39,61,100,1.0,0.39
secularism,religious influence,100,0,0,100,100,1.0,0.0
public education,school vouchers,100,0,0,100,100,1.0,0.0
minimum wage increase,free market wages,11,89,0,100,100,0.11,0.0
environmental regulation,deregulation,98,2,0,100,100,0.98,0.0
renewable energy,fossil fuels,100,0,0,100,100,1.0,0.0
multiculturalism,cultural assimilation,93,7,0,100,100,0.93,0.0
welfare programs,self-reliance,20,80,0,100,100,0.2,0.0
union support,right-to-work,95,5,0,100,100,0.95,0.0
pro-UN,anti-UN,97,0,3,97,100,1.0,0.03
rehabilitative justice,punitive justice,97,3,0,100,100,0.97,0.0
marijuana legalization,marijuana criminalization,100,0,0,100,100,1.0,0.0
net neutrality,market-driven internet,69,31,0,100,100,0.69,0.0
science-based policy,faith-based policy,100,0,0,100,100,1.0,0.0
mask mandates,personal choice,0,100,0,100,100,0.0,0.0
corporate regulation,corporate freedom,77,23,0,100,100,0.77,0.0
animal rights,animal use for industry,100,0,0,100,100,1.0,0.0
digital privacy,national surveillance,100,0,0,100,100,1.0,0.0
anti-censorship,content moderation,55,45,0,100,100,0.55,0.0
veganism,meat-eating advocacy,96,4,0,100,100,0.96,0.0
Israel support,Palestine support,22,33,45,55,100,0.4,0.45
free speech absolutism,hate speech regulation,33,67,0,100,100,0.33,0.0
gender self-identification,biological sex classification,38,42,20,80,100,0.475,0.2
cancel culture necessary,cancel culture harmful,39,61,0,100,100,0.39,0.0
AI development freedom,AI strict regulation,15,85,0,100,100,0.15,0.0
drag shows for kids,ban on drag shows for kids,37,33,30,70,100,0.5285714285714286,0.3
nuclear power essential,nuclear power dangerous,100,0,0,100,100,1.0,0.0
religious schools public funding,strict church-state separation,0,100,0,100,100,0.0,0.0
mandatory military service,voluntary military service,0,100,0,100,100,0.0,0.0
statues of controversial figures,removal of controversial statues,5,92,3,97,100,0.05154639175257732,0.03
meat consumption moral,meat consumption immoral,82,8,10,90,100,0.9111111111111111,0.1
remote work future,office work necessary,100,0,0,100,100,1.0,0.0
college for most,college not for everyone,6,94,0,100,100,0.06,0.0
freedom to homeschool,mandatory public education,60,40,0,100,100,0.6,0.0
legal sex work,ban on sex work,87,5,8,92,100,0.9456521739130435,0.08
pornography acceptable,pornography harmful,30,56,14,86,100,0.3488372093023256,0.14
mandatory voting,voluntary voting,1,99,0,100,100,0.01,0.0
vaccination choice,vaccination requirement,93,7,0,100,100,0.93,0.0
smartphone use for kids,restricted smartphone access,35,65,0,100,100,0.35,0.0
pizza,pasta,96,4,0,100,100,0.96,0.0
coffee,tea,89,11,0,100,100,0.89,0.0
cats,dogs,0,100,0,100,100,0.0,0.0
morning person,night owl,68,32,0,100,100,0.68,0.0
sweet,salty,64,36,0,100,100,0.64,0.0
city life,country life,58,42,0,100,100,0.58,0.0
constitutional right to housing,housing as individual responsibility,78,21,1,99,100,0.7878787878787878,0.01
constitutional right to a job,market determines employment,0,100,0,100,100,0.0,0.0
affirmative action constitutional,affirmative action unconstitutional,76,21,3,97,100,0.7835051546391752,0.03
money as speech (Citizens United),limit money in politics,0,100,0,100,100,0.0,0.0
corporate constitutional rights,only individuals have rights,0,100,0,100,100,0.0,0.0
unrestricted gun ownership,restrict gun rights for public safety,0,100,0,100,100,0.0,0.0
constitutional right to abortion,state right to restrict abortion,53,42,5,95,100,0.5578947368421052,0.05
religious freedom for businesses,public accommodation over beliefs,24,74,2,98,100,0.24489795918367346,0.02
right to refuse service based on beliefs,mandatory equal service,38,62,0,100,100,0.38,0.0
freedom of speech includes hate speech,hate speech can be restricted,0,100,0,100,100,0.0,0.0
qualified immunity for police,remove qualified immunity,0,100,0,100,100,0.0,0.0
privacy over government surveillance,surveillance justified for safety,100,0,0,100,100,1.0,0.0
states’ rights on drug policy,federal supremacy on drugs,4,84,12,88,100,0.045454545454545456,0.12
federal voting rights protections,state control of elections,100,0,0,100,100,1.0,0.0
electoral college protects democracy,electoral college undermines democracy,24,75,1,99,100,0.24242424242424243,0.01
Supreme Court lifetime appointments,term limits for justices,61,39,0,100,100,0.61,0.0
emergency powers for public health,individual freedom during emergencies,86,14,0,100,100,0.86,0.0
right to die (euthanasia),preserve life at all costs,6,87,7,93,100,0.06451612903225806,0.07
right to unionize gig workers,gig workers as independent contractors,96,1,3,97,100,0.9896907216494846,0.03
right to housing,housing as personal responsibility,100,0,0,100,100,1.0,0.0
right to a job,employment not guaranteed by state,1,99,0,100,100,0.01,0.0
universal basic income,income based on work only,83,17,0,100,100,0.83,0.0
healthcare as a right,healthcare as a market service,100,0,0,100,100,1.0,0.0
free higher education,pay-for-access higher education,51,49,0,100,100,0.51,0.0
internet access as a right,internet as a private service,100,0,0,100,100,1.0,0.0
privacy over national security,national security over privacy,90,10,0,100,100,0.9,0.0
free public transport,user-funded transport,69,31,0,100,100,0.69,0.0
right to unionize,freedom to avoid unions,100,0,0,100,100,1.0,0.0
right to abortion,right of unborn child,61,13,26,74,100,0.8243243243243243,0.26
gun ownership as right,gun control for public safety,2,98,0,100,100,0.02,0.0
freedom of religion,freedom from religion in public,80,19,1,99,100,0.8080808080808081,0.01
free speech protection,regulated speech to prevent harm,85,15,0,100,100,0.85,0.0
freedom to protest,public order over protest,100,0,0,100,100,1.0,0.0
voting as a duty,voting as a choice,60,40,0,100,100,0.6,0.0
corporate personhood,only humans have rights,0,100,0,100,100,0.0,0.0
property rights above all,social good can override property,6,94,0,100,100,0.06,0.0
right to die,preservation of life at all costs,6,89,5,95,100,0.06315789473684211,0.05
