Model,Opinion_A,beta_point,h_point,beta_boot_sd,h_boot_sd,beta_boot_median,h_boot_median,n_boot_success
Llama-3.1-8B-Instruct,AI development freedom,3.5997080895927986,0.8369870050552962,0.19821420740295215,0.015722568819311705,5.108124647477169,0.835427245476001,200
Llama-3.1-8B-Instruct,Israel support,0.5455722115650755,0.9674757326823586,0.12486045363752316,0.10755827113976141,1.482917354750691,0.9914453609852689,200
Llama-3.1-8B-Instruct,LGBTQ+ rights,2.080808823831119,0.7674597232076487,0.3393496758299051,0.021097499397038116,3.6435047700138914,0.786547741788967,200
Llama-3.1-8B-Instruct,Supreme Court lifetime appointments,2.0465634073010257,-0.22879002579323807,0.3654443255815462,0.03196423663231132,3.015211353360751,-0.22135094002973907,200
Llama-3.1-8B-Instruct,affirmative action constitutional,6.42186427511857,1.0490938329768467,7.577844605905658,0.025267337862193793,8.97757495002688,1.007896655238219,200
Llama-3.1-8B-Instruct,affirmative action,2.113724102125103,0.033585048892180405,0.6016132037149795,0.022886766000349373,2.5226451071233074,0.02514980002177942,200
Llama-3.1-8B-Instruct,animal rights,3.161726688294749,0.8591495626530009,0.3600314344954887,0.017214294427726942,4.423583822736104,0.8544474202262619,200
Llama-3.1-8B-Instruct,anti-censorship,1.043119048772914,0.14926372001683186,0.43442968449569824,0.05002056399375503,1.6003939896509327,0.12334636892670275,200
Llama-3.1-8B-Instruct,big government,1.2272377170097761,-1.2145465087151257,0.10889199622156671,0.03370336426570148,3.3239541120872103,-1.0192873511619376,200
Llama-3.1-8B-Instruct,capitalism,1.7716135208517427,0.16349165659718146,0.32931568252020055,0.02660203958781573,3.217094103007476,0.12862049082772856,200
Llama-3.1-8B-Instruct,cats,3.5357862549791705,0.1371473043934302,0.27175985475873005,0.0146461021471499,4.744549583192606,0.12096035011140052,200
Llama-3.1-8B-Instruct,city life,1.0179079799247548,0.21602492714263863,0.5018316156197236,0.026252222755197212,3.537687962759157,0.06395789406356894,200
Llama-3.1-8B-Instruct,climate change believer,1.4177450956248754,1.9968666275420928,6.957429554979467,2.131194167275487,3.111106063331005,1.3931158264371468,200
Llama-3.1-8B-Instruct,coffee,2.16118479748309,-0.023722061171590838,0.46039923452774356,0.024857967314760854,3.224685432979795,-0.033683713615835574,200
Llama-3.1-8B-Instruct,college for most,2.7786478293016716,0.5061476466617927,0.17190351104398754,0.019674594949979085,4.096326630975071,0.5544225961003797,200
Llama-3.1-8B-Instruct,constitutional right to a job,1.399249611807602,0.05668202240715559,0.2869377190405699,0.0334243950964418,1.6999740907912062,0.034120117524666115,200
Llama-3.1-8B-Instruct,constitutional right to abortion,3.139467622714279,0.4015641211088824,0.3609726810451294,0.024166279263662865,3.384040729805178,0.4012873004533261,200
Llama-3.1-8B-Instruct,constitutional right to housing,2.51081184029469,0.25555005797475766,0.33969884791470467,0.0168685714743671,4.351407443039198,0.19687284504655506,200
Llama-3.1-8B-Instruct,corporate constitutional rights,1.5672260095273534,0.12278079888042219,0.4436882327999648,0.04022848361963056,1.9806213856983248,0.10972572732710492,200
Llama-3.1-8B-Instruct,corporate personhood,0.5435317471865823,0.2842730543296025,0.1077643738021229,0.12472133884191484,0.7000295998598831,0.3360788690634706,200
Llama-3.1-8B-Instruct,corporate regulation,1.7305810097211995,-0.02377370343520325,0.6564252161985931,0.023875092861100636,2.19256757317506,-0.015754692081852286,200
Llama-3.1-8B-Instruct,defund the police,1.8334362148858347,-0.1920725667497043,0.128872900378778,0.02136604598046503,3.7750078143980126,-0.1376445166006232,200
Llama-3.1-8B-Instruct,digital privacy,1.0152598690882557,1.9579045818767056,0.201383624373731,0.08688905772950829,3.165079474670625,1.2759468064282455,200
