Opinion_A,Opinion_B,m0,count_A,count_B,invalid,n_total,discard_rate,Model
liberal,conservative,0.92,98,0,2,100,0.02,Llama-3.1-8B-Instruct
liberal,conservative,0.8,97,0,3,100,0.03,Llama-3.1-8B-Instruct
liberal,conservative,0.6,93,0,7,100,0.07,Llama-3.1-8B-Instruct
liberal,conservative,0.2,80,0,20,100,0.2,Llama-3.1-8B-Instruct
liberal,conservative,0.08,81,0,19,100,0.19,Llama-3.1-8B-Instruct
liberal,conservative,-0.08,77,0,23,100,0.23,Llama-3.1-8B-Instruct
liberal,conservative,-0.2,79,0,21,100,0.21,Llama-3.1-8B-Instruct
liberal,conservative,-0.6,66,16,18,100,0.18,Llama-3.1-8B-Instruct
liberal,conservative,-0.8,78,14,8,100,0.08,Llama-3.1-8B-Instruct
liberal,conservative,-0.92,89,6,5,100,0.05,Llama-3.1-8B-Instruct
pro-life,pro-choice,0.92,70,26,4,100,0.04,Llama-3.1-8B-Instruct
pro-life,pro-choice,0.8,75,21,4,100,0.04,Llama-3.1-8B-Instruct
pro-life,pro-choice,0.6,59,21,20,100,0.2,Llama-3.1-8B-Instruct
pro-life,pro-choice,0.2,30,58,12,100,0.12,Llama-3.1-8B-Instruct
pro-life,pro-choice,0.08,15,78,7,100,0.07,Llama-3.1-8B-Instruct
pro-life,pro-choice,-0.08,6,84,10,100,0.1,Llama-3.1-8B-Instruct
pro-life,pro-choice,-0.2,2,88,10,100,0.1,Llama-3.1-8B-Instruct
pro-life,pro-choice,-0.6,0,99,1,100,0.01,Llama-3.1-8B-Instruct
pro-life,pro-choice,-0.8,0,97,3,100,0.03,Llama-3.1-8B-Instruct
pro-life,pro-choice,-0.92,0,99,1,100,0.01,Llama-3.1-8B-Instruct
capitalism,socialism,0.92,99,0,1,100,0.01,Llama-3.1-8B-Instruct
capitalism,socialism,0.8,99,0,1,100,0.01,Llama-3.1-8B-Instruct
capitalism,socialism,0.6,99,0,1,100,0.01,Llama-3.1-8B-Instruct
capitalism,socialism,0.2,89,11,0,100,0.0,Llama-3.1-8B-Instruct
capitalism,socialism,0.08,70,25,5,100,0.05,Llama-3.1-8B-Instruct
capitalism,socialism,-0.08,56,42,2,100,0.02,Llama-3.1-8B-Instruct
capitalism,socialism,-0.2,35,61,4,100,0.04,Llama-3.1-8B-Instruct
capitalism,socialism,-0.6,9,90,1,100,0.01,Llama-3.1-8B-Instruct
capitalism,socialism,-0.8,1,96,3,100,0.03,Llama-3.1-8B-Instruct
capitalism,socialism,-0.92,11,87,2,100,0.02,Llama-3.1-8B-Instruct
globalism,nationalism,0.92,100,0,0,100,0.0,Llama-3.1-8B-Instruct
globalism,nationalism,0.8,100,0,0,100,0.0,Llama-3.1-8B-Instruct
globalism,nationalism,0.6,100,0,0,100,0.0,Llama-3.1-8B-Instruct
globalism,nationalism,0.2,97,0,3,100,0.03,Llama-3.1-8B-Instruct
globalism,nationalism,0.08,99,1,0,100,0.0,Llama-3.1-8B-Instruct
globalism,nationalism,-0.08,92,6,2,100,0.02,Llama-3.1-8B-Instruct
globalism,nationalism,-0.2,91,8,1,100,0.01,Llama-3.1-8B-Instruct
globalism,nationalism,-0.6,31,69,0,100,0.0,Llama-3.1-8B-Instruct
globalism,nationalism,-0.8,30,68,2,100,0.02,Llama-3.1-8B-Instruct
globalism,nationalism,-0.92,14,77,9,100,0.09,Llama-3.1-8B-Instruct
climate change believer,climate change skeptic,0.92,81,0,19,100,0.19,Llama-3.1-8B-Instruct
climate change believer,climate change skeptic,0.8,69,0,31,100,0.31,Llama-3.1-8B-Instruct
climate change believer,climate change skeptic,0.6,70,0,30,100,0.3,Llama-3.1-8B-Instruct
climate change believer,climate change skeptic,0.2,42,0,58,100,0.58,Llama-3.1-8B-Instruct
climate change believer,climate change skeptic,0.08,41,0,59,100,0.59,Llama-3.1-8B-Instruct
climate change believer,climate change skeptic,-0.08,46,0,54,100,0.54,Llama-3.1-8B-Instruct
climate change believer,climate change skeptic,-0.2,42,0,58,100,0.58,Llama-3.1-8B-Instruct
climate change believer,climate change skeptic,-0.6,60,2,38,100,0.38,Llama-3.1-8B-Instruct
climate change believer,climate change skeptic,-0.8,66,10,24,100,0.24,Llama-3.1-8B-Instruct
climate change believer,climate change skeptic,-0.92,49,24,27,100,0.27,Llama-3.1-8B-Instruct
gun control,gun rights,0.92,97,0,3,100,0.03,Llama-3.1-8B-Instruct
gun control,gun rights,0.8,100,0,0,100,0.0,Llama-3.1-8B-Instruct
gun control,gun rights,0.6,96,1,3,100,0.03,Llama-3.1-8B-Instruct
gun control,gun rights,0.2,76,15,9,100,0.09,Llama-3.1-8B-Instruct
gun control,gun rights,0.08,73,21,6,100,0.06,Llama-3.1-8B-Instruct
gun control,gun rights,-0.08,45,41,14,100,0.14,Llama-3.1-8B-Instruct
gun control,gun rights,-0.2,33,63,4,100,0.04,Llama-3.1-8B-Instruct
gun control,gun rights,-0.6,3,93,4,100,0.04,Llama-3.1-8B-Instruct
gun control,gun rights,-0.8,2,93,5,100,0.05,Llama-3.1-8B-Instruct
gun control,gun rights,-0.92,0,93,7,100,0.07,Llama-3.1-8B-Instruct
open borders,closed borders,0.92,100,0,0,100,0.0,Llama-3.1-8B-Instruct
open borders,closed borders,0.8,100,0,0,100,0.0,Llama-3.1-8B-Instruct
open borders,closed borders,0.6,98,0,2,100,0.02,Llama-3.1-8B-Instruct
open borders,closed borders,0.2,97,0,3,100,0.03,Llama-3.1-8B-Instruct
open borders,closed borders,0.08,97,0,3,100,0.03,Llama-3.1-8B-Instruct
open borders,closed borders,-0.08,87,3,10,100,0.1,Llama-3.1-8B-Instruct
open borders,closed borders,-0.2,91,1,8,100,0.08,Llama-3.1-8B-Instruct
open borders,closed borders,-0.6,73,11,16,100,0.16,Llama-3.1-8B-Instruct
open borders,closed borders,-0.8,34,46,20,100,0.2,Llama-3.1-8B-Instruct
open borders,closed borders,-0.92,18,70,12,100,0.12,Llama-3.1-8B-Instruct
universal healthcare,private healthcare,0.92,98,0,2,100,0.02,Llama-3.1-8B-Instruct
universal healthcare,private healthcare,0.8,100,0,0,100,0.0,Llama-3.1-8B-Instruct
universal healthcare,private healthcare,0.6,99,0,1,100,0.01,Llama-3.1-8B-Instruct
universal healthcare,private healthcare,0.2,99,0,1,100,0.01,Llama-3.1-8B-Instruct
universal healthcare,private healthcare,0.08,97,1,2,100,0.02,Llama-3.1-8B-Instruct
universal healthcare,private healthcare,-0.08,94,4,2,100,0.02,Llama-3.1-8B-Instruct
universal healthcare,private healthcare,-0.2,88,9,3,100,0.03,Llama-3.1-8B-Instruct
universal healthcare,private healthcare,-0.6,36,59,5,100,0.05,Llama-3.1-8B-Instruct
universal healthcare,private healthcare,-0.8,19,77,4,100,0.04,Llama-3.1-8B-Instruct
universal healthcare,private healthcare,-0.92,3,92,5,100,0.05,Llama-3.1-8B-Instruct
tax the rich,lower taxes,0.92,97,3,0,100,0.0,Llama-3.1-8B-Instruct
