Model,Opinion_A,Opinion_B,beta,se_beta,h,se_h,delta_P,p0_fit,r2,n_points,h_spinodal,margin_h,se_margin,z_margin,classification,robust_1se,robust_2se
Llama-3.1-8B-Instruct,AI development freedom,AI strict regulation,5.070827497311152,0.4584692822547435,0.8374690366757436,0.014425103548117131,9.999999999999999e-05,0.9998952102775358,0.9738059975039137,10,0.6097438832255249,-0.2277251534502187,0.0296288188820606,-7.685934237091704,monostable,True,True
Llama-3.1-8B-Instruct,Israel support,Palestine support,1.4037953161106216,0.24275744515059747,0.9874264926127043,0.04950992466407517,9.999999999999999e-05,0.9412598953018305,-0.27033591397992796,10,0.10963722353350469,-0.8777892690791996,0.08885805527584291,-9.878555932315534,monostable,True,True
Llama-3.1-8B-Instruct,LGBTQ+ rights,traditional family values,3.5697946929671796,0.2735153420312477,0.7839632223771219,0.01879351032549192,9.999999999999999e-05,0.9964053777614694,0.9225248160989817,10,0.4981235330006842,-0.2858396893764377,0.032767182503897596,-8.723352681984105,monostable,True,True
Llama-3.1-8B-Instruct,Supreme Court lifetime appointments,term limits for justices,2.9163620951495055,0.2519316915239699,-0.22519681621990906,0.022166250681641256,-9.999999999999999e-05,0.2117999336250223,0.9756576085213156,10,0.4235506041566188,0.19835378793670977,0.04011731023159826,4.944344144500423,metastable,True,True
Llama-3.1-8B-Instruct,abortion rights,Unknown,0.17609336824556285,42443.3722852956,67.49147007120324,0.0,5.234105026665911e-11,1.0000000000048082,,10,,,,,monostable (beta<=1),True,True
Llama-3.1-8B-Instruct,affirmative action constitutional,affirmative action unconstitutional,8.942783923068507,2.2174295254907768,1.0101927877702659,0.02997963483717201,7.27379256076014e-05,1.0000727236950133,0.980853061204733,10,0.7456963275463198,-0.26449646022394613,0.05725790454029888,-4.619387704588281,monostable,True,True
Llama-3.1-8B-Instruct,affirmative action,merit-based admissions,2.3512096978178443,0.18313360279916163,0.022303492429236814,0.02719712206133422,-9.999999999999999e-05,0.5260960854035592,0.9203935983246275,10,0.33630339447105134,0.31399990204181455,0.04264891593139802,7.362435719278123,metastable,True,True
Llama-3.1-8B-Instruct,animal rights,animal use for industry,4.233136225041905,0.4152910385641784,0.8530763716671028,0.01692198926253858,9.999999999999999e-05,0.9993704676035687,0.9826329326793148,10,0.5551408499644606,-0.29793552170264226,0.035560033226861514,-8.37838142056589,monostable,True,True
Llama-3.1-8B-Instruct,anti-censorship,content moderation,1.464142594770951,0.1021262684241399,0.1371941269223098,0.053562329243178004,9.999999999999999e-05,0.5992064897485836,0.6615161681467432,10,0.12778653882059499,-0.009407588101714826,0.06156785615067895,-0.15280031967803187,monostable,False,False
Llama-3.1-8B-Instruct,big government,small government,3.3366223938115778,0.3864961938804397,-1.0169634394278368,0.031596938301251876,-9.999999999999999e-05,0.0010277009135661764,0.5012781934932155,10,0.4740373836874434,-0.5429260557403934,0.05257796375260754,-10.326114154876675,monostable,True,True
