Model,Opinion_A,m0,beta_far,observed,predicted,raw_residual,signed_residual,se,n
Llama-3.1-8B-Instruct,AI development freedom,0.08,5.042748103628399,1.0,1.0000042239098117,-4.223909811695847e-06,-4.223909811695847e-06,0.001,100.0
Llama-3.1-8B-Instruct,AI development freedom,-0.08,5.042748103628399,1.0,0.9996192692217647,0.0003807307782353053,-0.0003807307782353053,0.001,100.0
Llama-3.1-8B-Instruct,Israel support,0.08,1.4260496500812911,0.77,0.9594395808607987,-0.1894395808607987,-0.1894395808607987,0.042083250825001625,100.0
Llama-3.1-8B-Instruct,Israel support,-0.08,1.4260496500812911,0.63,0.9374007141796246,-0.30740071417962456,0.30740071417962456,0.048280430818293245,100.0
Llama-3.1-8B-Instruct,LGBTQ+ rights,0.08,3.159262777069073,1.0,0.9956729399236925,0.004327060076307454,0.004327060076307454,0.001,100.0
Llama-3.1-8B-Instruct,LGBTQ+ rights,-0.08,3.159262777069073,0.99,0.9880267772409201,0.0019732227590798512,-0.0019732227590798512,0.009949874371066205,100.0
Llama-3.1-8B-Instruct,Supreme Court lifetime appointments,0.08,2.8892474545246136,0.31,0.26231643136555505,0.04768356863444495,0.04768356863444495,0.04624932431938871,100.0
Llama-3.1-8B-Instruct,Supreme Court lifetime appointments,-0.08,2.8892474545246136,0.23,0.123583016358683,0.106416983641317,-0.106416983641317,0.042083250825001625,100.0
Llama-3.1-8B-Instruct,affirmative action constitutional,0.08,8.908990567386926,1.0,1.000099996358967,-9.999635896695835e-05,-9.999635896695835e-05,0.001,100.0
Llama-3.1-8B-Instruct,affirmative action constitutional,-0.08,8.908990567386926,1.0,1.0000999369993953,-9.993699939525591e-05,9.993699939525591e-05,0.001,100.0
Llama-3.1-8B-Instruct,affirmative action,0.08,2.288163140796046,0.63,0.5925627414889082,0.03743725851109181,0.03743725851109181,0.048280430818293245,100.0
