Model,variant,Opinion_A,beta,h,metastable,valid_rate,points_ok,echo_share
Llama-3.1-8B-Instruct,opinion,affirmative action,3.75231526107476,0.0019376745967640639,True,1.0,10,0.5211267605633803
Llama-3.1-8B-Instruct,opinion,animal rights,4.816679428982836,0.911857538436088,False,1.0,10,0.8583815028901735
Llama-3.1-8B-Instruct,opinion,constitutional right to abortion,4.477994305810798,0.5668485300057673,True,1.0,10,0.47540983606557374
Llama-3.1-8B-Instruct,opinion,free speech absolutism,3.691673792507408,-0.006941436144691819,True,1.0,10,0.3939393939393939
Llama-3.1-8B-Instruct,opinion,gun ownership as right,3.7253847070177843,-0.18570518489702872,True,1.0,10,0.49333333333333335
Llama-3.1-8B-Instruct,opinion,internet access as a right,4.812487949731875,0.5944918817158988,True,1.0,10,0.6666666666666666
Llama-3.1-8B-Instruct,opinion,minimum wage increase,3.72922190183812,0.2077129054250006,True,1.0,10,0.5221238938053098
Llama-3.1-8B-Instruct,opinion,multiculturalism,3.0181299977115645,0.4242900102563438,True,1.0,10,0.25
Llama-3.1-8B-Instruct,opinion,pro-immigration,0.17757173380581123,65.87164429560006,False,1.0,10,0.8585017835909632
Llama-3.1-8B-Instruct,opinion,pro-vaccine mandates,77.88476943919552,0.9376641423727395,True,1.0,10,0.7816764132553606
Llama-3.1-8B-Instruct,position,affirmative action,-6.5716163414770286,0.3139415879084138,False,1.0,10,0.9900027770063872
Llama-3.1-8B-Instruct,position,animal rights,0.5358254394772436,29.8245067028078,False,0.573,6,0.9961867192636423
Llama-3.1-8B-Instruct,position,constitutional right to abortion,,,,0.2,0,0.9955095665755564
Llama-3.1-8B-Instruct,position,free speech absolutism,0.004428490728011647,-756.5782768344444,False,1.0,10,0.9865494050698397
Llama-3.1-8B-Instruct,position,gun ownership as right,3.4871959450213135,-1.1420225920825926,False,0.812,8,0.9804994868286008
Llama-3.1-8B-Instruct,position,internet access as a right,,,,0.0175,0,0.9471374231932117
Llama-3.1-8B-Instruct,position,minimum wage increase,0.0043471273201998685,-792.5304983018527,False,0.56,7,0.9971965527982556
Llama-3.1-8B-Instruct,position,multiculturalism,1.480539423054093e-06,509493.8402083056,False,0.855,9,0.9574064026044493
Llama-3.1-8B-Instruct,position,pro-immigration,0.004428150500762818,741.3719176144451,False,0.9740000000000001,10,0.9902562251894623
Llama-3.1-8B-Instruct,position,pro-vaccine mandates,0.23301289349989615,57.01674580560733,False,0.723,7,0.9949849548645938
